network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
gkd_bayern_vils,17207508,7,MAM,5,2012-04-29,2.917899240766253,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,MAM,6,2012-05-07,1.3627163750784732,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,MAM,7,2012-05-15,1.2861221313476563,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,MAM,8,2012-05-23,1.4412325722830635,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,MAM,9,2012-05-31,0.5703961508614684,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,SON,0,2010-11-13,0.8134890828813826,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,SON,1,2011-09-30,0.38931677682059146,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,SON,2,2011-10-19,0.9957677568708148,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,SON,3,2011-11-07,0.9957100459507534,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,SON,4,2011-11-26,0.3360598904745919,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
