network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
gkd_bayern_vils,17207508,7,JJA,4,2012-07-11,0.7738904135567809,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,JJA,5,2012-07-21,1.2073782784598208,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,JJA,6,2012-07-31,0.7285503932407923,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,JJA,7,2012-08-10,0.4796670641217915,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,JJA,8,2012-08-20,1.9977583203996925,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,JJA,9,2012-08-31,0.7548810686383922,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,MAM,0,2012-03-01,1.0488384519304548,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,MAM,1,2012-03-09,0.32397417340959817,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,MAM,2,2012-03-17,0.7444897242954801,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_vils,17207508,7,MAM,3,2012-03-25,1.2014652252197264,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
