network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
gkd_bayern_alz,18403002,7,JJA,5,2011-07-21,0.936083384922573,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,JJA,6,2011-07-31,0.6519309997558597,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,JJA,7,2011-08-10,0.5069525037493027,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,JJA,8,2011-08-20,3.280503027779716,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,JJA,9,2011-08-31,1.1340406145368307,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,0,2011-03-01,0.9440004621233259,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,1,2011-03-09,0.840302644457136,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,2,2011-03-17,1.0151298795427595,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,3,2011-03-25,1.1091667447771345,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,4,2011-04-19,1.9421140670776365,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,5,2011-04-28,1.0385595866612027,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,6,2011-05-06,0.6912026814052036,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,7,2011-05-14,1.3623707635062081,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,8,2011-05-22,0.9427327837262833,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,9,2011-05-31,0.9377579280308309,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,0,2010-10-14,0.9872522626604352,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,1,2010-10-29,0.529272733415876,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,2,2010-11-13,1.639440291268485,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,3,2010-11-29,0.49736460277012423,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,4,2011-09-14,0.7281683240618025,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,5,2011-09-29,0.5274225507463731,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,6,2011-10-15,0.8851543698992048,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,7,2011-10-30,0.2056567873273575,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,8,2011-11-14,0.44661528723580496,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,SON,9,2011-11-30,0.6388304029192244,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,30,DJF,0,2010-12-01,0.924409195582072,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,30,DJF,1,2010-12-11,0.568851089477539,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,30,DJF,2,2010-12-21,0.8131461222966511,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,30,DJF,3,2010-12-31,0.8823957689603169,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,30,DJF,4,2011-01-10,0.6913065926233929,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,30,DJF,5,2011-01-20,0.6208188883463541,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,30,DJF,6,2011-01-30,0.5358716368675231,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,30,DJF,7,2011-02-09,0.6295567401250203,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,30,DJF,8,2011-02-19,1.1362266588211059,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,30,DJF,9,2011-12-02,0.7125486087799072,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,30,JJA,0,2011-06-01,1.1970375696818032,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,30,JJA,1,2011-06-11,1.0042358016967776,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
