network_id,station_id,gap_length,air2stream_mae_deg_c,xgboost_mae_deg_c,n_placements,simple_predicted_loss,empirical_transfer_prediction
usgs2_huc2_12,08065350,7,0.7194854639574154,0.48160964693341946,20,0.5445366137545316,0.6355902255262647
usgs2_huc2_12,08065350,14,0.866615081934269,0.8727689525059292,20,0.9048747241539784,1.4219518498983563
usgs2_huc2_12,08065350,30,0.7516408225883466,1.0093354409535726,20,1.1885293763714415,1.2992088697274524
usgs2_huc2_12,08065350,60,0.8061534960124132,1.3300625243186952,20,1.395252385708387,1.4219518498983563
usgs2_huc2_12,08065350,90,0.8125663823773491,2.018233358065287,20,1.6619527889362042,2.10533367268112
usgs2_huc2_12,08065350,180,0.8049026189854702,2.8785108399391177,8,2.6562773036585448,4.569495265801748
usgs2_huc2_15,09429490,7,0.9822522450482329,0.6932530389513287,20,0.6230816753376041,0.5461564195496694
usgs2_huc2_15,09429490,14,0.9661552378540994,0.7532425934927803,20,1.1795531953236225,1.534635485451077
usgs2_huc2_15,09429490,30,0.9631242365797364,0.8416458565394084,20,1.4176623974604547,0.9923071219921112
usgs2_huc2_15,09429490,60,1.001833863019723,1.1090256287256877,20,1.5967839601593137,1.534635485451077
usgs2_huc2_15,09429490,90,0.9645273755633035,1.413639238463508,20,1.8682258436470272,1.5528447863207924
usgs2_huc2_15,09429490,180,0.9137121246411883,3.360713086658054,20,2.921948705958921,3.3893496734778084
usgs2_huc2_15,09429490,365,1.0092125095003808,9.429094322674896,20,5.359401267823806,1.534635485451077
usgs2_huc2_18,11044000,7,0.9497315388558816,0.44595593861171173,20,0.6280073519628548,0.7168570337976728
usgs2_huc2_18,11044000,14,1.0293050373399188,0.6609653663635252,20,1.0588453101848838,1.3243899889035673
usgs2_huc2_18,11044000,30,1.0089497371669995,0.7605246823628742,20,1.3722865447197106,1.3645086770534516
usgs2_huc2_18,11044000,60,0.9612500627515794,0.8955691243807475,20,1.7127453355739308,1.3243899889035673
usgs2_huc2_18,11044000,90,0.9575333790806398,1.1238800362481012,20,1.9998252781604569,2.080960162623723
usgs2_huc2_18,11044000,180,0.842174154023715,2.5084514985614352,20,3.1247586311079285,2.9626881272580894
usgs2_huc2_18,11044000,365,0.8435273237477589,4.907162834663914,20,5.681113681297004,1.3243899889035673
usgs2_huc2_18,11475560,7,1.0788150955434623,0.5774680130822317,20,0.7531118715431622,0.6933035706111363
usgs2_huc2_18,11475560,14,1.1386853939794626,0.703973285811288,20,1.2492268160768834,1.3243899889035673
usgs2_huc2_18,11475560,30,1.0924311808587293,0.8594013768831887,20,1.638521450888611,1.0441495681524278
usgs2_huc2_18,11475560,60,1.0816669179319836,1.0478888835906983,20,1.8783719984629408,1.3243899889035673
usgs2_huc2_18,11475560,90,1.0366299706869642,1.3678030109405517,20,2.1518784235750217,1.64301383521027
usgs2_huc2_18,11475560,180,1.0630463256711091,2.124718235810598,20,3.2376040018658983,2.5600398471368684
usgs2_huc2_18,11475560,365,1.0624824382196938,3.299024690353707,20,5.706793744012677,1.3243899889035673
usgs2_huc4_0401,04026561,7,0.9579152094168698,0.4093246239362932,20,0.6751829821499893,0.452589181750175
usgs2_huc4_0401,04026561,14,0.8481588771527597,0.4944292869455616,20,0.7196014177181838,1.2062458749635276
usgs2_huc4_0401,04026561,30,0.8079288091033924,0.739390057834383,20,0.7055829190165102,0.7598895820887834
usgs2_huc4_0401,04026561,60,0.8569771831615147,0.8057661144149664,20,0.847279617099117,1.2062458749635276
usgs2_huc4_0401,04026561,90,0.9454365674516823,1.563940240894015,20,1.1236031081094695,1.6318187622102027
usgs2_huc4_0401,04026561,180,0.9904131109193335,3.761628594528273,20,2.203064616152715,3.670143610159556
usgs2_huc4_0401,04027000,7,0.9740738210891464,0.5032825728942406,20,0.6631643760692212,0.4447937777580851
usgs2_huc4_0401,04027000,14,0.9267020042181567,0.4804423787391611,20,0.6943404245588312,1.2062458749635276
usgs2_huc4_0401,04027000,30,0.8534320594063429,0.6064065208104148,20,0.6741009432203231,0.5411733579506501
usgs2_huc4_0401,04027000,60,0.8950363674136017,0.6898486531780024,20,0.8210689194043572,1.2062458749635276
usgs2_huc4_0401,04027000,90,0.9861311949045529,1.07485403933195,20,1.1025430153750642,1.1217399697105488
usgs2_huc4_0401,04027000,180,1.0273248835569784,1.910262334685936,20,2.1890276298364566,3.068969359782007
usgs2_huc4_1111,07198000,7,1.1455588730441142,0.44521382740565707,20,0.4236016201280081,0.5192623136043548
usgs2_huc4_1111,07198000,14,1.1826300819984414,0.6371538390432084,20,0.631344902632285,1.532698309526654
usgs2_huc4_1111,07198000,30,1.2451598807600965,0.696045047601064,20,0.6288530873531737,0.6947694068908692
usgs2_huc4_1111,07198000,60,1.1308283247373532,1.1337377990881603,20,0.8649014679913589,1.532698309526654
usgs2_huc4_1111,07198000,90,1.031671652435595,1.094982289844089,20,1.207563701469302,1.4237074896995137
usgs2_huc4_1111,07198000,180,0.6203343708666428,2.3028466964562733,20,2.509525155773938,2.027004485179896
usgs2_huc4_1707,14034500,7,0.9853131331304372,0.30672136783599846,20,0.0982156859017475,0.3009902395218137
usgs2_huc4_1707,14034500,14,1.0550691812340536,0.32815453699656894,20,0.5147750698746714,0.7085873695614422
usgs2_huc4_1707,14034500,30,1.0412569877585622,0.5104610424439112,20,1.1435261457830446,0.663094624042511
usgs2_huc4_1707,14034500,60,1.0308453412250214,0.862684891283512,20,1.9000406274773571,0.7085873695614422
