network_id,role,n_sites_planned,network_plan_sha256,materialization_status,n_auxiliary_rows,n_source_failures_or_unavailable,n_M_cells_materialized,n_H_cells_materialized,n_M_cells_failed_or_unavailable,n_H_cells_failed_or_unavailable,mean_M_eligible_coverage,mean_H_eligible_coverage,all_raw_response_hashes_complete
huc8_01070004,development,3,0757a8fb58d1c860aedf6df742241a82b5b6117edb35d589e1a0176d15862d94,not_materialized,0,0,0,0,0,0,,,False
huc8_01090001,development,9,b849139c6928e57419c22abf34dfab7df835e63451034af645a9e17630d80442,not_materialized,0,0,0,0,0,0,,,False
huc8_01090004,development,9,8646dcab19e8d14cd39b9739e0dc67d2594bd264784aae4922f10cd047dac5f6,not_materialized,0,0,0,0,0,0,,,False
huc8_02020006,development,3,1e1c81c38a2487ee3727c055c008d42d0a1cb18eb2dd01e7675eeeaf63dbb6b4,not_materialized,0,0,0,0,0,0,,,False
huc8_02040103,development,3,50a9d3ab153ee87209736c9108d8991efd66672d9b56dc8e74e43a84fa783689,materialized_partial,205044,3,15,3,0,3,1.0,0.49211163505250227,True
huc8_02040106,development,5,5c721272886068eb59e67e693e1136cec4d35777e269f03d027100b91e3a114c,not_materialized,0,0,0,0,0,0,,,False
huc8_02040203,development,3,9c2c49bf4dfbffe5f69a97ad70fd3798c45dfadc99dd634c467b5d94342a15fc,not_materialized,0,0,0,0,0,0,,,False
huc8_02040205,development,8,24d227ab4dc28e6fc406c0966ebaa3a3788e2832aaadfaacd35533cb6b348fb7,not_materialized,0,0,0,0,0,0,,,False
huc8_02050104,development,3,de2a7b60f79790a68c6ca8d7db86e0ce784aaf907b90a45a68f026faf5d1265c,not_materialized,0,0,0,0,0,0,,,False
huc8_02050305,development,4,b6ab66b8beda3c2ecc0646f3dc6b0468f327136d24f7a0deb4d6e07200629b79,not_materialized,0,0,0,0,0,0,,,False
huc8_02060003,development,4,590fe55dda00ecd44e1d45a548a893a130d47ae5a402a28800bf53a4c7d4b8e9,not_materialized,0,0,0,0,0,0,,,False
huc8_02070002,development,3,4c2e9b7e265c98ae91b1e6b1c44d885afc2e12b102aafd3fcc47efb56ddecdbb,not_materialized,0,0,0,0,0,0,,,False
huc8_02070008,development,3,fff29e37d0ee9bf50fdb4497fd101f23fe9426374299f773a80dee52467819b3,not_materialized,0,0,0,0,0,0,,,False
huc8_02070010,development,4,5987c96a4c4c42b38916d74e48882dea2637cb56aa99dee643393537ca33469b,not_materialized,0,0,0,0,0,0,,,False
huc8_02080201,development,7,981e0d90902649e767f90001d1a77ec3a45101bf80a594e95ddc5ed6367a70a3,not_materialized,0,0,0,0,0,0,,,False
huc8_03070101,development,3,d7792a6a93b3b4ca84f6baafa2ea98ec4e55ff8ce56f66cee108ea5eb9defe65,not_materialized,0,0,0,0,0,0,,,False
huc8_04020105,development,3,42211e5b35c3bd5c62e8040f0ae70c01fe18d34603e9c92697ace3f2fede29d0,not_materialized,0,0,0,0,0,0,,,False
huc8_04040003,development,3,8aca797a72035daa737be2b9a3868af1497f75ab26f1036e83a6f94f80cadf25,not_materialized,0,0,0,0,0,0,,,False
huc8_04060102,development,5,b766985394ea8bf7e3775cb1af415c6f1a891bcf87b9a3ad8d906fe78126ca99,not_materialized,0,0,0,0,0,0,,,False
huc8_04060103,development,4,364252416873cd22cc90c40e25f7023c881df8c96f1ba804e8bd7cdb364784da,not_materialized,0,0,0,0,0,0,,,False
huc8_04070007,development,8,7885d75d32c76288f37ad71612841f84adb044d93fcff6f29796173cba132a11,not_materialized,0,0,0,0,0,0,,,False
huc8_04140101,development,3,4e515c06cc2fd071b2b3c19469134e130db03375169f79e583bfc568f263c330,not_materialized,0,0,0,0,0,0,,,False
huc8_05010005,development,4,7e62e30f031f23b47e8e62855b2cc4439803b4a40848566fc9c0cf2afde62aa8,not_materialized,0,0,0,0,0,0,,,False
huc8_05010006,development,5,51655a76c7f584f726b71d906a30476cfe92df6c0590c8b8bf12db288b401af1,not_materialized,0,0,0,0,0,0,,,False
huc8_05010007,development,4,808a37b1d951fef0c7e9127fc041f66b1b7cf9be49719d971a546bb2667b385b,not_materialized,0,0,0,0,0,0,,,False
huc8_05020001,development,3,60ac32426d0fcabfb2c2da58848ceb031f4532e18d11f0c5a434c8282d7945c8,not_materialized,0,0,0,0,0,0,,,False
huc8_05020005,development,4,d93f790dbc0282fd9ce6224ec840cdc635eb56a9b4856407b70f8d3aa2bb680a,not_materialized,0,0,0,0,0,0,,,False
huc8_05020006,development,5,acd788ade1309e8b88e9a3b50a6ad58ef25c5e08a8005ecec6727d868f63cd3e,not_materialized,0,0,0,0,0,0,,,False
huc8_05030102,development,5,6c1840d56d65ecba9f502d5615d57e09551909f5680cf5193b29fbd6ee0c213b,not_materialized,0,0,0,0,0,0,,,False
huc8_05040001,development,11,82e4abb868766e87fefcac6ea762eb61cf6095418ce606df25cb532f34640505,not_materialized,0,0,0,0,0,0,,,False
huc8_05040005,development,3,3e610ec9f26c494d69bdfa38236f9be9630680a7f36f4c23686dc85c3bdd073c,not_materialized,0,0,0,0,0,0,,,False
huc8_05090203,development,3,a3db6982b7e3d8e71f5483ef33873a97be9bf70330fe13a8fcbeffa188cf15f5,not_materialized,0,0,0,0,0,0,,,False
huc8_05110001,development,3,2982bdc6bc5d63a0b9ea1aaa887efe7eb9fef85d0c2f2af887f9c4c0cfa3e106,not_materialized,0,0,0,0,0,0,,,False
huc8_05120201,development,5,cc7838337f535d524836790fa57eeb0e690fc5cad564c9be11dbba61aefe6ff5,not_materialized,0,0,0,0,0,0,,,False
huc8_05130202,development,3,946314a7de38686ed68f7d1a0586eff229095ab23f0e58b1e282b081dfd9aa73,not_materialized,0,0,0,0,0,0,,,False
huc8_05140101,development,8,63418587f49821923b7ec2a0ba081c804da288790bd9095a404c3019ccd19fca,not_materialized,0,0,0,0,0,0,,,False
huc8_05140102,development,13,890530424a4701cf93325961daefa0cbfccc8ee476aaefbef9ed622324cc23dc,not_materialized,0,0,0,0,0,0,,,False
huc8_07040006,development,4,bb1ff3326889c683aed0c48e3e3bbac99cbb8d579ecc393f50ff4c83bb488cd0,not_materialized,0,0,0,0,0,0,,,False
huc8_07070005,development,3,e35fb871823e2819b8e56a893f9e46c09a0a808f54cc2d7e26dbf6dfcef32782,not_materialized,0,0,0,0,0,0,,,False
huc8_07120001,development,9,eb95b899c93661da00bdba21a724b9a4883ee6ca20f1b8b25dd7a61890711fb4,not_materialized,0,0,0,0,0,0,,,False
huc8_07120004,development,3,d8a7425d8de53135733ccb048a148f4b33e6f9660ded986a14818f1b4f9dc5ea,not_materialized,0,0,0,0,0,0,,,False
huc8_10230006,development,3,7554a8b892018b30e1f0f41402394ac3857caac3f9bab01f92aad0db9d7ff063,not_materialized,0,0,0,0,0,0,,,False
huc8_10300101,development,5,1a7bb2e9b372a2d935b82fc4c2b0db588fb20e06a9e6adb3fd83d791e581842e,not_materialized,0,0,0,0,0,0,,,False
huc8_13060011,development,3,f6b05d3f57e692a907bd0e3e662e16ad85661c2699cfa5cc1cf3172bf4be252d,not_materialized,0,0,0,0,0,0,,,False
huc8_15030108,development,3,f2d56f94993f5b5218fd7fee440e40fc15ad343346d9eeea1b98c1a14fd94621,not_materialized,0,0,0,0,0,0,,,False
huc8_16020102,development,3,5c9e6895c8afca155aebd0a147d742b77de8749c2697bebd4fa0e1b2e1c12dbb,not_materialized,0,0,0,0,0,0,,,False
huc8_16050102,development,3,c68b7c150152197d9f1f665444fb8cfc9718ca5793cda5b2853d6f274979084e,not_materialized,0,0,0,0,0,0,,,False
huc8_03040206,validation,4,03962f359877cb2c5771129ab0c41498d465d9994fd291ba23eb26e2d9d8f20c,not_materialized,0,0,0,0,0,0,,,False
huc8_03050106,validation,3,79315606f2d11c85f3ee0bbe2be2f0676a2b248e9e329fffac1c477def70f804,not_materialized,0,0,0,0,0,0,,,False
huc8_03050109,validation,5,f23003326b10e5b7ad8ad2b1b239820183c1b73c4ec79c501c7cf034392397df,not_materialized,0,0,0,0,0,0,,,False
huc8_03050208,validation,5,58edff6f39eb9ed9e5ec8aff4044d2b13c6caaa77fdbfa11f03080a4d368d9ae,not_materialized,0,0,0,0,0,0,,,False
huc8_03060106,validation,4,56bfb8114b8468c1c00052f803068e55de0c8f27d92486fabc2077552ab6d9f4,not_materialized,0,0,0,0,0,0,,,False
huc8_03070103,validation,19,faa7527da80495bf49a340bf4bbbfdde7f10df2b50a08463c88846f3519498fa,not_materialized,0,0,0,0,0,0,,,False
huc8_03080103,validation,16,d65eaf34971f99bf3bfd93e240f4e2477876060a14417c15bc7f2fc5e152f220,not_materialized,0,0,0,0,0,0,,,False
huc8_03090101,validation,5,7726ea9801b34f2fb99af30e2c2deaf1cf356e7aef75a76709ea3b97884717e5,not_materialized,0,0,0,0,0,0,,,False
huc8_03090204,validation,7,9f4caeb8e2d35ef5f1f56305d0d771747decf529d9f116922b8794b04154a7db,not_materialized,0,0,0,0,0,0,,,False
huc8_03100101,validation,4,c7beb2b9ef4915633706eb61bbba7b82fe7c86c8efd85ded4e722b0d97a5b254,not_materialized,0,0,0,0,0,0,,,False
huc8_03100204,validation,3,2120c9748fe28963889b9e1b3ced4c202752f7a3c424d094adec370f46fb9ad6,not_materialized,0,0,0,0,0,0,,,False
huc8_03100205,validation,5,9e8c894c5b7d4ffe444df836ba3a8765e11d82a6a7ab8b9d385ab62e24e5adee,not_materialized,0,0,0,0,0,0,,,False
huc8_03100207,validation,12,897fcde69f613b1251de581f236acfc93f3fc0225fc7998760f61188e48ec998,not_materialized,0,0,0,0,0,0,,,False
huc8_03150104,validation,5,a47b243217c7c07827b2de4cbeb8e3a80b52e33980306f98ac443163174da94a,not_materialized,0,0,0,0,0,0,,,False
huc8_03160111,validation,5,e01ab72cc65f8d5633b32f7949519d2c9cfc758a4a83c545b13060ab4cd58cdf,not_materialized,0,0,0,0,0,0,,,False
huc8_11010014,validation,3,9fe06a2125bd65cf27735b7999c2b86484062e0361fcd9c0f87d29a27656220d,not_materialized,0,0,0,0,0,0,,,False
huc8_11020002,validation,5,6a14e3beaeb99108b891b2d518cd9e4e88c521a39baea9a842d60939bc3150fd,not_materialized,0,0,0,0,0,0,,,False
huc8_11020003,validation,5,c26b9e07283d9aa6a79c6073e95f5f2214786c294ae81bdeef8cbc98198aefa3,not_materialized,0,0,0,0,0,0,,,False
