held_out_ecoregion,n,base_rate,within_fold_auc
CntlPlains,22,0.5909090909090909,0.7692307692307693
EastHghlnds,31,0.7096774193548387,0.6111111111111112
MxWdShld,15,0.7333333333333333,0.38636363636363635
NorthEast,33,0.7272727272727273,0.8194444444444444
SECstPlain,6,0.16666666666666666,0.19999999999999996
SEPlains,63,0.5079365079365079,0.563508064516129
WestMnts,123,0.6016260162601627,0.4988968560397131
WestPlains,20,0.95,0.42105263157894735
WestXeric,16,0.8125,0.5384615384615385
