held_out_ecoregion,n,base_rate,within_fold_auc
Alaska,6,0.0,
CntlPlains,22,0.5909090909090909,0.6666666666666667
EastHghlnds,31,0.7096774193548387,0.7424242424242424
MxWdShld,15,0.7333333333333333,0.6136363636363636
NorthEast,33,0.7272727272727273,0.7546296296296297
SECstPlain,6,0.16666666666666666,0.4
SEPlains,63,0.5079365079365079,0.13205645161290322
WestMnts,123,0.6016260162601627,0.5132377275234418
WestPlains,20,0.95,0.42105263157894735
WestXeric,16,0.8125,0.4871794871794872
