station_id,model,missing_rate,pattern,target,metric,mean,median,std,ci_lower,ci_upper,n_events,ci_method,reason
B1,air_hydro,0.1,T,T,MAE,1.6750216128035866,1.6705651795717644,0.06785651435283482,1.6445944565789528,1.7048790995377074,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.1,T,T,RMSE,1.9696257353283824,1.9723655155144266,0.051970692843565924,1.9479196462245612,1.9923726822577728,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.1,T,T,skill,-1.139001419871945,-1.1325631158764469,0.17310959564377465,-1.2094832470595858,-1.0658326238072575,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.1,T+F+L,T,MAE,0.747598044845664,0.7446734218012738,0.052403866388994094,0.7262847034746562,0.7712601640547584,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.1,T+F+L,T,RMSE,0.9256909929579281,0.9258453216842729,0.05965749034621769,0.8996245904757554,0.9497355849192783,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.1,T+F+L,T,skill,0.04756925904651148,0.05737178458171194,0.06762446881702804,0.017283795698264347,0.07677440228803105,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.3,T,T,MAE,1.672483110794103,1.6733893226047627,0.03231532383506524,1.6585968484352442,1.6854824352943605,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.3,T,T,RMSE,1.9665423205513064,1.963007083034664,0.028385568601941257,1.9546614730354954,1.9781505947250324,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.3,T,T,skill,-1.1235689607553865,-1.1153866906583052,0.08925979172940096,-1.1630553930093386,-1.0854459227972153,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.3,T+F+L,T,MAE,0.7400847327301268,0.7362256971663741,0.02885183397369385,0.7279470385846489,0.7526016170342996,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.3,T+F+L,T,RMSE,0.9201683612383595,0.9123045109266217,0.037024010532103135,0.9045139095739231,0.9339022064384179,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.3,T+F+L,T,skill,0.06102925456098089,0.05989758615247104,0.033407334385509635,0.04698069630448185,0.07488176557753,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.5,T,T,MAE,1.6755138211930116,1.6709144587617883,0.0396658413183875,1.6583659408124896,1.6911223241781346,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.5,T,T,RMSE,1.9696894590013603,1.972363663876024,0.03908264943161021,1.952738263487754,1.9845219269155023,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.5,T,T,skill,-1.1223294420508472,-1.1356038141370384,0.06438649549327087,-1.1485234740375867,-1.0959531031324066,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.5,T+F+L,T,MAE,0.7394496465948388,0.7415415303816238,0.017251722311353797,0.7323992729882703,0.7462273401044727,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.5,T+F+L,T,RMSE,0.9213212324672988,0.9219011427569612,0.020957948649406616,0.9126397309204483,0.9300699862924359,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,0.5,T+F+L,T,skill,0.06351355106013312,0.06886138738778741,0.022302584687633742,0.05331705803933969,0.07210275186370531,20,percentile bootstrap over scenario_id (1000 replicates),
