station_id,model,experiment,mask_type,gap_length,pattern,target,metric,mean,median,std,ci_lower,ci_upper,n_events,ci_method,reason
B1,air_hydro,M2,block,10.0,T,T,MAE,2.0806049262542796,2.2101911800473544,0.5606016146226541,1.826184859060825,2.2999700975277944,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,10.0,T,T,RMSE,2.14526487458138,2.231143256586134,0.5340487640225795,1.915353800196733,2.366591725980783,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,10.0,T,T,skill,-4.165712302289206,-3.7134998845308242,3.989464736343571,-6.073408588547232,-2.6681416802186457,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,10.0,T+F,T,MAE,2.5900735682757334,2.2467367445348465,1.1188761072426432,2.1519880550326556,3.060500254306475,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,10.0,T+F,T,RMSE,2.655772168563421,2.3143841018039093,1.0945678461967399,2.2129391773321148,3.1088703396542954,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,10.0,T+F,T,skill,-5.091660294882332,-3.879303751892324,4.685108914959066,-7.20541676550431,-3.3391098647890765,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,10.0,T+F+L,T,MAE,0.6783023363923327,0.6913422254645136,0.30035549650744225,0.5504232537464419,0.8007645218556909,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,10.0,T+F+L,T,RMSE,0.7666839175619515,0.7619643383145756,0.31856326747416963,0.6286617855522219,0.8950555776036188,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,10.0,T+F+L,T,skill,-0.4391842562043853,0.0624224739334564,1.1727332312149035,-1.000081719193861,0.02583752118646457,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,10.0,T+L,T,MAE,0.7869409771706455,0.6229345524400562,0.7294201811923962,0.5018962153498584,1.116076433346976,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,10.0,T+L,T,RMSE,0.8637992417723035,0.6786526183192659,0.7494957640197223,0.5778660046590012,1.198870773975372,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,10.0,T+L,T,skill,-0.2716146149264492,-0.013116920270198562,0.7461909189944633,-0.6070822250472352,0.03859912475846493,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,30.0,T,T,MAE,2.1565719614684413,2.338476634672273,0.6408936986067958,1.8829901931924355,2.422514721980523,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,30.0,T,T,RMSE,2.26969618223728,2.38054981242382,0.5832487124118486,2.0216302157820043,2.503413149845037,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,30.0,T,T,skill,-2.93095551469238,-2.738117584397708,2.106027142249274,-3.8773024259169135,-2.0158832972828895,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,30.0,T+F,T,MAE,2.725820692147641,2.2480656581097307,1.1253513206256311,2.2354548713712465,3.188913331752976,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,30.0,T+F,T,RMSE,2.820849567375789,2.3174044150258792,1.108587036441818,2.3781855456325607,3.288643049814318,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,30.0,T+F,T,skill,-3.693742672462631,-3.3081562071795414,2.9625204358441786,-4.986585168909113,-2.5476169085343554,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,30.0,T+F+L,T,MAE,0.7591682524100977,0.7054429235705979,0.3588148147035103,0.6101253605453665,0.9139086059507497,20,percentile bootstrap over scenario_id (1000 replicates),
B1,air_hydro,M2,block,30.0,T+F+L,T,RMSE,0.8719380939683676,0.8204369745620321,0.37370869702117554,0.7136202742707146,1.0366835086759334,20,percentile bootstrap over scenario_id (1000 replicates),
