panel,subset,n,corr_empirical_r6_spearman,corr_empirical_r6_pearson,corr_empirical_simple_spearman,corr_empirical_simple_pearson
second,direct_874,874,0.9958876262609808,0.9917401260505299,0.8010132463003267,0.7642634231842507
second,all_1446,1446,0.9957538048920114,0.992287327361551,0.6053450307315359,0.3927186818178561
first,direct_858,858,0.9976077583416448,0.9947512774892454,0.6210383506881625,0.5895343411892362
first,all_1440,1440,0.9982682209885566,0.9954033551159847,0.4225056148372817,0.2661233729751245
