panel,subset,level,delta_mean,ci_low,ci_high,win_fraction,repeats,seed
second,direct_874,pooled,0.0029225970876063318,-0.00037295557944299056,0.006765419442315445,0.9585,2000,0
second,direct_874,network,0.04174908668768268,-0.0005881089985713293,0.1154312028894274,0.9705,2000,0
second,all_1446,pooled,0.0045672304069261475,0.0011486605319366405,0.008952109882810824,0.9985,2000,0
second,all_1446,network,-0.010670847192212495,-0.034928292822327615,0.007600925048629272,0.133,2000,0
first,direct_858,pooled,0.0001383134363981995,-0.004026380426839227,0.0038509729569434184,0.5525,2000,0
first,direct_858,network,0.0024444945475993788,-0.02388132453481635,0.026164103522303486,0.5965,2000,0
first,all_1440,pooled,0.0002832071125231965,-0.002481845849781658,0.002807948900473317,0.587,2000,0
first,all_1440,network,-0.011659003173752179,-0.04442245949334636,0.008613334972135844,0.172,2000,0
