network_id,station_id,gap_length,horizon_group,empirical,r6,simple,surface,observed,domain,subset
chmi_berounka,0-203-1-186000,7,direct,0.4159946077797316,0.4211421297044622,0.5225336690036173,0.5315202890406742,0.4832042235065075,czechia,direct
chmi_berounka,0-203-1-186000,14,fallback,1.4850117888568983,1.4850117888568983,0.7050737651108161,0.6832543313100757,0.5233123019579426,czechia,fallback
chmi_berounka,0-203-1-186000,30,direct,0.7993796159308151,0.799986582108301,0.8782516964887876,0.7704727750089434,0.6654486207552777,czechia,direct
chmi_berounka,0-203-1-186000,60,fallback,1.4850117888568983,1.4850117888568983,1.0825359581178158,0.9598855150750808,0.9138854917187504,czechia,fallback
chmi_berounka,0-203-1-186000,90,direct,1.244921781826693,1.2063857546760337,1.3124746261110372,1.2602255227303865,1.2321202060653458,czechia,direct
chmi_berounka,0-203-1-186000,180,direct,2.74249018452156,2.827863077827807,2.223008472855577,2.1949413520205527,3.154958709897884,czechia,direct
chmi_berounka,0-203-1-186000,365,fallback,1.4850117888568983,1.4850117888568983,4.286994069339211,2.3390518273144365,5.879213017479146,czechia,fallback
chmi_berounka,0-203-1-187200,7,direct,0.4185048611119469,0.4301137822492767,0.5018382807879223,0.4970386190520414,0.354332822026303,czechia,direct
chmi_berounka,0-203-1-187200,14,fallback,1.4850117888568983,1.4850117888568983,0.728015317817067,0.6451958248210897,0.5104524577623815,czechia,fallback
chmi_berounka,0-203-1-187200,30,direct,0.8154553576599664,0.8166296657272698,0.9598940307756434,0.7308290436673105,0.608564092236809,czechia,direct
chmi_berounka,0-203-1-187200,60,fallback,1.4850117888568983,1.4850117888568983,1.1625298674204154,0.9170587709937762,0.9120544830052576,czechia,fallback
chmi_berounka,0-203-1-187200,90,direct,1.2497350603573727,1.189642453305535,1.3934576342706193,1.2135608113639302,1.1662462855443745,czechia,direct
chmi_berounka,0-203-1-187200,180,direct,2.6924110508381647,2.724668535111683,2.2815637015659744,2.1224862740369925,3.0076600510766847,czechia,direct
chmi_berounka,0-203-1-187200,365,fallback,1.4850117888568983,1.4850117888568983,4.3295728503956,2.266090865184921,5.649839582773813,czechia,fallback
chmi_berounka,0-203-1-194500,7,direct,0.5937779479301492,0.6096325664298401,0.3271142225351897,0.577869483888702,0.5017016870634896,czechia,direct
chmi_berounka,0-203-1-194500,14,fallback,1.4850117888568983,1.4850117888568983,0.6690670628218509,0.7339933723739164,0.5833687749317286,czechia,fallback
chmi_berounka,0-203-1-194500,30,direct,1.0371489538768377,1.0478516858701532,1.0261909244752565,0.8252789686192058,0.7595987252421863,czechia,direct
chmi_berounka,0-203-1-194500,60,fallback,1.4850117888568983,1.4850117888568983,1.2688132390931963,1.0186972734693145,1.1847141768618696,czechia,fallback
chmi_berounka,0-203-1-194500,90,direct,1.637335632773604,1.578930858912302,1.5218549306626945,1.3255370310073418,1.4746174791559472,czechia,direct
chmi_berounka,0-203-1-194500,180,direct,3.32307997711429,3.397212608798146,2.475892242521988,2.281944865597801,3.679277637658208,czechia,direct
chmi_berounka,0-203-1-194500,365,fallback,1.4850117888568983,1.4850117888568983,4.526881990533307,2.4477668451520542,6.721445520790407,czechia,fallback
chmi_berounka,0-203-1-198000,7,direct,0.6443679087121612,0.6560436851074708,0.5565155299027695,0.7062816471308115,0.6042427921827349,czechia,direct
chmi_berounka,0-203-1-198000,14,fallback,1.4850117888568983,1.4850117888568983,0.717715231891759,0.8760932048463568,0.6992400344762553,czechia,fallback
chmi_berounka,0-203-1-198000,30,direct,1.1489061127982805,1.154884264102722,0.8432855248466893,0.9735147577741544,0.9076974560247812,czechia,direct
chmi_berounka,0-203-1-198000,60,fallback,1.4850117888568983,1.4850117888568983,1.0067801077103178,1.1808549800415982,1.2940437230747164,czechia,fallback
chmi_berounka,0-203-1-198000,90,direct,1.663663182996601,1.6068570098927275,1.2371471409771009,1.5128529678391824,1.5259708108499548,czechia,direct
chmi_berounka,0-203-1-198000,180,direct,3.248861578226697,3.332800050173175,2.141726556526684,2.540149249244327,3.5259645820934624,czechia,direct
chmi_berounka,0-203-1-198000,365,fallback,1.4850117888568983,1.4850117888568983,4.213070517107598,2.720738129320969,6.610413708367839,czechia,fallback
chmi_berounka,0-203-1-198600,7,direct,0.4893095720495867,0.4989887675020791,0.5640142382532087,0.6202858758755523,0.4391341125492064,czechia,direct
chmi_berounka,0-203-1-198600,14,fallback,1.4850117888568983,1.4850117888568983,0.74846437970815,0.7811656854764896,0.5905718292187806,czechia,fallback
chmi_berounka,0-203-1-198600,30,direct,0.9640743785000192,0.9758289606720206,0.9322769191199451,0.8746787941169835,0.7654626371592079,czechia,direct
chmi_berounka,0-203-1-198600,60,fallback,1.4850117888568983,1.4850117888568983,1.1175875517888156,1.0734365782789317,1.080038505571976,czechia,fallback
chmi_berounka,0-203-1-198600,90,direct,1.4470275541711413,1.402310142276751,1.3459405680308678,1.3906097117323972,1.3824796382091264,czechia,direct
