panel,subset,level,delta_mean,ci_low,ci_high,win_fraction,rho_empirical_boot_mean,rho_r6_boot_mean,n_networks,n_units,repeats,seed,skipped_degenerate_draws
second,direct_874,pooled,0.0028259576493434324,-0.0004487651914344748,0.006563337431588003,0.9505,0.944691503072353,0.9418655454230095,57,874,2000,42,0
second,direct_874,network,0.04123125001182226,-0.00039081267820746104,0.11398808019196487,0.9705,0.7974365962237538,0.7562053462119318,57,874,2000,42,0
second,all_1446,pooled,0.0044908373240473585,0.0010268426678969433,0.008797307895334927,0.996,0.7390931798819821,0.7346023425579348,57,1446,2000,42,0
second,all_1446,network,-0.011005415657057163,-0.035556795581778974,0.007855472458831524,0.1295,0.7112049000064058,0.722210315663463,57,1446,2000,42,0
first,direct_858,pooled,0.00019217938472992967,-0.0037247499765738156,0.003852229931941791,0.5605,0.8267421427678937,0.8265499633831639,42,858,2000,42,0
first,direct_858,network,0.0024515859017937504,-0.023693750199053013,0.027448488408847428,0.5995,0.7883431243944976,0.785891538492704,42,858,2000,42,0
first,all_1440,pooled,0.0002880637631762526,-0.002391834860110484,0.0028248721394171948,0.5965,0.6324621642629514,0.6321741004997752,42,1440,2000,42,0
first,all_1440,network,-0.011843942320562522,-0.04529285151318254,0.008614594623164325,0.165,0.7528269629626189,0.7646709052831814,42,1440,2000,42,0
