event_id,pair_id,anchor_id,station_id,event_type,season,episode_length,analysis_eligible,cluster_id,cluster_size,station_cluster_id,station_cluster_size,station_event_type_cluster_id,station_event_type_cluster_size,experiment_family
M7BEVENT-20181006-20180907-20180921-EBFA0658167B,M7BPAIR-M7BEVENT201810062018090720180921EBFA0658167B-M7BCONTROL201809212018102120181104F5555DC9FBDD-854041C615FA,M7BANCHOR-M7BEVENT201810062018090720180921EBFA0658167B-M7BCONTROL201809212018102120181104F5555DC9FBDD-854041C615FA,B1,flood,SON,15,True,EC0018,10,STB1-SC0018,3,ETB1flood-TC0003,1,M7b
M7BEVENT-20181013-20181006-20181020-101AAE968D8B,M7BPAIR-M7BEVENT201810132018100620181020101AAE968D8B-M7BCONTROL20181020201810222018110500C6A5A30362-2A5C5540B411,M7BANCHOR-M7BEVENT201810132018100620181020101AAE968D8B-M7BCONTROL20181020201810222018110500C6A5A30362-2A5C5540B411,B1,flood,SON,15,True,EC0019,12,STB1-SC0020,4,ETB1flood-TC0004,1,M7b
M7BEVENT-20181114-20181107-20181121-8C3324B97270,M7BPAIR-M7BEVENT2018111420181107201811218C3324B97270-M7BCONTROL201811212018102320181106691D7A869AAC-BAA209B90D39,M7BANCHOR-M7BEVENT2018111420181107201811218C3324B97270-M7BCONTROL201811212018102320181106691D7A869AAC-BAA209B90D39,B1,flood,SON,15,True,EC0020,9,STB1-SC0021,5,ETB1flood-TC0005,1,M7b
M7BEVENT-20190926-20190914-20190928-6ACAC673A986,M7BPAIR-M7BEVENT2019092620190914201909286ACAC673A986-M7BCONTROL20190928201908302019091315A10AC58009-C5FCA23C7638,M7BANCHOR-M7BEVENT2019092620190914201909286ACAC673A986-M7BCONTROL20190928201908302019091315A10AC58009-C5FCA23C7638,B1,flood,SON,15,True,EC0047,21,STB1-SC0043,4,ETB1flood-TC0009,1,M7b
M7BEVENT-20200919-20200910-20200924-3DC83F169701,M7BPAIR-M7BEVENT2020091920200910202009243DC83F169701-M7BCONTROL2020092420200826202009091659154A6EBF-D2584F207849,M7BANCHOR-M7BEVENT2020091920200910202009243DC83F169701-M7BCONTROL2020092420200826202009091659154A6EBF-D2584F207849,B1,flood,SON,15,True,EC0080,39,STB1-SC0067,7,ETB1flood-TC0016,2,M7b
M7BEVENT-20201002-20200922-20201006-EF52E0480CB9,M7BPAIR-M7BEVENT202010022020092220201006EF52E0480CB9-M7BCONTROL202010062020100720201021C0A5CA36330B-4C57B326CB80,M7BANCHOR-M7BEVENT202010022020092220201006EF52E0480CB9-M7BCONTROL202010062020100720201021C0A5CA36330B-4C57B326CB80,B1,flood,SON,15,True,EC0080,39,STB1-SC0067,7,ETB1flood-TC0016,2,M7b
M7BEVENT-20180120-20180117-20180120-C8CBF74F1BA2,M7BPAIR-M7BEVENT201801202018011720180120C8CBF74F1BA2-M7BCONTROL201801202018011320180116515E52B19990-F36FD18D2E29,M7BANCHOR-M7BEVENT201801202018011720180120C8CBF74F1BA2-M7BCONTROL201801202018011320180116515E52B19990-F36FD18D2E29,B1,high_temperature,DJF,4,True,EC0001,33,STB1-SC0003,1,ETB1high_temperature-TC0001,1,M7b
M7BEVENT-20181207-20181205-20181207-517C6BFE9EB9,M7BPAIR-M7BEVENT201812072018120520181207517C6BFE9EB9-M7BCONTROL2018120720181202201812042191B8EE93E1-CD15EA9719D4,M7BANCHOR-M7BEVENT201812072018120520181207517C6BFE9EB9-M7BCONTROL2018120720181202201812042191B8EE93E1-CD15EA9719D4,B1,high_temperature,DJF,3,True,EC0021,9,STB1-SC0022,3,ETB1high_temperature-TC0008,1,M7b
M7BEVENT-20191224-20191222-20191224-920899691218,M7BPAIR-M7BEVENT201912242019122220191224920899691218-M7BCONTROL201912242019121920191221DC508B171E7C-9206C9C31A0A,M7BANCHOR-M7BEVENT201912242019122220191224920899691218-M7BCONTROL201912242019121920191221DC508B171E7C-9206C9C31A0A,B1,high_temperature,DJF,3,True,EC0056,25,STB1-SC0049,1,ETB1high_temperature-TC0016,1,M7b
M7BEVENT-20201231-20201214-20201231-2FD7471F0AA1,M7BPAIR-M7BEVENT2020123120201214202012312FD7471F0AA1-M7BCONTROL202012312019122520200111C57DD4E9054F-FA6696EEF258,M7BANCHOR-M7BEVENT2020123120201214202012312FD7471F0AA1-M7BCONTROL202012312019122520200111C57DD4E9054F-FA6696EEF258,B1,high_temperature,DJF,18,False,EC0080,39,STB1-SC0072,2,ETB1high_temperature-TC0020,1,M7b
