overlap_component_id,graph_scope,station_id,anchor_ids,anchor_count,temporal_union_days,has_overlap,component_flags
SS0001,same_station,B1,VALANCHOR-publishedv1-validation-B1-R0101|VALANCHOR-publishedv1-validation-B1-R0102|VALANCHOR-publishedv1-validation-B1-R0103|VALANCHOR-publishedv1-validation-B1-R0104|VALANCHOR-publishedv1-validation-B1-R0105,5,422,True,anchors_not_independent|b1_december_2016_pair
SS0002,same_station,P3,VALANCHOR-publishedv1-validation-P3-R0101|VALANCHOR-publishedv1-validation-P3-R0102|VALANCHOR-publishedv1-validation-P3-R0103|VALANCHOR-publishedv1-validation-P3-R0104|VALANCHOR-publishedv1-validation-P3-R0105,5,534,True,anchors_not_independent
SS0003,same_station,S2,VALANCHOR-publishedv1-validation-S2-R0101|VALANCHOR-publishedv1-validation-S2-R0102|VALANCHOR-publishedv1-validation-S2-R0103|VALANCHOR-publishedv1-validation-S2-R0104|VALANCHOR-publishedv1-validation-S2-R0105,5,448,True,anchors_not_independent|s2_mam_pair
AS0001,all_stations,ALL,VALANCHOR-publishedv1-validation-B1-R0101|VALANCHOR-publishedv1-validation-B1-R0102|VALANCHOR-publishedv1-validation-B1-R0103|VALANCHOR-publishedv1-validation-B1-R0104|VALANCHOR-publishedv1-validation-B1-R0105|VALANCHOR-publishedv1-validation-P3-R0101|VALANCHOR-publishedv1-validation-P3-R0102|VALANCHOR-publishedv1-validation-P3-R0103|VALANCHOR-publishedv1-validation-P3-R0104|VALANCHOR-publishedv1-validation-P3-R0105|VALANCHOR-publishedv1-validation-S2-R0101|VALANCHOR-publishedv1-validation-S2-R0102|VALANCHOR-publishedv1-validation-S2-R0103|VALANCHOR-publishedv1-validation-S2-R0104|VALANCHOR-publishedv1-validation-S2-R0105,15,534,True,anchors_not_independent|cross_station_overlap
