left_event_id,right_event_id,left_station_id,right_station_id,left_event_type,right_event_type,left_season,right_season,same_station,same_event_type,same_season,overlap_days,union_days,jaccard,overlap_class,experiment_family
M7BEVENT-20200512-20200501-20200515-C7DD108263E7,M7BEVENT-20200507-20200506-20200507-73433A2CF175,B1,B1,flood,rapid_warming,MAM,MAM,True,False,True,2,15,0.13333333333333333,cross_type,M7b
M7BEVENT-20200512-20200501-20200515-C7DD108263E7,M7BEVENT-20200525-20200513-20200527-B56FC26296E4,B1,P3,flood,flood,MAM,MAM,False,True,True,3,27,0.1111111111111111,cross_station,M7b
M7BEVENT-20200512-20200501-20200515-C7DD108263E7,M7BEVENT-20200508-20200508-20200508-CC6E7F19940A,B1,P3,flood,rapid_warming,MAM,MAM,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20200512-20200501-20200515-C7DD108263E7,M7BEVENT-20200512-20200503-20200517-D3348B6B57A2,B1,S2,flood,flood,MAM,MAM,False,True,True,13,17,0.7647058823529411,cross_station,M7b
M7BEVENT-20200512-20200501-20200515-C7DD108263E7,M7BEVENT-20200503-20200503-20200503-41409B9C6BAB,B1,S2,flood,rapid_warming,MAM,MAM,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20200531-20200519-20200602-637910BEB468,M7BEVENT-20200521-20200520-20200521-8C80F2A5B897,B1,B1,flood,rapid_warming,MAM,MAM,True,False,True,2,15,0.13333333333333333,cross_type,M7b
M7BEVENT-20200531-20200519-20200602-637910BEB468,M7BEVENT-20200530-20200530-20200530-3683EC148DE5,B1,B1,flood,rapid_warming,MAM,MAM,True,False,True,1,15,0.06666666666666667,cross_type,M7b
M7BEVENT-20200531-20200519-20200602-637910BEB468,M7BEVENT-20200525-20200513-20200527-B56FC26296E4,B1,P3,flood,flood,MAM,MAM,False,True,True,9,21,0.42857142857142855,cross_station,M7b
M7BEVENT-20200531-20200519-20200602-637910BEB468,M7BEVENT-20200531-20200524-20200607-172E6ED21200,B1,P3,flood,flood,MAM,MAM,False,True,True,10,20,0.5,cross_station,M7b
M7BEVENT-20200531-20200519-20200602-637910BEB468,M7BEVENT-20200531-20200521-20200604-A43FB3884D07,B1,S2,flood,flood,MAM,MAM,False,True,True,13,17,0.7647058823529411,cross_station,M7b
M7BEVENT-20200531-20200519-20200602-637910BEB468,M7BEVENT-20200602-20200602-20200602-F583E1819F67,B1,S2,flood,rapid_warming,MAM,JJA,False,False,False,1,15,0.06666666666666667,cross_station,M7b
