network_id,provider,domain,river_group,n_catalog_stations,site_ids,latitude,longitude,catalog_common_start,catalog_common_end,catalog_common_years,prior_temperature_values_seen,candidate_status
nve_basin_124,nve_hydapi,norway,NVE drainage basin 124,8,124.15.0|124.19.0|124.20.0|124.21.0|124.22.0|124.24.0|124.27.0|124.49.0,63.4320625,11.4913025,1994-06-28,2006-04-27,11.83025325119781,False,new_metadata_candidate_pending_daily_qc
nve_basin_16,nve_hydapi,norway,NVE drainage basin 16,8,16.207.0|16.212.0|16.217.0|16.222.0|16.228.0|16.453.0|16.454.0|16.455.0,59.546257499999996,8.72661625,2005-06-08,2015-10-15,10.351813826146476,False,new_metadata_candidate_pending_daily_qc
nve_basin_2,nve_hydapi,norway,NVE drainage basin 2,8,2.645.0|2.653.0|2.656.0|2.661.0|2.666.0|2.678.0|2.683.0|2.700.0,61.57439625,9.5809925,2013-03-16,2025-03-16,12.0,False,new_metadata_candidate_pending_daily_qc
nve_basin_212,nve_hydapi,norway,NVE drainage basin 212,8,212.62.0|212.64.0|212.65.0|212.67.0|212.68.0|212.69.0|212.74.0|212.97.0,69.6410075,23.4162075,1998-12-11,2007-09-18,8.76933607118412,False,new_metadata_candidate_pending_daily_qc
nve_basin_12,nve_hydapi,norway,NVE drainage basin 12,6,12.15.0|12.188.0|12.228.0|12.534.0|12.600.0|12.607.0,60.275465,9.972745000000002,2018-07-04,2026-08-27,8.147843942505133,False,new_metadata_candidate_pending_daily_qc
nve_basin_27,nve_hydapi,norway,NVE drainage basin 27,6,27.16.0|27.20.0|27.25.0|27.26.0|27.28.0|27.29.0,58.58371499999999,6.165171666666666,2014-01-16,2025-07-29,11.53182751540041,False,new_metadata_candidate_pending_daily_qc
nve_basin_109,nve_hydapi,norway,NVE drainage basin 109,5,109.20.0|109.21.0|109.44.0|109.6.0|109.9.0,62.527484,9.139045999999999,2018-01-17,2026-05-27,8.355920602327172,False,new_metadata_candidate_pending_daily_qc
nve_basin_15,nve_hydapi,norway,NVE drainage basin 15,5,15.104.0|15.112.0|15.113.0|15.114.0|15.115.0,59.450804000000005,9.849196,2002-10-10,2010-11-08,8.07939767282683,False,new_metadata_candidate_pending_daily_qc
nve_basin_234,nve_hydapi,norway,NVE drainage basin 234,5,234.10.0|234.12.0|234.19.0|234.21.0|234.33.0,69.79290599999999,26.596531999999996,1998-10-25,2008-09-04,9.86173853524983,False,new_metadata_candidate_pending_daily_qc
nve_basin_26,nve_hydapi,norway,NVE drainage basin 26,5,26.47.0|26.49.0|26.51.0|26.52.0|26.53.0,58.41564400000001,6.490446,2000-11-22,2012-11-22,12.0,False,new_metadata_candidate_pending_daily_qc
nve_basin_78,nve_hydapi,norway,NVE drainage basin 78,5,78.10.0|78.17.0|78.18.0|78.8.0|78.9.0,61.350604,6.5995040000000005,2007-04-29,2019-04-29,12.0,False,new_metadata_candidate_pending_daily_qc
nve_basin_84,nve_hydapi,norway,NVE drainage basin 84,5,84.11.0|84.22.0|84.23.0|84.31.0|84.57.0,61.506524,5.843482,2013-09-01,2025-09-01,12.0,False,new_metadata_candidate_pending_daily_qc
nve_basin_88,nve_hydapi,norway,NVE drainage basin 88,5,88.18.0|88.20.0|88.32.0|88.33.0|88.35.0,61.851122,6.928166,2001-11-26,2013-11-26,12.0,False,new_metadata_candidate_pending_daily_qc
nve_basin_103,nve_hydapi,norway,NVE drainage basin 103,4,103.41.0|103.42.0|103.46.0|103.48.0,62.38798250000001,7.987902500000001,2013-11-01,2025-11-01,12.0,False,new_metadata_candidate_pending_daily_qc
nve_basin_123,nve_hydapi,norway,NVE drainage basin 123,4,123.50.0|123.51.0|123.52.0|123.56.0,63.281705,10.8726625,1987-08-12,1996-07-10,8.91170431211499,False,new_metadata_candidate_pending_daily_qc
nve_basin_196,nve_hydapi,norway,NVE drainage basin 196,4,196.21.0|196.26.0|196.36.0|196.43.0,68.89958,19.05127,2009-10-27,2018-10-02,8.930869267624914,False,new_metadata_candidate_pending_daily_qc
nve_basin_76,nve_hydapi,norway,NVE drainage basin 76,4,76.37.0|76.39.0|76.40.0|76.42.0,61.63086499999999,7.287145000000001,2007-11-27,2019-11-27,12.0,False,new_metadata_candidate_pending_daily_qc
nve_basin_112,nve_hydapi,norway,NVE drainage basin 112,3,112.35.0|112.40.0|112.43.0,62.98450333333333,8.969373333333333,2012-10-14,2024-10-14,12.0,False,new_metadata_candidate_pending_daily_qc
nve_basin_121,nve_hydapi,norway,NVE drainage basin 121,3,121.29.0|121.59.0|121.62.0,62.937196666666665,9.830493333333333,2013-11-02,2025-11-02,12.0,False,new_metadata_candidate_pending_daily_qc
nve_basin_151,nve_hydapi,norway,NVE drainage basin 151,3,151.29.0|151.32.0|151.35.0,65.51978,13.797266666666667,2014-05-19,2026-05-19,12.0,False,new_metadata_candidate_pending_daily_qc
nve_basin_161,nve_hydapi,norway,NVE drainage basin 161,3,161.29.0|161.30.0|161.31.0,66.94621666666667,14.761690000000002,1991-10-22,2003-10-22,12.0,False,new_metadata_candidate_pending_daily_qc
nve_basin_167,nve_hydapi,norway,NVE drainage basin 167,3,167.36.0|167.37.0|167.38.0,67.67058999999999,16.071939999999998,1982-05-25,1992-10-17,10.39835728952772,False,new_metadata_candidate_pending_daily_qc
nve_basin_311,nve_hydapi,norway,NVE drainage basin 311,3,311.18.0|311.21.0|311.461.0,61.50866333333334,12.17785,2013-08-19,2025-08-19,12.0,False,new_metadata_candidate_pending_daily_qc
nve_basin_36,nve_hydapi,norway,NVE drainage basin 36,3,36.60.0|36.65.0|36.68.0,59.52274333333333,6.552356666666667,1992-01-05,2004-01-05,12.0,False,new_metadata_candidate_pending_daily_qc
