metric,estimate,lower_95,upper_95
station_gap_spearman,0.8026646545450687,0.7471411792394166,0.854748090689814
network_spearman,0.5625962239688842,0.29305298292682774,0.7518760659465604
calibration_intercept,0.01844162458067791,-0.06038705960508387,0.09805527419888777
calibration_slope,0.8062816531246824,0.727933583660676,0.87643173880505
interval_coverage,0.9923611111111111,0.9849205659515905,0.9976413770209198
network_simultaneous_interval_coverage,0.8571428571428571,0.7619047619047619,0.9523809523809523
