provider,station_gap_spearman,network_spearman,calibration_intercept,calibration_slope,interval_coverage,network_simultaneous_interval_coverage,mean_interval_width,n_networks,n_station_gaps
arso,0.786973223973743,0.5594405594405596,0.08730251601889003,0.6484179701416541,0.9696048632218845,0.5833333333333334,6.494429329747064,12.0,329.0
foen,0.8513824884792627,,-0.15843863170952868,0.7862204267015889,1.0,1.0,6.494429329747062,1.0,63.0
gkd_bayern,0.8974081887548936,0.5,0.002796259918436489,0.8261829328299539,1.0,1.0,6.494429329747063,9.0,350.0
lubw,0.7772929234548279,0.9999999999999999,-0.2316726651890438,0.8661581998191531,0.9893617021276596,0.5,6.494429329747063,2.0,94.0
rws_waterwebservices,0.9649350649350649,,-0.0975838146667939,0.9473540495370505,1.0,1.0,6.494429329747063,1.0,21.0
usgs,0.7572204796107186,0.6764705882352942,-0.04562291344572212,0.9540051169157371,1.0,1.0,6.494429329747064,17.0,583.0
