domain_group,station_gap_spearman,network_spearman,calibration_intercept,calibration_slope,interval_coverage,network_simultaneous_interval_coverage,mean_interval_width,n_networks,n_station_gaps
cross_domain,0.8377565792368571,0.6038461538461538,0.01136064295302478,0.7525779097123407,0.9871645274212368,0.76,6.494429329747064,25.0,857.0
united_states,0.7572204796107186,0.6764705882352942,-0.04562291344572212,0.9540051169157371,1.0,1.0,6.494429329747064,17.0,583.0
