threshold,fraction_abstained,n_released,network_spearman_mean,network_spearman_n_weighted,calibration_slope,pooled_spearman,rmse,r2
0.141825,0.9764868603042877,34,0.9618181818181817,0.9558823529411765,1.035687304721862,0.867990832696715,0.4229759438081022,0.5293295869182562
0.193212,0.9474412171507607,76,0.9697121060757425,0.9668239655081761,1.408183586092168,0.8944360902255639,0.5146022844960729,0.6246729745341704
0.23658,0.9225449515905948,112,0.9517844605637616,0.9456564305884297,1.3077973418812188,0.8863481053746541,0.45144877558082164,0.6673231479413658
0.249496,0.9017980636237898,142,0.9593910217749227,0.9524097996801087,1.280017385154884,0.8909870471153061,0.4291151052418242,0.6854793394207161
0.278824,0.8492392807745505,218,0.9632570401734489,0.9562989988802321,1.2592091290620278,0.8928005309645334,0.4731767901519852,0.6410382464967542
0.314578,0.8001383125864454,289,0.9574653141835803,0.9487472793713628,1.2735101597303358,0.8974804120431135,0.44737034845042656,0.6745857774527527
0.343706,0.7461964038727524,367,0.9481421711790414,0.9407106749800505,1.2794905250777613,0.9016692043713258,0.4394042662924374,0.6841214045348596
0.381219,0.7033195020746887,429,0.9443930647083832,0.9387433191999685,1.3586698830933075,0.8982440728148183,0.49004050455651016,0.6871226683268361
0.41355,0.6473029045643153,510,0.9492873825494906,0.9426322883337397,1.342336057139968,0.9026965071896833,0.479634118654333,0.7137253068182732
0.454106,0.6009681881051175,577,0.9450805042237492,0.9415584210993968,1.365279306042056,0.9072794667362307,0.5136141088484019,0.6935421199379077
0.484541,0.5511756569847857,649,0.9397215852730731,0.9351635892879935,1.385607416846922,0.9038158200870066,0.5349308364028883,0.7116073301854575
0.512501,0.5,723,0.9423752278926504,0.9395746845019284,1.4207135263731248,0.9107557409799253,0.5833875369016397,0.7102648144635632
0.538209,0.45089903181189483,794,0.9381697949520555,0.938829765903916,1.4581260200507178,0.9138024704424731,0.6158136439369832,0.7068087224028681
0.583691,0.39626556016597514,873,0.9417374468891414,0.941935385360752,1.454252349989146,0.9160954680484803,0.6561045848538466,0.7167319904497073
0.62041,0.3520055325034578,937,0.9440968503596763,0.9438148902448542,1.4561809545544866,0.9194242469382248,0.6517275773665763,0.7236360007960576
0.669517,0.30082987551867224,1011,0.9397949489746256,0.9387112280824789,1.473970630734122,0.91708614933226,0.6752600423876549,0.7133447763791825
0.7647,0.24827109266943292,1087,0.94013346025333,0.9398596453042498,1.521270498154095,0.9186701105241458,0.7666998965329241,0.705654043072462
0.839982,0.20331950207468885,1152,0.9365109155353588,0.9361444275694429,1.5076687192392042,0.9183346168307961,0.7870805430494611,0.7063393484501599
0.878938,0.14937759336099588,1230,0.9246195852066696,0.9275116029043127,1.49983452173388,0.9041952520841954,0.781245485185323,0.7048943917006154
1.024725,0.09889349930843705,1303,0.9223632983988689,0.926437673906356,1.493917109371983,0.9026498048435733,0.7815951613830772,0.7106925309764178
1.203916,0.050484094052558826,1373,0.9182732721070582,0.9230685158486278,1.4603178569581765,0.8995077112083171,0.7888185561415244,0.7163951576934486
2.192707,0.0006915629322268302,1445,0.9074153246789963,0.9105817926720334,1.4169666123345226,0.8827655005675669,0.8070031341718787,0.7143201133261812
