term,coef,se,z,p
Intercept,0.12481542525551428,0.014696036877506327,8.493135006115565,2.011364234174843e-17
doy_sin1,0.005050169499815794,0.0010474886857402665,4.821216275235288,1.4268555577100494e-06
doy_cos1,-0.06396114373136579,0.001055791224423403,-60.58124205976115,0.0
doy_sin2,-0.05786080171563055,0.0010455250230336911,-55.34138393717435,0.0
doy_cos2,-0.022021948462263196,0.0010578525154076935,-20.81759805030666,2.9984343568693934e-96
clim_error,0.10407454528633522,0.008494037645661286,12.252658821155096,1.6257694282680416e-34
donor_r2_only,-0.044225282764541816,0.01838267757621013,-2.4058128953845004,0.01613652685407178
acf_only,-0.028254965574350376,0.002262531259074559,-12.488210035121229,8.657964416726836e-36
nearest_donor_correlation,-0.018423580625636576,0.017872736916793194,-1.0308203333047334,0.30262508122718723
log_gap_lin,0.12889339930467802,0.0019602255919668743,65.75437022804475,0.0
hinge1,0.06675453094018563,0.0027601206210951194,24.185367273441756,3.1716134122990126e-129
hinge2,0.36142297558410963,0.004622681903352842,78.18469519219323,0.0
