n,pooled_spearman,calibration_slope,calibration_intercept,r2,rmse,mean,n_weighted,median,n_networks,n_units,subset,predictor
448,0.7270537809599258,0.9111406848336908,0.05881519446202061,0.48371421123116387,0.3051710663434934,0.7389052467999837,0.739851814851815,0.7857142857142858,57,448,interpolation_14_60,risk_surface
448,0.4505285230293506,0.5085232628626631,0.259430515651486,-0.6674661910074329,0.5484370527609039,,0.0,,57,448,interpolation_14_60,empirical_transfer
448,,0.4093628896125537,0.444993343967203,-0.2152611446047361,0.4682017967914859,,0.0,,57,448,interpolation_14_60,network_mean_fallback
124,0.3489346970889063,0.6826194289803612,2.695192790637093,-0.7979873586681459,2.1733835734599896,0.5746031746031746,0.5529100529100529,0.6190476190476191,9,54,extrapolation_365,risk_surface
124,0.5066637032979502,2.978256909356764,1.3160941917773044,-5.765456820350077,4.215912868606913,,0.0,,9,54,extrapolation_365,empirical_transfer
124,,2.4219218262210997,2.6327229937655283,-6.645618298259945,4.481767980746743,,0.0,,9,54,extrapolation_365,network_mean_fallback
874,0.8860872126528784,1.2924435373637366,-0.20149508264667482,0.6748493352174192,0.6008077331231133,0.9174865592748351,0.9165616977295923,0.9510489510489512,57,874,in_range_7_30_90_180,risk_surface
874,0.9453454523265827,0.9440451658260152,0.1301545152735076,0.8132326629922993,0.4553482313539534,0.9294715851205217,0.9341637129076877,0.965034965034965,57,874,in_range_7_30_90_180,empirical_transfer
874,,0.6344722237401824,0.6896959242291666,-0.07698903466253681,1.0934497549017412,,0.0,,57,874,in_range_7_30_90_180,network_mean_fallback
