n,pooled_spearman,calibration_slope,calibration_intercept,r2,rmse,mean,n_weighted,median,n_networks,n_units,predictor
1440,0.8567635425171404,1.1409956345709555,-0.18763756343860363,0.7437090765532894,0.6330017254908068,0.8944794499765394,0.874584149330834,0.9083916083916084,42,1440,risk_surface
1440,0.6333593455063955,0.7920120638950631,0.4610637497725754,0.14463461952342094,1.1564160625447537,0.6166824644196085,0.565451843242655,0.6458011870700959,42,1440,empirical_transfer
1440,0.2904301187624216,0.6396477984939348,0.6255248641894672,-0.014505143295121536,1.2594049834798609,,0.0,,42,1440,network_mean_fallback
