predictors,log_likelihood,fixed_variance,network_random_intercept_variance,residual_variance,marginal_r2,conditional_r2,n_station_gaps,n_networks,coefficient_intercept,coefficient_gap_length,coefficient_acf_only,coefficient_donor_r2_only,coefficient_additive_d_over_4_heuristic,coefficient_nearest_donor_correlation,coefficient_complete_operator_risk
gap_length|acf_only|donor_r2_only|additive_d_over_4_heuristic|nearest_donor_correlation,-1121.8567719169132,0.9103831661460874,0.09291686260276427,0.3196446164263657,0.6881490994096066,0.758383982586036,1260.0,55.0,1.19714045588633,1.0759303344711622,-0.3733760971987662,0.49277751877244397,-0.5333593085867663,-0.07559023036635454,
gap_length|acf_only|donor_r2_only|additive_d_over_4_heuristic|nearest_donor_correlation|complete_operator_risk,-1111.8638402119686,0.9162006369872859,0.08206699735081849,0.31589488203503563,0.6971745317434865,0.7596226660711259,1260.0,55.0,1.201537958469449,1.0832283241311604,-0.38067647964456774,0.49767523841082445,-0.4608720087911353,-0.03666648851395628,0.14643398664219562
