predictor,unit,n_station_gaps,n_networks,spearman,r2,rmse
operator,station_gap,1260.0,55.0,0.4381864210102952,0.04230269998767133,1.1335363971945387
donor_r2,station_gap,1260.0,55.0,0.3107259745551754,0.012038145537744849,1.1513077455583156
gap_length,station_gap,1260.0,55.0,0.5652131276147703,0.625142871360989,0.709176319200393
