criterion,method,regret_no_abstention,regret_at_50,regret_at_70,min_regret_any_c,min_c,oracle_headroom
ambiguity_margin,proposed,0.08495302069947079,0.11467769174695361,0.09781287649278642,0.08495302069947079,1.0,0.08495302069947079
ambiguity_margin,best_fixed,0.08149852237862493,0.13004415658870117,0.10845091308793367,0.08149852237862493,1.0,0.08149852237862493
ambiguity_margin,global_cv,0.08149852237862493,0.13004415658870117,0.10845091308793367,0.08149852237862493,1.0,0.08149852237862493
ambiguity_margin,per_network_cv,0.03829553216443614,0.06127567926949738,0.04871473379508107,0.03829553216443614,1.0,0.03829553216443614
ambiguity_margin,gap_rule,0.09267099541749861,0.13474294701622624,0.11144211141719215,0.09267099541749861,1.0,0.09267099541749861
ambiguity_margin,random,0.26049031104825704,0.36060149697144217,0.31606673178077477,0.26049031104825704,1.0,0.26049031104825704
ambiguity_margin,oracle,0.0,0.0,0.0,0.0,0.1,0.0
mean_width,proposed,0.08495302069947079,0.07188802955025128,0.0661641553230797,0.04032149547993037,0.2,0.04032149547993037
mean_width,best_fixed,0.08149852237862493,0.04617615485647567,0.05606021554671852,0.024384053290037327,0.2,0.024384053290037327
mean_width,global_cv,0.08149852237862493,0.04617615485647567,0.05606021554671852,0.024384053290037327,0.2,0.024384053290037327
mean_width,per_network_cv,0.03829553216443614,0.02183238641720348,0.02778646532719902,0.01703383919505386,0.2,0.01703383919505386
mean_width,gap_rule,0.09267099541749861,0.07390828220892444,0.07608656622188677,0.05534658826868784,0.2,0.05534658826868784
mean_width,random,0.26049031104825704,0.20490221533193734,0.19810309000020151,0.13238744176546505,0.1,0.13238744176546505
mean_width,oracle,0.0,0.0,0.0,0.0,0.1,0.0
support_completeness,proposed,0.08495302069947079,0.0976803165490391,0.08372926396773006,0.013920863652202473,0.1,0.013920863652202473
support_completeness,best_fixed,0.08149852237862493,0.08127217202945727,0.07304224512551126,0.06782254771018618,0.8,0.06782254771018618
support_completeness,global_cv,0.08149852237862493,0.08127217202945727,0.07304224512551126,0.06782254771018618,0.8,0.06782254771018618
support_completeness,per_network_cv,0.03829553216443614,0.047888230219181975,0.040468815904805874,0.037267347106706004,0.8,0.037267347106706004
support_completeness,gap_rule,0.09267099541749861,0.09363980098357048,0.08523333815110276,0.08288436591365199,0.8,0.08288436591365199
support_completeness,random,0.26049031104825704,0.32410355428905685,0.2759142095073797,0.2344674137495092,0.1,0.2344674137495092
support_completeness,oracle,0.0,0.0,0.0,0.0,0.1,0.0
