metric,n_recon,n_missing,n_clim,skipna_mean_err_recon,skipna_mean_err_missing,skipna_mean_err_clim,skipna_ratio_recon_missing,skipna_ratio_recon_clim
annual_mean,1755,1755,1755,0.09327719354911462,0.7534617635101003,0.10493127212570927,0.12379817804498877,0.8889360784396774
summer_mean,1754,1703,1754,0.1348803863920517,0.162623612530184,0.14685744026770178,0.8294022269799043,0.9184443508356301
amplitude,1538,1171,1538,0.2285770684804462,0.0917143558446045,0.2668929735904218,2.4922714265990593,0.856437190554234
phase_doy,1755,1755,1755,2.4923076923076923,3.5874643874643874,2.921367521367521,0.6947268106734434,0.8531304856641311
p90,1755,1755,1755,0.14105204153903186,0.4688368866316718,0.14295771187456252,0.30085525597700113,0.9866696919631536
summer_max,1754,1703,1754,0.20000456597648314,0.1486254203811456,0.14534625429366024,1.3456955442990655,1.376055867063421
exceed_days_20,1755,1755,1755,2.2273504273504274,6.54928774928775,2.2387464387464386,0.34009048199060377,0.9949096462204124
exceed_days_25,1755,1755,1755,0.5156695156695157,0.6307692307692307,0.41082621082621085,0.8175248419150859,1.2552011095700415
cdd10,1755,1755,1755,21.7210177173222,157.72647631068276,23.494822122925513,0.13771319961866824,0.9245023266691392
trend_slope,1755,1755,1755,0.08306366802909415,0.6598619588889493,0.1235524819326207,0.12588037075050307,0.6722946130243899
