metric,mean_err_recon,mean_err_missing,mean_err_clim,ratio_recon_missing,ratio_recon_clim,share_recon_worse_than_clim,share_recon_worse_than_missing
annual_mean,0.09327719354911462,0.7534617635101003,0.10493127212570927,0.12379817804498877,0.8889360784396774,0.3128205128205128,0.035897435897435895
summer_mean,0.09603459409039442,0.162623612530184,0.11603285378389014,0.5905329035325038,0.8276500228914282,0.10275983558426306,0.08573106283029946
amplitude,0.03068258341606191,0.0917143558446045,0.0777962532492556,0.33454504623080716,0.3943966725204147,0.05721605465414176,0.03928266438941076
phase_doy,2.4923076923076923,3.5874643874643874,2.921367521367521,0.6947268106734434,0.8531304856641311,0.044444444444444446,0.038176638176638175
p90,0.14105204153903186,0.4688368866316718,0.14295771187456252,0.30085525597700113,0.9866696919631536,0.08547008547008547,0.07065527065527065
summer_max,0.12432483427443837,0.1486254203811456,0.09428014733358249,0.8364977804981875,1.3186745862260016,0.02759835584263065,0.002935995302407516
exceed_days_20,2.2273504273504274,6.54928774928775,2.2387464387464386,0.34009048199060377,0.9949096462204124,0.07293447293447293,0.010826210826210826
exceed_days_25,0.5156695156695157,0.6307692307692307,0.41082621082621085,0.8175248419150859,1.2552011095700415,0.006837606837606838,0.0
cdd10,21.7210177173222,157.72647631068276,23.494822122925513,0.13771319961866824,0.9245023266691392,0.22336182336182336,0.014245014245014245
trend_slope,0.08306366802909415,0.6598619588889493,0.1235524819326207,0.12588037075050307,0.6722946130243899,0.2797720797720798,0.150997150997151
