criterion,method,c,family,share
ambiguity_margin,best_fixed,0.5,donor_ridge,0.0
ambiguity_margin,best_fixed,0.5,xgboost,1.0
ambiguity_margin,global_cv,0.5,seasonal_ridge,0.0
ambiguity_margin,global_cv,0.5,donor_ridge,0.0
ambiguity_margin,global_cv,0.5,xgboost,1.0
ambiguity_margin,per_network_cv,0.5,seasonal_ridge,0.0
ambiguity_margin,per_network_cv,0.5,donor_ridge,0.4666666666666667
ambiguity_margin,per_network_cv,0.5,xgboost,0.5333333333333333
ambiguity_margin,gap_rule,0.5,seasonal_ridge,0.0
ambiguity_margin,gap_rule,0.5,donor_ridge,0.5763888888888888
ambiguity_margin,gap_rule,0.5,xgboost,0.4236111111111111
ambiguity_margin,random,0.5,seasonal_ridge,0.35555555555555557
ambiguity_margin,random,0.5,donor_ridge,0.33611111111111114
ambiguity_margin,random,0.5,xgboost,0.30833333333333335
ambiguity_margin,oracle,0.5,seasonal_ridge,0.001388888888888889
ambiguity_margin,oracle,0.5,donor_ridge,0.4222222222222222
ambiguity_margin,oracle,0.5,xgboost,0.5763888888888888
ambiguity_margin,proposed,0.6,seasonal_ridge,0.0
ambiguity_margin,proposed,0.6,donor_ridge,0.5254629629629629
ambiguity_margin,proposed,0.6,xgboost,0.47453703703703703
ambiguity_margin,best_fixed,0.6,seasonal_ridge,0.0
ambiguity_margin,best_fixed,0.6,donor_ridge,0.0
ambiguity_margin,best_fixed,0.6,xgboost,1.0
ambiguity_margin,global_cv,0.6,seasonal_ridge,0.0
ambiguity_margin,global_cv,0.6,donor_ridge,0.0
ambiguity_margin,global_cv,0.6,xgboost,1.0
ambiguity_margin,per_network_cv,0.6,seasonal_ridge,0.0
ambiguity_margin,per_network_cv,0.6,donor_ridge,0.48032407407407407
ambiguity_margin,per_network_cv,0.6,xgboost,0.5196759259259259
ambiguity_margin,gap_rule,0.6,seasonal_ridge,0.0
ambiguity_margin,gap_rule,0.6,donor_ridge,0.6284722222222222
ambiguity_margin,gap_rule,0.6,xgboost,0.3715277777777778
ambiguity_margin,random,0.6,seasonal_ridge,0.35300925925925924
ambiguity_margin,random,0.6,donor_ridge,0.33912037037037035
ambiguity_margin,random,0.6,xgboost,0.30787037037037035
ambiguity_margin,oracle,0.6,seasonal_ridge,0.003472222222222222
ambiguity_margin,oracle,0.6,donor_ridge,0.4375
ambiguity_margin,oracle,0.6,xgboost,0.5590277777777778
ambiguity_margin,proposed,0.7,seasonal_ridge,0.0
ambiguity_margin,proposed,0.7,donor_ridge,0.5575396825396826
ambiguity_margin,proposed,0.7,xgboost,0.44246031746031744
ambiguity_margin,best_fixed,0.7,seasonal_ridge,0.0
ambiguity_margin,best_fixed,0.7,donor_ridge,0.0
ambiguity_margin,best_fixed,0.7,xgboost,1.0
ambiguity_margin,global_cv,0.7,seasonal_ridge,0.0
ambiguity_margin,global_cv,0.7,donor_ridge,0.0
ambiguity_margin,global_cv,0.7,xgboost,1.0
ambiguity_margin,per_network_cv,0.7,seasonal_ridge,0.0
ambiguity_margin,per_network_cv,0.7,donor_ridge,0.4801587301587302
ambiguity_margin,per_network_cv,0.7,xgboost,0.5198412698412699
ambiguity_margin,gap_rule,0.7,seasonal_ridge,0.0
ambiguity_margin,gap_rule,0.7,donor_ridge,0.6785714285714286
ambiguity_margin,gap_rule,0.7,xgboost,0.32142857142857145
ambiguity_margin,random,0.7,seasonal_ridge,0.3611111111111111
ambiguity_margin,random,0.7,donor_ridge,0.32837301587301587
ambiguity_margin,random,0.7,xgboost,0.310515873015873
ambiguity_margin,oracle,0.7,seasonal_ridge,0.002976190476190476
ambiguity_margin,oracle,0.7,donor_ridge,0.44642857142857145
ambiguity_margin,oracle,0.7,xgboost,0.5505952380952381
ambiguity_margin,proposed,0.8,seasonal_ridge,0.0008680555555555555
ambiguity_margin,proposed,0.8,donor_ridge,0.5677083333333334
ambiguity_margin,proposed,0.8,xgboost,0.4314236111111111
ambiguity_margin,best_fixed,0.8,seasonal_ridge,0.0
ambiguity_margin,best_fixed,0.8,donor_ridge,0.0
ambiguity_margin,best_fixed,0.8,xgboost,1.0
ambiguity_margin,global_cv,0.8,seasonal_ridge,0.0
ambiguity_margin,global_cv,0.8,donor_ridge,0.0
ambiguity_margin,global_cv,0.8,xgboost,1.0
ambiguity_margin,per_network_cv,0.8,seasonal_ridge,0.0
ambiguity_margin,per_network_cv,0.8,donor_ridge,0.4861111111111111
ambiguity_margin,per_network_cv,0.8,xgboost,0.5138888888888888
ambiguity_margin,gap_rule,0.8,seasonal_ridge,0.0
ambiguity_margin,gap_rule,0.8,donor_ridge,0.7092013888888888
ambiguity_margin,gap_rule,0.8,xgboost,0.2907986111111111
ambiguity_margin,random,0.8,seasonal_ridge,0.3559027777777778
ambiguity_margin,random,0.8,donor_ridge,0.328125
ambiguity_margin,random,0.8,xgboost,0.3159722222222222
ambiguity_margin,oracle,0.8,seasonal_ridge,0.005208333333333333
ambiguity_margin,oracle,0.8,donor_ridge,0.4479166666666667
ambiguity_margin,oracle,0.8,xgboost,0.546875
ambiguity_margin,proposed,0.9,seasonal_ridge,0.0015432098765432098
ambiguity_margin,proposed,0.9,donor_ridge,0.5972222222222222
ambiguity_margin,proposed,0.9,xgboost,0.4012345679012346
ambiguity_margin,best_fixed,0.9,seasonal_ridge,0.0
ambiguity_margin,best_fixed,0.9,donor_ridge,0.0
ambiguity_margin,best_fixed,0.9,xgboost,1.0
ambiguity_margin,global_cv,0.9,seasonal_ridge,0.0
ambiguity_margin,global_cv,0.9,donor_ridge,0.0
ambiguity_margin,global_cv,0.9,xgboost,1.0
ambiguity_margin,per_network_cv,0.9,seasonal_ridge,0.0
ambiguity_margin,per_network_cv,0.9,donor_ridge,0.4807098765432099
ambiguity_margin,per_network_cv,0.9,xgboost,0.5192901234567902
ambiguity_margin,gap_rule,0.9,seasonal_ridge,0.0
ambiguity_margin,gap_rule,0.9,donor_ridge,0.7391975308641975
ambiguity_margin,gap_rule,0.9,xgboost,0.26080246913580246
ambiguity_margin,random,0.9,seasonal_ridge,0.35108024691358025
ambiguity_margin,random,0.9,donor_ridge,0.3271604938271605
