network_id,n_units,n_supported,cap_base_b05,cap_base_b10,cap_base_b20,cap_base_b30,cap_emp_b05,cap_emp_b10,cap_emp_b20,cap_emp_b30,d_cap_rand_b05,d_cap_rand_b10,d_cap_rand_b20,d_cap_rand_b30,d_cap_simple_b05,d_cap_simple_b10,d_cap_simple_b20,d_cap_simple_b30,d_ndcg_rand_b05,d_ndcg_rand_b10,d_ndcg_rand_b20,d_ndcg_rand_b30,d_ndcg_simple_b05,d_ndcg_simple_b10,d_ndcg_simple_b20,d_ndcg_simple_b30,d_rho_all,d_rho_sup,d_rho_therm,ndcg_base_b05,ndcg_base_b10,ndcg_base_b20,ndcg_base_b30,ndcg_emp_b05,ndcg_emp_b10,ndcg_emp_b20,ndcg_emp_b30,ndcg_rand_b05,ndcg_rand_b10,ndcg_rand_b20,ndcg_rand_b30,rho_all_base,rho_all_emp,rho_sup_base,rho_sup_emp
chmi_berounka,35,20,0.17902017279242047,0.35597375049948693,0.5483946772555144,0.7151040733374673,0.10426432633256234,0.19861219673844507,0.2855552788189392,0.6521099570824398,0.0471214691897052,0.08432648245273079,0.0855552788189392,0.3378242427967255,-0.07475584645985812,-0.15736155376104186,-0.26283939843657517,-0.06299411625502749,0.07345198065826392,-0.2826759166319024,-0.8962520062315434,-1.5585439679072568,-0.4023248783442184,-0.42262036773843725,-0.4554112787630752,-0.22958071866736252,-0.13781512605042023,0.06165413533834574,0.05714285714285705,0.944358581802131,0.9615249781755454,0.9793230164957949,0.9876180257998102,0.5420337034579126,0.5389046104371081,0.5239117377327197,0.7580373071324477,0.46858172279964866,0.8215805270690105,1.4201637439642631,2.3165812750397046,0.9582633053221289,0.8204481792717087,0.9293233082706768,0.9909774436090225
chmi_blanice,28,16,0.2152905134611048,0.3385842457484608,0.5541301722963761,0.6863561991436976,0.11771597566850814,0.17045948909841388,0.28263002176126956,0.5082779310881127,0.046287404239936714,0.06331663195555674,0.06834430747555528,0.18684935965954125,-0.09757453779259667,-0.16812475665004692,-0.2715001505351065,-0.1780782680555849,0.01801481491570389,-0.16541338988317228,-0.8115208455716885,-1.4269059560622877,-0.3760450535728568,-0.4396350713405615,-0.45157431376257934,-0.32600898207228257,-0.11877394636015326,0.008823529411764564,0.10000000000000009,0.8573445689843412,0.927421903650419,0.9501534142568256,0.9526360017412903,0.4812995154114844,0.4877868323098575,0.4985791004942463,0.6266270196690077,0.4632847004957805,0.6532002221930298,1.3100999460659348,2.0535329757312955,0.9392446633825944,0.8204707170224411,0.9382352941176471,0.9470588235294116
chmi_botic,35,20,0.21649665735562953,0.36627179676496474,0.5568073993271969,0.7025426049792429,0.11246747005875975,0.19215803673535134,0.34866246348302704,0.7025426049792429,0.055324612915902606,0.07787232244963706,0.14866246348302703,0.38825689069352864,-0.10402918729686979,-0.1741137600296134,-0.20814493584416988,0.0,0.11710031746738214,-0.25416220480484963,-0.7749267411740528,-1.452909147917964,-0.47955845141173514,-0.47190340354398785,-0.4186323678862377,-0.20030273365188211,-0.17142857142857137,0.010526315789473606,0.0,1.0,0.9894867848336959,0.9991243724153119,0.9991319408926979,0.5204415485882649,0.517583381289708,0.5804920045290742,0.7988292072408157,0.4033412311208827,0.7717455860945577,1.355418745703127,2.2517383551587797,0.9633053221288516,0.7918767507002802,0.9548872180451128,0.9654135338345864
chmi_dyje,28,16,0.1695305609179813,0.31729895288563276,0.5455172084032356,0.7012093191596159,0.1408746873040805,0.20156861548592447,0.29680910551482526,0.6018287904024895,0.06944611587550908,0.09442575834306734,0.08252339122911098,0.28040021897391804,-0.02865587361390079,-0.11573033739970828,-0.24870810288841033,-0.09938052875712644,0.09820709665664573,-0.06201415107067132,-0.6885842423683315,-1.22275640472253,-0.043510349379210445,-0.18318466202810135,-0.29205979696541107,-0.1553656167766091,-0.08921729611384788,0.13235294117647067,0.0,0.5375120666033719,0.6799040792589265,0.7832706089813182,0.8359162952115456,0.4940017172241615,0.49671941723082513,0.4912108120159071,0.6805506784349366,0.39579462056751574,0.5587335683014965,1.1797950543842386,1.9033070831574668,0.8899835796387521,0.8007662835249042,0.8411764705882352,0.9735294117647059
chmi_jizera,35,20,0.19681213919533205,0.34405524564637513,0.5221783654239076,0.6624942483202032,0.1029085768904139,0.18084560186152246,0.3142610177174156,0.6634499199312254,0.045765719747556756,0.06655988757580818,0.11426101771741559,0.3491642056455111,-0.09390356230491816,-0.16320964378485267,-0.207917347706492,0.0009556716110221686,0.06534344824988003,-0.32914997969386117,-0.9108236124173897,-1.6352799184067979,-0.45897640265283257,-0.45696758765406287,-0.41900410796104925,-0.1839079913195968,-0.19999999999999996,0.021052631578947323,0.0,0.9798693832127746,0.9744077985390406,0.9863201524920524,0.9870153060097768,0.520892980559942,0.5174402108849777,0.5673160445310031,0.80310731469018,0.455549532310062,0.8465901905788389,1.4781396569483929,2.438387233096978,0.9554621848739496,0.7554621848739497,0.9443609022556391,0.9654135338345864
chmi_kamenice,21,12,0.26618087041001126,0.4089960594605213,0.5500351209903894,0.6495553340868466,0.17199493947155786,0.21815741263597346,0.3119285837111362,0.5781094541211473,0.07675684423346263,0.07530026977883061,0.0738333456158981,0.24477612078781402,-0.0941859309384534,-0.19083864682454785,-0.23810653727925324,-0.07144587996569929,0.07347938484877087,-0.16838748514366708,-0.6489047499571203,-1.0409921918672143,-0.22004555943079318,-0.3421758143911513,-0.3277131289750642,-0.16258002520399828,0.02857142857142858,0.15384615384615374,0.0,0.7560390984492853,0.8727152413818744,0.8621443411277977,0.8785777436829545,0.5359935390184921,0.5305394269907231,0.5344312121527335,0.7159977184789562,0.46251415416972125,0.6989269121343902,1.1833359621098538,1.7569899103461704,0.7948051948051948,0.8233766233766234,0.8181818181818183,0.9720279720279721
chmi_labe,42,24,0.24107883032422092,0.3787014772415057,0.5770688854237397,0.7037911829114709,0.12588731260872144,0.19713213468379312,0.4136478354049185,0.7049669608863767,0.05445874118015001,0.07808451563617408,0.19936212111920423,0.39544315136256714,-0.11519151771549949,-0.1815693425577126,-0.16342105001882118,0.0011757779749057562,-0.11019906719382444,-0.4571749645607288,-1.1211567934707378,-1.8068435275024886,-0.4753638033378895,-0.4681483173363934,-0.35893416505943565,-0.18344905215705964,-0.15914431569564869,0.01043478260869568,0.09523809523809523,1.0,0.9810866029643139,0.9987451729973701,0.997780335291296,0.5246361966621105,0.5129382856279205,0.6398110079379344,0.8143312831342363,0.6348352638559349,0.9701132501886494,1.7609678014086723,2.6211748106367248,0.9628879345271858,0.8037436188315371,0.9634782608695651,0.9739130434782608
chmi_luznice,21,12,0.27309796366261774,0.43378102317127837,0.5885740543090027,0.7075096430701783,0.1772590812667647,0.24423984137484347,0.31643018574339304,0.6389342098699518,0.08202098602866947,0.10138269851770063,0.07833494764815496,0.30560087653661844,-0.09583888239585303,-0.1895411817964349,-0.2721438685656096,-0.06857543320022652,0.08266214092576141,-0.1254268121249812,-0.6239815811508048,-0.957936802123344,-0.26035067081092933,-0.36186149607342366,-0.3800473119650657,-0.18534119782684844,-0.11558441558441546,0.013986013986014068,-0.20000000000000007,0.8106918799959283,0.9212048011869629,0.9110765907187313,0.9314517258781049,0.550341209184999,0.5593433051135392,0.5310292787536656,0.7461105280512564,0.46767906825923755,0.6847701172385204,1.1550108599044704,1.7040473301746004,0.9584415584415583,0.8428571428571429,0.9300699300699302,0.9440559440559443
chmi_morava,42,24,0.2284710582369667,0.3616563990196001,0.5304237109397448,0.6489379524664303,0.12519813711329755,0.19306242325225575,0.2791846081058736,0.5251381759380208,0.05376956568472613,0.07401480420463671,0.06489889382015931,0.21561436641421128,-0.10327292112366915,-0.16859397576734436,-0.25123910283387124,-0.12379977652840946,-0.12140575819602606,-0.49447767861664405,-1.346333915521255,-2.1072769014322725,-0.4021806148129977,-0.4320705473578905,-0.44174238447390035,-0.2856971949222996,-0.1221943116441131,0.01043478260869568,0.07142857142857151,0.9173428614169574,0.9559522241782721,0.9620968746262977,0.9680337386247778,0.5151622466039597,0.5238816768203816,0.5203544901523973,0.6823365437024782,0.6365680047999858,1.0183593554370256,1.8666884056736524,2.789613445134751,0.9708289441698404,0.8486346325257274,0.9739130434782608,0.9843478260869565
chmi_odra,21,12,0.2627487618306106,0.415500365509367,0.5666866475483484,0.6812321434577007,0.16178445812283587,0.23723051430812492,0.31728972058114246,0.603013980982336,0.06654636288474064,0.09437337145098207,0.07919448248590438,0.26968064764900274,-0.1009643037077747,-0.17826985120124206,-0.24939692696720595,-0.07821816247536462,0.04537347228367705,-0.15513078264546165,-0.6732681016755945,-1.042160439926878,-0.33738511727912834,-0.3929688853609603,-0.40103851858804707,-0.21787359422038144,-0.12077922077922076,0.06993006993006978,0.20000000000000007,0.9029127747718566,0.9619025690730287,0.9563674533948776,0.9600976546170827,0.5655276574927283,0.5689336837120684,0.5553289348068305,0.7422240603967013,0.5201541852090512,0.7240644663575301,1.228597036482425,1.7843845003235794,0.9571428571428571,0.8363636363636363,0.9300699300699302,1.0
