metric,gap_length,n,mean_abs,median_abs,sd_abs,p25_abs,p75_abs,mean_signed,mean_recoverable
annual_mean,all,1965,0.011485203195212325,0.0031460838133110514,0.022869666375501564,0.0007181574908852184,0.012363321381496206,-5.1288946226013715e-05,0.015035393602721936
annual_mean,7,655,0.0010070424956440762,0.0005027350309880774,0.002001277606701761,0.00023432938990541885,0.001058209191880266,-7.952031777421857e-05,0.0034593423522934984
annual_mean,30,655,0.005891595484665978,0.0036719005575154284,0.010548547233403703,0.0016369553028265926,0.006979483902268768,6.372710603202559e-05,0.010969375033363038
annual_mean,90,655,0.027556971605326924,0.017419656757986957,0.03248683886666731,0.007830546435628527,0.034746020464543115,-0.00013807362693584816,0.030677463422509276
summer_mean,all,1950,0.014058198823147742,0.0,0.047836494423881354,0.0,0.003251672557034624,-0.009214365026242717,0.017995707098449328
summer_mean,7,650,0.0007523981134024719,0.0,0.0033154514464121885,0.0,0.0,-0.00044777707681704123,0.002671328891602825
summer_mean,30,650,0.00711184767131698,0.0,0.02068333381027781,0.0,0.0006065399583130571,-0.0003885802132623385,0.013588396394018229
summer_mean,90,650,0.034310350684723774,0.0014315272837359672,0.07613688362688407,0.0,0.02983207135279553,-0.026806737788648772,0.03772739600972693
amplitude,all,1950,0.02464604832986201,0.0,0.07952675961744755,0.0,0.012515257012492675,-0.01870473520383081,0.03342112379148124
amplitude,7,650,0.0023770490964752735,0.0,0.009164511585270195,0.0,0.0005486659264422045,-0.00028228613868878417,0.010463348844553815
amplitude,30,650,0.01438826566345341,0.0,0.03323829939186969,0.0,0.01236286144063925,-0.008843056459653352,0.025076657122477974
amplitude,90,650,0.05717283022965735,0.006406865781012794,0.127053355985059,0.0,0.05820162878607649,-0.04698886301315029,0.06472336540741191
phase_doy,all,1965,0.11978855588457783,0.029613679551857786,0.25689542964168693,0.0058398288316823255,0.12397842312708462,0.011123164206668217,0.16661208842307484
phase_doy,7,655,0.011720480173134793,0.004695318811968718,0.028414483360331793,0.0018222012324287107,0.012744079029275213,0.0021434301496789975,0.03765996174527929
phase_doy,30,655,0.05826387406695469,0.03161640710453639,0.09351645680134435,0.010057883485799834,0.06885942799623024,0.016746251749296642,0.11775758731323953
phase_doy,90,655,0.28938131341364404,0.18862716768634868,0.37992311441609594,0.0781637494881835,0.35784610973270503,0.014479810721029012,0.34441871621070574
p90,all,1965,0.01434210540926792,0.0,0.054990677766989446,0.0,0.0,-0.010226677463780674,0.015867684478371634
p90,7,655,0.0010281610969368794,0.0,0.008679288800392159,0.0,0.0,0.0002638692491837984,0.002516030534351131
p90,30,655,0.008037174809191286,0.0,0.032171769930621825,0.0,0.0,-0.002009893453272921,0.011871246819338505
p90,90,655,0.03396098032167559,0.0,0.08583696665907353,0.0,0.0,-0.0289340081872529,0.033215776081425265
summer_max,all,1950,0.008564102564102569,0.0,0.14208550653878219,0.0,0.0,-0.008564102564102569,0.008461538461538467
summer_max,7,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0
summer_max,30,650,0.00015384615384615057,0.0,0.003922322702763637,0.0,0.0,-0.00015384615384615057,0.00015384615384615057
summer_max,90,650,0.02553846153846155,0.0,0.2453137406223986,0.0,0.0,-0.02553846153846155,0.02523076923076925
exceed_20_days,all,1965,2.0269720101781172,0.0,6.720093682801682,0.0,0.0,-1.1139949109414757,2.0483460559796436
exceed_20_days,7,655,0.0717557251908397,0.0,0.4751106114830294,0.0,0.0,0.004580152671755725,0.19083969465648856
exceed_20_days,30,655,1.067175572519084,0.0,3.128991463101286,0.0,0.0,-0.05648854961832061,1.3435114503816794
exceed_20_days,90,655,4.9419847328244275,0.0,10.599015837689633,0.0,4.0,-3.2900763358778624,4.6106870229007635
exceed_25_days,all,1965,0.4371501272264631,0.0,3.3445618109229147,0.0,0.0,-0.42290076335877863,0.3480916030534351
exceed_25_days,7,655,0.03816793893129771,0.0,0.27104340672356103,0.0,0.0,-0.01984732824427481,0.08549618320610687
exceed_25_days,30,655,0.2916030534351145,0.0,1.8094653512800427,0.0,0.0,-0.27633587786259545,0.35572519083969467
exceed_25_days,90,655,0.981679389312977,0.0,5.455936944271381,0.0,0.0,-0.9725190839694656,0.6030534351145038
degree_days_10,all,1965,19.979344395243565,1.7239198684692383,45.39137944258545,0.0,16.808738899230775,-8.888522665526878,22.500391009329913
degree_days_10,7,655,1.2252753599520956,0.0,2.4185155398529896,0.0,1.4833116531385713,-0.22658063470193038,3.6506005089058275
degree_days_10,30,655,10.580410999657202,2.18173885345459,17.06652666950779,0.0,14.126022815705255,-1.9268782971990757,16.383292620865124
degree_days_10,90,655,48.132346826121406,19.02105865478552,68.23331957525838,1.7014619827268689,65.99818286895879,-24.51210906467963,47.46727989821879
trend_slope,all,1950,0.006091850050744726,0.001078110871571671,0.014092572663357103,0.00015002983701473127,0.004482933982182566,-0.00022581912793173892,0.007323763928426533
trend_slope,7,650,0.0005646217390456739,0.00015915341904121014,0.0013469306295157406,3.0639111326807855e-05,0.00048681140101718666,5.2514723507986025e-05,0.001989547712146505
trend_slope,30,650,0.002789153807531547,0.0013881776675783667,0.005557746959411629,0.0003295483092598771,0.00303077679937196,-0.0005198296772444831,0.004602787964627799
trend_slope,90,650,0.014921774605656959,0.006020815960469755,0.02107371400644005,0.0015472718096707604,0.019485599280818045,-0.0002101424300587199,0.015378956108505296
