network_id,n_placements,n_stations,mean_risk,mean_mae_deg_c,mean_dist_annual_mean,mean_recover_annual_mean,mean_signed_annual_mean,mean_dist_summer_mean,mean_recover_summer_mean,mean_signed_summer_mean,mean_dist_amplitude,mean_recover_amplitude,mean_signed_amplitude,mean_dist_phase_doy,mean_recover_phase_doy,mean_signed_phase_doy,mean_dist_p90,mean_recover_p90,mean_signed_p90,mean_dist_summer_max,mean_recover_summer_max,mean_signed_summer_max,mean_dist_exceed_20_days,mean_recover_exceed_20_days,mean_signed_exceed_20_days,mean_dist_exceed_25_days,mean_recover_exceed_25_days,mean_signed_exceed_25_days,mean_dist_degree_days_10,mean_recover_degree_days_10,mean_signed_degree_days_10,mean_dist_trend_slope,mean_recover_trend_slope,mean_signed_trend_slope,provider,domain
arso_sava,120,8,0.5378440258884872,0.5497248662407437,0.016119774383511767,0.037052144801483895,0.006719053673740912,0.019089187279991458,0.0680842391304347,0.015441104680443714,0.01690949231472416,0.09175524679362611,0.011878689352123632,0.18747219786125485,0.33882536893984677,0.025027052296578017,0.00337978808085125,0.014250000000000007,-0.00337978808085125,0.0,0.0,0.0,0.7666666666666667,1.3833333333333333,0.5333333333333333,0.0,0.1,0.0,11.357251385052988,28.132500000000036,3.9247187503178678,0.017187015994818176,0.027259637617721707,-0.0035051500177496107,arso,slovenia
arso_savinja,75,5,0.351078368645118,0.3453912888552147,0.01350143320833111,0.02827493917274933,-0.0033075259114701437,0.013201881671297547,0.04163043478260846,-0.013201881671297547,0.0340390988148242,0.06624372759856646,-0.02712775905157924,0.19083782019016857,0.2675531641678731,0.08165891385966385,0.005333333333333385,0.008666666666666671,-0.005333333333333385,0.0,0.0,0.0,0.24,1.1066666666666667,-0.21333333333333335,0.0,0.0,0.0,5.936544385274195,16.33666666666669,-3.042822385152016,0.014507132848559397,0.026158392594263436,-0.011967492177874295,arso,slovenia
foen_aare_aaregebiet,135,9,0.5481335571970987,0.5313466509778104,0.007996628337938329,0.012484451555091335,0.003467021564024772,0.004007451445176371,0.017104430423895645,-0.003020381504948733,0.012753126699495762,0.00577562753059993,-0.012643671056476501,0.09674777388078282,0.1589752251841819,-0.014713038927335572,0.007245149965639607,0.015259259259259408,-0.006417968071831718,0.0,0.0,0.0,0.5333333333333333,2.1333333333333333,-0.4148148148148148,0.0,0.0,0.0,6.60484532730672,20.757407407407435,0.06583864452212038,0.004342654689834423,0.004152650037566588,-0.0022825746260712945,foen,switzerland
gkd_bayern_donau,195,13,0.7700622593594216,0.7798285868085396,0.0064468791557374975,0.008867614382077121,0.0001985482923331552,0.008577775117509262,0.015444720030033684,-0.007981284815802708,0.013003728517568255,0.024662997235560234,-0.012559757453518772,0.05415016609116303,0.066243737068429,-0.023309280142097013,0.008986592219426097,0.016410256410256407,-0.007902259631034707,0.01282051282051282,0.01282051282051282,-0.01282051282051282,1.7794871794871794,3.4410256410256412,-1.0512820512820513,0.3384615384615385,0.3384615384615385,-0.3384615384615385,19.356548813061668,27.85512820512796,-11.737888808616901,0.0019378395350221063,0.002019153432939388,0.0005523192599380481,gkd_bayern,germany
gkd_bayern_isar,75,5,0.9188866186411794,0.6648528116216104,0.0056068170572221255,0.010266666626958146,0.0006021327053494,0.0054061789619594455,0.009792084090167706,-0.00044281411957683756,0.007116520666329199,0.016873035969407226,-0.004511724667839185,0.07827652219302687,0.1502692649259666,0.041449727799574704,0.008397613525390616,0.011999999999999957,-0.0030642801920572065,0.0,0.0,0.0,1.4666666666666666,1.4,-0.29333333333333333,0.0,0.0,0.0,17.485791020711265,25.7853333333334,0.5124884490963632,0.0009961005592924721,0.0018387310945877308,-0.00039770294097729456,gkd_bayern,germany
gkd_bayern_main,225,15,0.6444043745823006,0.8831287387262576,0.0063162017044581615,0.0067838150188355055,0.002174222711988239,0.006967271300629218,0.011015272774039476,0.0013020701772235397,0.007177912033814569,0.019962489033738054,-0.0027621447302947407,0.0580520727603088,0.04964967372312786,0.0105625458576579,0.005600000000000149,0.010666666666667244,0.000977777777777299,0.0,0.0,0.0,2.7422222222222223,3.431111111111111,0.08444444444444445,0.057777777777777775,0.06222222222222222,-0.057777777777777775,21.442815335591714,25.244444444444436,2.682782997131451,0.0017749179250493912,0.0017625752446808712,0.00021284357465211663,gkd_bayern,germany
huc8_02040101,90,6,0.7471654717245364,0.7002708614539729,0.010764317215203207,0.01339782388413642,-0.005916647159174036,0.026765899876872428,0.02636857557372577,-0.023177546630211706,0.040083775112856775,0.057932145874030685,-0.03489814485678906,0.11804727419043577,0.1579927237283098,0.0798875650105774,0.038677155388726035,0.037333333333333246,-0.031071688334146943,0.07444444444444452,0.07444444444444452,-0.07444444444444452,2.533333333333333,2.2888888888888888,-1.9777777777777779,1.0555555555555556,1.4222222222222223,-0.9666666666666667,19.059390453762514,22.857777777777745,-16.529749887254436,0.005756564435925298,0.007808335665256445,-0.0021974228739702795,usgs,united_states
huc8_02040104,90,6,1.03121600695635,0.9764468173907641,0.01834845163991474,0.012336586314904134,-0.002047738610102022,0.012709564640068255,0.011360807503478338,-0.009485718169842273,0.020647794071616904,0.030993881673185716,-0.009420556452568521,0.14236272725653218,0.09024130436019012,-0.12548408125770846,0.029361978742811268,0.03550000000000028,-0.02039901577984864,0.0011111111111110875,0.0011111111111110875,-0.0011111111111110875,3.422222222222222,1.6111111111111112,-3.3777777777777778,0.1,0.17777777777777778,-0.1,27.431034070050202,18.082148148148054,-21.91075584948484,0.008138543794170257,0.004628535015045545,-0.0006253604516684164,usgs,united_states
huc8_03110206,75,5,0.655526401469408,0.5976971009552164,0.014662347998521312,0.02426890372659936,0.009477944320079862,0.0,0.0,0.0,0.0764728708488695,0.10121657583345608,-0.07035221558508785,0.271312891296019,0.4226293050548721,0.017121875774715817,0.0,0.0,0.0,0.0,0.0,0.0,2.5733333333333333,4.96,0.7866666666666666,0.6,0.8,-0.49333333333333335,16.17227279154453,27.1326666666667,10.547477101643551,0.013374821459205002,0.024616527221765914,-0.006141895827385812,usgs,united_states
huc8_05030103,135,9,1.1605552979498612,1.150051449110241,0.022445460808607667,0.012857806349548157,-0.01152077064890862,0.05201048787593655,0.02447659323454277,-0.05129050294768052,0.08338086703626325,0.06361604333306085,-0.07685741008063258,0.07978696710264878,0.0799291942146845,-0.03488710279691321,0.05598289715802241,0.03274074074074075,-0.05487178604691126,0.018518518518518517,0.02000000000000002,-0.018518518518518517,5.4222222222222225,2.2814814814814817,-4.666666666666667,2.311111111111111,1.4148148148148147,-2.311111111111111,44.61886023203528,22.7768518518518,-42.06799076362894,0.009872678121962745,0.00577503603679224,-0.000550211143736153,usgs,united_states
