policy,metric,baseline_distortion,budget_distortion_mean,budget_distortion_sd,reduction_mean,reduction_sd
risk,annual_mean,10.545066151015071,10.316142418767255,0.0,0.02170908451112752,0.0
risk,summer_mean,21.462603769137107,26.39601868436385,0.0,-0.22986096972637204,0.0
risk,amplitude,29.501283832181294,39.48215673093782,0.0,-0.33831995093952316,0.0
risk,phase_doy,92.25576564519636,102.22087468462954,0.0,-0.10801611118548071,0.0
risk,p90,21.715166666666708,24.53927156575524,0.0,-0.1300521862180133,0.0
risk,summer_max,18.000000000000007,18.000000000000007,0.0,0.0,0.0
risk,exceed_20_days,2477.0,3026.0,0.0,-0.2216390795316916,0.0
risk,exceed_25_days,536.0,764.0,0.0,-0.4253731343283582,0.0
risk,degree_days_10,23856.73833333333,28127.503592770892,0.0,-0.1790171481015208,0.0
risk,trend_slope,4.253413046061458,4.91960262374048,0.0,-0.15662470831416075,0.0
risk,combined,,,0.0,-0.1767194203833993,0.0
gap_length,annual_mean,10.545066151015071,9.202210497855411,0.0,0.12734445037411135,0.0
gap_length,summer_mean,21.462603769137107,25.77504638240375,0.0,-0.20092821260894111,0.0
gap_length,amplitude,29.501283832181294,39.614724150904706,0.0,-0.3428135662249121,0.0
gap_length,phase_doy,92.25576564519636,90.38970238930563,0.0,0.020227063781220744,0.0
gap_length,p90,21.715166666666708,24.800393254598024,0.0,-0.14207703930116322,0.0
gap_length,summer_max,18.000000000000007,18.000000000000007,0.0,0.0,0.0
gap_length,exceed_20_days,2477.0,3296.0,0.0,-0.33064190553088424,0.0
gap_length,exceed_25_days,536.0,761.0,0.0,-0.419776119402985,0.0
gap_length,degree_days_10,23856.73833333333,27009.91350171404,0.0,-0.13217126014141667,0.0
gap_length,trend_slope,4.253413046061458,4.524493548113798,0.0,-0.0637324659318832,0.0
gap_length,combined,,,0.0,-0.14845690549868534,0.0
oracle_annual_mean,annual_mean,10.545066151015071,6.348868419640979,0.0,0.397929958075243,0.0
oracle_annual_mean,summer_mean,21.462603769137107,13.926706853117086,0.0,0.35111755298099134,0.0
oracle_annual_mean,amplitude,29.501283832181294,24.439731541096815,0.0,0.17157057705953516,0.0
oracle_annual_mean,phase_doy,92.25576564519636,68.08558197615338,0.0,0.26199103654939415,0.0
oracle_annual_mean,p90,21.715166666666708,17.911078427632656,0.0,0.17518116703536135,0.0
oracle_annual_mean,summer_max,18.000000000000007,18.40000000000001,0.0,-0.022222222222222365,0.0
oracle_annual_mean,exceed_20_days,2477.0,1917.0,0.0,0.2260799354057328,0.0
oracle_annual_mean,exceed_25_days,536.0,652.0,0.0,-0.21641791044776126,0.0
oracle_annual_mean,degree_days_10,23856.73833333333,14936.064569104501,0.0,0.37392679751886304,0.0
oracle_annual_mean,trend_slope,4.253413046061458,3.5298080755629493,0.0,0.17012337213959194,0.0
oracle_annual_mean,combined,,,0.0,0.1889280264094729,0.0
oracle_summer_mean,annual_mean,10.545066151015071,9.992833178589866,0.0,0.05236884857019575,0.0
oracle_summer_mean,summer_mean,21.462603769137107,17.571577326603837,0.0,0.18129330832303336,0.0
oracle_summer_mean,amplitude,29.501283832181294,29.587020520754862,0.0,-0.0029062019490841973,0.0
oracle_summer_mean,phase_doy,92.25576564519636,97.23066080728859,0.0,-0.05392503251477021,0.0
oracle_summer_mean,p90,21.715166666666708,20.34595168813073,0.0,0.06305339487160166,0.0
oracle_summer_mean,summer_max,18.000000000000007,18.40000000000001,0.0,-0.022222222222222365,0.0
oracle_summer_mean,exceed_20_days,2477.0,2333.0,0.0,0.05813484053290274,0.0
oracle_summer_mean,exceed_25_days,536.0,733.0,0.0,-0.3675373134328359,0.0
oracle_summer_mean,degree_days_10,23856.73833333333,20037.703059399897,0.0,0.1600820372245676,0.0
oracle_summer_mean,trend_slope,4.253413046061458,3.406922729923587,0.0,0.19901436962998387,0.0
oracle_summer_mean,combined,,,0.0,0.02673560290333723,0.0
oracle_amplitude,annual_mean,10.545066151015071,9.182427613844677,0.0,0.1292204826082789,0.0
oracle_amplitude,summer_mean,21.462603769137107,19.498279337155168,0.0,0.09152311868174201,0.0
oracle_amplitude,amplitude,29.501283832181294,29.318555997032917,0.0,0.006193894346694484,0.0
oracle_amplitude,phase_doy,92.25576564519636,96.78566938565183,0.0,-0.049101578733592444,0.0
oracle_amplitude,p90,21.715166666666708,20.383338521321676,0.0,0.06133170266611032,0.0
oracle_amplitude,summer_max,18.000000000000007,18.300000000000008,0.0,-0.016666666666666607,0.0
oracle_amplitude,exceed_20_days,2477.0,2373.0,0.0,0.04198627371820751,0.0
oracle_amplitude,exceed_25_days,536.0,674.0,0.0,-0.2574626865671641,0.0
oracle_amplitude,degree_days_10,23856.73833333333,23245.65850430805,0.0,0.0256145588926322,0.0
oracle_amplitude,trend_slope,4.253413046061458,4.034451423350246,0.0,0.051479040558725875,0.0
oracle_amplitude,combined,,,0.0,0.008411813950496816,0.0
oracle_phase_doy,annual_mean,10.545066151015071,6.546236013734384,0.0,0.3792133761906993,0.0
oracle_phase_doy,summer_mean,21.462603769137107,14.644058431300772,0.0,0.3176942281178996,0.0
oracle_phase_doy,amplitude,29.501283832181294,20.764990971346172,0.0,0.2961326330925703,0.0
oracle_phase_doy,phase_doy,92.25576564519636,62.39077773773968,0.0,0.32371947377591037,0.0
oracle_phase_doy,p90,21.715166666666708,18.32837925211592,0.0,0.15596414554577598,0.0
oracle_phase_doy,summer_max,18.000000000000007,18.40000000000001,0.0,-0.022222222222222365,0.0
oracle_phase_doy,exceed_20_days,2477.0,2278.0,0.0,0.0803391199031086,0.0
oracle_phase_doy,exceed_25_days,536.0,560.0,0.0,-0.04477611940298498,0.0
oracle_phase_doy,degree_days_10,23856.73833333333,15858.074734166461,0.0,0.33527900953630796,0.0
oracle_phase_doy,trend_slope,4.253413046061458,3.4894855833205307,0.0,0.17960340424692656,0.0
oracle_phase_doy,combined,,,0.0,0.20009470487839912,0.0
oracle_p90,annual_mean,10.545066151015071,10.318743485683989,0.0,0.02146242252916508,0.0
oracle_p90,summer_mean,21.462603769137107,18.946106515256837,0.0,0.11725032437578498,0.0
oracle_p90,amplitude,29.501283832181294,31.602723304159333,0.0,-0.07123213633454473,0.0
