network_id,station_id,gap_length,start_date,n_usable_donors,acf30,donor_r2,donor_r2_estimator,heuristic_explained_variance,recoverability_r,predicted_skill,predicted_conditional_risk,fill_mae,donor_mae,climate_mae,observed_recovery_loss,achieved_skill,y_kind,reason
delaware_river_huc20,01427207,30,2018-01-01,4,0.15321098853634318,0.8850181810976315,year_block_cv,0.9017649127571397,0.937980334153499,0.9381766129648088,0.3089864432942974,0.31565522749128583,0.31565522749128583,1.1775757575757575,0.31565522749128583,0.7319448660007094,planted_gap,
delaware_river_huc20,01427207,90,2018-01-01,4,0.15321098853634318,0.8850181810976315,year_block_cv,0.8883148024621221,0.9393990968116912,0.9401107966810137,0.29931960723421963,0.3310819159692425,0.3310819159692425,0.9808181818181819,0.3310819159692425,0.6624431295150925,planted_gap,
delaware_river_huc20,01427510,30,2018-01-01,4,0.10281466465214108,0.8944790790424207,year_block_cv,0.9076741136669911,0.9999839832488914,0.9999839832488914,7.978845608028654e-05,0.086523242165937,0.086523242165937,0.8259259259259261,0.086523242165937,0.8952409175569372,planted_gap,
delaware_river_huc20,01427510,90,2018-01-01,4,0.10281466465214108,0.8944790790424207,year_block_cv,0.8975972169936614,0.9999839832488914,0.9999839832488914,7.978845608028654e-05,0.1561034905569268,0.1561034905569268,0.8475925925925926,0.1561034905569268,0.8158272123645609,planted_gap,
delaware_river_huc20,01432160,30,2018-01-01,4,0.13079922915191236,0.0,year_block_cv,0.15400806824846408,0.9999849783220491,0.9999849783220491,7.978845608028652e-05,0.21769077523063313,0.21769077523063313,0.4429411764705882,0.21769077523063313,0.5085334423744006,planted_gap,
delaware_river_huc20,01432160,90,2018-01-01,4,0.13079922915191236,0.0,year_block_cv,0.034461701327522284,0.9999849783220491,0.9999849783220491,7.978845608028655e-05,0.2077925487809205,0.2077925487809205,0.7529125816993465,0.2077925487809205,0.7240150399506853,planted_gap,
delaware_river_huc20,01432805,30,2018-05-23,4,0.1282026085537944,0.5112332925486911,year_block_cv,0.57779342908593,0.9999853379482023,0.9999853379482023,7.97884560802865e-05,0.9915108180596426,0.9915108180596426,1.188387799564269,0.9915108180596426,0.16566728602970582,planted_gap,
delaware_river_huc20,01432805,90,2018-05-23,4,0.1282026085537944,0.5112332925486911,year_block_cv,0.5299440036470915,0.9999853379482023,0.9999853379482023,7.978845608028655e-05,1.7422436368106218,1.7422436368106218,2.219950072621641,1.7422436368106218,0.21518791872957477,planted_gap,
delaware_river_huc20,01477050,30,2018-01-24,4,0.23467906375738992,0.0,year_block_cv,0.5028736385394628,0.999984826955901,0.999984826955901,7.978845608028652e-05,2.2510039221863254,2.2510039221863254,1.456111111111111,2.2510039221863254,-0.5459012056220474,planted_gap,
delaware_river_huc20,01477050,90,2018-01-24,4,0.23467906375738992,0.0,year_block_cv,0.11068245778442914,0.999984826955901,0.999984826955901,7.978845608028652e-05,2.019492169573736,2.019492169573736,1.817385413424629,2.019492169573736,-0.11120742725026211,planted_gap,
willamette_river_huc17,14158100,30,2018-01-01,5,0.5728766005932654,0.7692334690976057,year_block_cv,0.8865336679659515,0.9623010929796855,0.9630961587055813,0.13036909973662106,0.4064117982038408,0.4064117982038408,1.061190476190476,0.4064117982038408,0.6170227613964254,planted_gap,
willamette_river_huc17,14158100,90,2018-01-01,5,0.5728766005932654,0.7692334690976057,year_block_cv,0.8492938888601567,0.9700948558668524,0.9712741712313105,0.1014788787401587,0.30676404000016255,0.30676404000016255,0.9523015873015873,0.30676404000016255,0.6778709139093217,planted_gap,
willamette_river_huc17,14166000,30,2018-01-01,5,0.3659744437003068,0.9339460927712308,year_block_cv,0.9511797571406652,0.978217889018442,0.9786755391622837,0.07652796770671577,0.19991131876113666,0.19991131876113666,0.9945098039215686,0.19991131876113666,0.7989850698576899,planted_gap,
willamette_river_huc17,14166000,90,2018-01-01,5,0.3659744437003068,0.9339460927712308,year_block_cv,0.9448576659760952,0.9795748311957315,0.9805058525253005,0.06995944702972932,0.17513248124240874,0.17513248124240874,0.9437254901960784,0.17513248124240874,0.8144243394273251,planted_gap,
willamette_river_huc17,14174000,30,2018-01-01,5,0.32564832877086347,0.8770483959600062,year_block_cv,0.9035392773289318,0.976312966614776,0.9766086663091191,0.0929237314938243,0.14251552114237123,0.14251552114237123,0.9666872710622713,0.14251552114237123,0.8525732929267145,planted_gap,
