panel,subset,rung,description,available,n,n_networks,pooled_spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse,n_networks_within_defined,within_network_spearman_median,residualized_pooled_spearman
second,direct_874,r1_global,global mean (pooled fitting MAE),True,874,57,,,1.3806949234923975,,-0.0454656306154988,1.0773283061746664,0.0,,
second,direct_874,r2_gap,gap-length mean,True,874,57,0.8328829569476696,0.3120776044170922,-0.06670722595602972,1.1545251858116363,0.6777316058242884,0.5981389008440988,57.0,0.950033737592567,0.896312151240522
second,direct_874,r3_gap_season,gap x season mean,True,874,57,0.792676332654843,0.11679523577622226,0.17481561445927574,0.9385658475772681,0.6431870720736842,0.6293807873545451,57.0,0.950033737592567,0.8649589640267714
second,direct_874,r4_network,network historical mean (fitting-period),True,874,57,0.2805660380709666,0.7273139745916516,0.40057119613225967,0.7843285678036105,0.04444461224757934,1.0299618142217695,0.0,,
second,direct_874,r5_network_gap,network x horizon mean,True,874,57,0.9022443037118802,0.7632227119522946,0.14189161821409088,0.9425775343878021,0.7261984889681432,0.5513293478650391,57.0,0.9458889376416987,0.8889370462489224
second,direct_874,r6_station_gap,station x horizon mean,True,874,57,0.9423871811425271,0.7632227119522946,0.16699005066716033,0.9235488385105983,0.7893171425417872,0.48362393992916336,57.0,0.9676470588235294,0.9298324622924237
second,direct_874,r7_prev_period,previous-period LOO gap x season,True,874,57,0.792676332654843,0.1197203130533411,0.12816735677436938,1.0287630003980626,0.6316788537792373,0.63944989079074,57.0,0.950033737592567,0.8620503109170675
second,direct_874,r8_simple,"simple structural descriptors (route-A, fit-period)",True,874,57,0.8458749473414598,0.2475369458128079,-0.046502461201509686,1.1570660942067008,0.6477252800223126,0.625365516479053,57.0,0.9370629370629372,0.8957689876866078
second,direct_874,r9_condcov,conditional covariance -> MAE (NA),False,0,0,,,,,,,,,
second,direct_874,r10_blocked_cv,generic blocked-CV mean (LOO network),True,874,57,-0.27706833166020883,-0.7357402126004667,57.09930975412939,-44.18078063774455,-0.01565123896053655,1.06185567418331,0.0,,
second,direct_874,r11_surface,hierarchical risk surface (t04 frozen),True,874,57,0.8979489243053846,0.6887477313974593,-0.18863840501702536,1.3257930459959986,0.6563141032941116,0.6176949436860687,57.0,0.9510489510489512,0.9034499381578105
second,direct_874,r12_stack,meta-model (simple + surface stack),True,874,57,0.9040486559293797,0.7150635208711434,0.17397706135113863,0.9564183472137747,0.749926853546002,0.5268982061946936,57.0,0.9580419580419581,0.9128656243926715
second,direct_874,empirical,empirical transfer curve (proposed reference),True,874,57,0.9453454523265827,0.8049001814882034,0.13832261354048767,0.9383308686836279,0.8132326629922993,0.4553482313539534,57.0,0.965034965034965,0.9358954218739222
second,all_1446,r1_global,global mean (pooled fitting MAE),True,1446,57,,,1.5395636325923643,,-0.07213045427652531,1.566357881332217,0.0,,
second,all_1446,r2_gap,gap-length mean,True,1446,57,0.6181078137045268,-0.2481698819976555,0.15299033329086795,1.1236304392158818,0.1399262065117194,1.4029268847411998,57.0,0.6859501994628361,0.5641711779453498
second,all_1446,r3_gap_season,gap x season mean,True,1446,57,0.5853943166162463,-0.01908380355571024,0.39719151005408765,0.90758445703272,0.12979702168283092,1.4111639166818382,57.0,0.6722947096966174,0.5880115477064366
second,all_1446,r4_network,network historical mean (fitting-period),True,1446,57,0.3143759743700638,0.7719730360383719,0.30246705456070466,0.9738234614362508,0.013046025763862379,1.5028499820669574,0.0,,
second,all_1446,r5_network_gap,network x horizon mean,True,1446,57,0.7106855442347497,0.7255639097744361,0.28219580990846355,0.958204228646371,0.2129506206548859,1.3420483757232942,57.0,0.6314241104948161,0.5751643634369035
