panel,subset,normalization,n,r1_global_mean_abs_normalized,r1_global_median_abs_normalized,r1_global_rmse_normalized,r2_gap_mean_abs_normalized,r2_gap_median_abs_normalized,r2_gap_rmse_normalized,r3_gap_season_mean_abs_normalized,r3_gap_season_median_abs_normalized,r3_gap_season_rmse_normalized,r4_network_mean_abs_normalized,r4_network_median_abs_normalized,r4_network_rmse_normalized,r5_network_gap_mean_abs_normalized,r5_network_gap_median_abs_normalized,r5_network_gap_rmse_normalized,r6_station_gap_mean_abs_normalized,r6_station_gap_median_abs_normalized,r6_station_gap_rmse_normalized,r7_prev_period_mean_abs_normalized,r7_prev_period_median_abs_normalized,r7_prev_period_rmse_normalized,r8_simple_mean_abs_normalized,r8_simple_median_abs_normalized,r8_simple_rmse_normalized,r10_blocked_cv_mean_abs_normalized,r10_blocked_cv_median_abs_normalized,r10_blocked_cv_rmse_normalized,r11_surface_mean_abs_normalized,r11_surface_median_abs_normalized,r11_surface_rmse_normalized,r12_stack_mean_abs_normalized,r12_stack_median_abs_normalized,r12_stack_rmse_normalized,empirical_mean_abs_normalized,empirical_median_abs_normalized,empirical_rmse_normalized
second,direct_874,temp_sd_fitperiod,874,0.14214661554587216,0.09458053060046548,0.2016320504246839,0.08234686289011196,0.046545450666967664,0.15932320995660926,0.08959133727379014,0.04579342207815877,0.18156394383568963,0.1317265520094057,0.10159212697846425,0.17954844457644378,0.059302216078019394,0.029042744678260672,0.10587901155751969,0.042665382144281894,0.01739107741636546,0.08573456824770455,0.08842804112588887,0.04647586340317911,0.17107258599992026,0.08399046155704344,0.044952199473478976,0.1681766615582505,0.1472672032972933,0.10259499648020354,0.20718747488580286,0.07377540501160632,0.030718138654115462,0.1968235419375803,0.07416231102135144,0.038656902444988414,0.22270186015367818,0.0402200645538474,0.01712535646499868,0.07881986305080121
second,direct_874,temp_iqr_fitperiod,874,0.07905816343811456,0.05147773090611428,0.11459692345769781,0.04651225471960786,0.024930247584092312,0.09567139438097579,0.05081019556264162,0.02521747543609008,0.10953992008187972,0.07265580975519155,0.055247579191920596,0.10011196518603212,0.03315114625848076,0.015861383448523572,0.06082663279903672,0.02379347953489223,0.009577508571671159,0.04880809192900285,0.05000158607589928,0.025762738585938312,0.1028018057753475,0.047517507346408375,0.02445625151539641,0.10188525973698775,0.08206328014440888,0.05509772650101258,0.11859529485157447,0.041912441093507814,0.016625750248604042,0.12130105321874407,0.04260938770434832,0.020994791724789665,0.13938869767296838,0.02243496106293141,0.009483006701417685,0.044892510426524576
second,all_1446,temp_sd_fitperiod,1446,0.17159310787677767,0.0894940438733986,0.2706907138573454,0.135448582412646,0.059237669805768056,0.25306700953447164,0.1398273311065151,0.060090698905801404,0.26196453136451403,0.16070171245888756,0.09682771753232984,0.24963541879482073,0.11692656058887953,0.0465144912028588,0.2227294506920995,0.10687082555562466,0.034784198960493035,0.217428964776195,0.13773792470687538,0.059163298355527125,0.25853495059018095,0.09164111456251767,0.044908900282491684,0.20212001807235488,0.1775108058495976,0.1009124584122626,0.2728079842596013,0.10226426586835223,0.0318318116023661,0.25044740647813624,0.08957670507799131,0.03742815624955941,0.26132429013338254,0.10539281201894432,0.03386685759935848,0.2158416349736047
second,all_1446,temp_iqr_fitperiod,1446,0.09494250590553252,0.04893478040189695,0.15046821750577913,0.07527091239241021,0.03247681567856081,0.1422512143101794,0.07786869959629093,0.03272700247078064,0.1481741924701751,0.08823198872375711,0.05310954154417368,0.13697138462076092,0.06435434287581432,0.02544227190554587,0.12222790555565036,0.05869832578285695,0.019026783558947696,0.11892535190022419,0.07657926064941135,0.03178849040460294,0.14551471870179977,0.05161550732722731,0.024527160809349944,0.12188527322804267,0.09837759733337452,0.05427988646703927,0.1524394574898639,0.05728633302237658,0.01704499733805436,0.14864558875574213,0.05082781818352089,0.02029850719661022,0.16100115297059578,0.05787720189316555,0.018626154037986228,0.11798932176618389
first,direct_858,climatology_mae,858,0.5431200315911725,0.38677390831084774,0.7605276490253172,0.3590290786077103,0.1914965171697334,0.677662542737241,0.38792003704077926,0.1936665945332192,0.7750626517963521,0.4893361927892874,0.3425010649088292,0.6778291183157759,0.28423091320331845,0.1465232771455043,0.46905726924108676,0.21804330155322907,0.09087861038307268,0.4133505186780331,0.4365114267574425,0.2073212267944462,0.8951584392556753,0.41241088992184716,0.23854879614563926,0.8056617765311969,0.5390411226896864,0.37913686148479425,0.7591773229773542,0.21843632876047359,0.11561347307501063,0.400320936717498,,,,0.21934914772090933,0.09051716549871387,0.4158094100476606
first,all_1440,climatology_mae,1440,0.6458618693211482,0.3896649810522842,0.9900892470297529,0.5361743431685019,0.26345068496379465,0.9535553539177197,0.5533885392348722,0.26268286966863363,0.996782625974786,0.5981921976804072,0.3438767661787547,0.9374323893560736,0.475983635260434,0.20818210104889967,0.857971203573332,0.4365468499855892,0.15890614736748698,0.8407293029267726,0.5856223713495402,0.27953777401682856,1.054601888423302,0.46276907242275356,0.24221387070661238,0.9228655393530225,0.6415065081887824,0.38095419297867555,0.9908813692609602,0.28410998902143075,0.12195467153543921,0.5560614124384542,,,,0.4373249166604986,0.1582595216162195,0.841451456862647
