horizon,n_units,n_networks,r2_gap_network_spearman,r4_network_network_spearman,r5_network_gap_network_spearman,r6_station_gap_network_spearman,r7_prev_period_network_spearman,r8_simple_network_spearman,r11_surface_network_spearman,r12_stack_network_spearman,empirical_network_spearman
7,224,57,,0.5220378532538242,0.9383588281047446,0.9384236453201971,-0.11155810309712759,0.3744490536686544,0.6925719471091523,0.7351568576613949,0.9320715582058596
14,224,57,,0.5451127819548872,0.5451127819548872,0.5451127819548872,,0.3555224267565466,0.7336660617059892,0.7538242157116931,0.5451127819548872
30,224,57,,0.6221804511278196,0.9154135338345866,0.9154135338345866,-0.15817598853853884,0.15296862846772102,0.7706118745138709,0.7774824993518279,0.9156728026963963
60,224,57,,0.6978869587762511,0.6978869587762511,0.6978869587762511,,0.09929997407311382,0.7424163857920664,0.7439719989629245,0.6978869587762511
90,220,56,,0.6601503759398497,0.8425837320574164,0.8434723171565277,-0.3962790578571906,0.042925495557074506,0.7143540669856459,0.725017088174983,0.8647983595352017
180,206,53,,0.6085308821157878,0.6027253668763102,0.603451056281245,0.24593747157132387,0.16400580551523947,0.46524754071923885,0.506047411707789,0.6594097726173197
365,124,30,,0.7357063403781979,0.7357063403781979,0.7357063403781979,,0.13370411568409346,0.26985539488320354,0.25339265850945497,0.7357063403781979
