network_id,temp_sd_full_record,temp_iqr_full_record,n_stations,t04_temp_sd_training_years,t04_temp_iqr_training_years,corr_sd_full_vs_training
chmi_berounka,6.746887545857178,12.633333333333336,5,6.421886789083638,12.166666666666668,0.7119202847691761
chmi_blanice,6.1652006621083535,10.876909722222226,4,6.084793929986136,11.46111111111111,0.7119202847691761
nve_basin_2,4.950483068016023,9.085610325000001,4,5.236923655452735,9.741776648,0.7119202847691761
nve_basin_103,4.880335815144264,8.61032235,4,4.565551495807476,7.947153,0.7119202847691761
nve_basin_26,5.578408967665865,9.45203325,4,4.633249142186771,8.0360145,0.7119202847691761
usgs2_huc2_08,7.9114657622541555,14.0,4,8.526808279109696,16.8,0.7119202847691761
usgs2_huc2_12,6.560517843283193,11.3,5,7.919974357098889,14.7,0.7119202847691761
usgs2_huc2_14,5.1820226294519545,8.5,2,,,0.7119202847691761
usgs2_huc2_15,6.5291526420394765,9.8,4,3.9948750012310055,6.899999999999999,0.7119202847691761
usgs2_huc2_18,4.989896533927241,6.0,3,5.181436155205295,9.2,0.7119202847691761
