mechanism,matched,network_spearman,network_spearman_p,pooled_spearman,calibration_intercept,calibration_slope,mean_predicted_loss,mean_observed_loss,n_units,n_networks,network_spearman_4horizon,n_units_4horizon,fallback_fraction,station_horizon_units
a_uniform_block,True,0.5314685314685316,0.07536233505348364,0.8572298094442996,0.340765104538489,0.9200454617524911,0.9882626196594592,1.2586065415267242,573,12,0.6223776223776225,348,0.10296684118673648,514
b_multi_block,True,0.9440559440559443,3.9272610809659444e-06,0.8592139544652244,0.08394772679587921,0.901809536740132,0.5064459663048827,0.538624711918567,573,12,0.9230769230769231,348,0.10296684118673648,514
c_summer_biased,True,0.5944055944055945,0.04152149441031855,0.8319853534254589,0.2759127336018713,0.9376716490425677,1.006671077361361,1.2449832803636263,557,12,0.4895104895104896,348,0.09515260323159784,504
d_high_temperature_biased,True,0.5804195804195805,0.04785597684206058,0.866238340053682,0.330255744443498,1.0105203234434554,1.1639056426243848,1.5055636630754068,573,12,0.6223776223776225,348,0.10296684118673648,514
f_donor_synchronous,True,0.9790209790209792,3.0898013985487064e-08,0.9790101000497565,0.08687217709072997,0.9496429916411671,3.428091921621996,3.3500855140558348,609,12,0.9510489510489512,348,0.006568144499178982,605
g_target_plus_primary_covariate,True,0.8811188811188813,0.00015267406467669873,0.8944321543830963,0.3874818791909457,0.8920100422561705,1.9421156849415804,2.1307010690478805,575,12,0.9440559440559443,348,0.08869565217391304,524
h_online_left_boundary,True,0.9300699300699302,1.170222792865967e-05,0.9129927331991791,0.26053913657665423,0.9061364465335917,1.2502345296442825,1.3870767667605755,573,12,0.8881118881118882,348,0.10296684118673648,514
