network_id,station_id,gap_length,mechanism,observed_recovery_loss,n_placements,predicted_loss,fallback_type
arso_savinja,6020,180,a_uniform_block,1.272132011214892,20,1.264497113581057,station_horizon
arso_savinja,6020,365,a_uniform_block,2.0369628023252093,20,1.9285057695815553,station_horizon
arso_savinja,6060,7,a_uniform_block,0.3438868318285261,20,0.3490404679661705,station_horizon
arso_savinja,6060,14,a_uniform_block,0.34220255017280576,20,0.40806514053117654,station_horizon
arso_savinja,6060,30,a_uniform_block,0.47105508414904274,20,0.5006044775909847,station_horizon
arso_savinja,6060,60,a_uniform_block,0.5783713175853094,20,0.5724739810493257,station_horizon
arso_savinja,6060,90,a_uniform_block,0.6863299216164483,20,0.5883185243606568,station_horizon
arso_savinja,6060,180,a_uniform_block,1.2173007541100183,20,1.0264646987782584,station_horizon
arso_savinja,6060,365,a_uniform_block,1.735104933869349,20,1.507970739782673,station_horizon
arso_savinja,6120,7,a_uniform_block,0.25315055029732847,20,0.14588125206175298,station_horizon
arso_savinja,6120,14,a_uniform_block,0.2521536241258894,20,0.1618545594669523,station_horizon
arso_savinja,6120,30,a_uniform_block,0.3003781443436941,20,0.1875638229317135,station_horizon
arso_savinja,6120,60,a_uniform_block,0.3132018373409907,20,0.19254803611172563,station_horizon
arso_savinja,6120,90,a_uniform_block,0.34158541107177737,20,0.21941370959635134,station_horizon
arso_savinja,6120,180,a_uniform_block,0.43026370726691354,20,0.29667957098395736,station_horizon
arso_savinja,6120,365,a_uniform_block,0.4716672051769414,20,0.3211002681462188,station_horizon
arso_savinja,6140,7,a_uniform_block,0.2694195607730321,20,0.2463264011201404,station_horizon
arso_savinja,6140,14,a_uniform_block,0.2864386878694807,20,0.28330685439563935,station_horizon
arso_savinja,6140,30,a_uniform_block,0.3174776299794515,20,0.3484327901734246,station_horizon
arso_savinja,6140,60,a_uniform_block,0.42668984246253966,20,0.38769281340969936,station_horizon
arso_savinja,6140,90,a_uniform_block,0.5076761977407667,20,0.4574532088085457,station_horizon
arso_savinja,6140,180,a_uniform_block,0.9512161602046755,20,0.9318514938928463,station_horizon
arso_savinja,6140,365,a_uniform_block,1.514842215087316,20,1.3193859148678713,station_horizon
arso_savinja,6200,7,a_uniform_block,0.3102749061584472,20,0.23288627806163956,station_horizon
arso_savinja,6200,14,a_uniform_block,0.33522042751312253,20,0.27553823136148,station_horizon
