site_id,found,name,latitude,longitude,huc,drainage_area_sqmi,site_type,has_daily_temperature,daily_begin,daily_end,span_years,daily_statistic,n_temperature_series,error,network_id,query
01421500,True,EAST BRANCH DELAWARE RIVER AT HANCOCK NY,41.952167,-75.276694,020401020507,839.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01421500&parameter_code=00010,delaware_mainstem,Delaware River
01421550,True,WEST BRANCH DELAWARE RIVER AT STAMFORD NY,42.405358024479,-74.6248738609267,020401010101,7.12,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01421550&parameter_code=00010,delaware_mainstem,Delaware River
01421610,True,WEST BRANCH DELAWARE RIVER AT HOBART NY,42.371417,-74.668833,020401010101,16.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01421610&parameter_code=00010,delaware_mainstem,Delaware River
01421800,True,WEST BRANCH DELAWARE RIVER AT BLOOMVILLE NY,42.3292496394306,-74.8034907770394,020401010104,82.3,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01421800&parameter_code=00010,delaware_mainstem,Delaware River
01422000,True,WEST BRANCH DELAWARE RIVER AT DELHI NY,42.2711111111111,-74.9180555555556,020401010106,142.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01422000&parameter_code=00010,delaware_mainstem,Delaware River
01422500,True,LITTLE DELAWARE RIVER NEAR DELHI NY,42.2523888888889,-74.9010555555556,020401010105,49.8,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01422500&parameter_code=00010,delaware_mainstem,Delaware River
01422735,True,WEST BRANCH DELAWARE RIVER ABOVE WALTON NY,42.1550855403794,-75.1098900114803,020401010204,273.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01422735&parameter_code=00010,delaware_mainstem,Delaware River
01423000,True,WEST BRANCH DELAWARE RIVER AT WALTON NY,42.1661111111111,-75.1400277777778,020401010205,332.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01423000&parameter_code=00010,delaware_mainstem,Delaware River
01423010,True,WEST BRANCH DELAWARE RIVER AT BEERSTON NY,42.1286111111111,-75.1611111111111,020401010207,352.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01423010&parameter_code=00010,delaware_mainstem,Delaware River
01425000,True,WEST BRANCH DELAWARE RIVER AT STILESVILLE NY,42.0749166666667,-75.3958055555556,020401010304,456.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01425000&parameter_code=00010,delaware_mainstem,Delaware River
01427000,True,WEST BRANCH DELAWARE RIVER AT HANCOCK NY,41.9521666666667,-75.2909444444444,020401010307,650.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01427000&parameter_code=00010,delaware_mainstem,Delaware River
01477200,True,"Delaware River at Marcus Hook, PA",39.811918401657,-75.4091376903061,020402020607,10370.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01477200&parameter_code=00010,delaware_mainstem,Delaware River
01413070,True,"EAST BRANCH DELAWARE RIVER AT MORE SETTLEMENT, NY",42.3275277777778,-74.55225,020401020302,5.5,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01413070&parameter_code=00010,delaware_mainstem,Delaware River
01413092,True,"EAST BRANCH DELAWARE RIVER SOUTH OF ROXBURY, NY",42.2681111111111,-74.5835,020401020302,23.8,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01413092&parameter_code=00010,delaware_mainstem,Delaware River
01413200,True,EAST BRANCH DELAWARE RIVER AT KELLY CORNERS NY,42.1831430951423,-74.601820984262,020401020306,69.1,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01413200&parameter_code=00010,delaware_mainstem,Delaware River
01417800,True,EAST BRANCH DELAWARE RIVER AT EAST BRANCH NY,41.9917540184605,-75.1301679019332,020401020503,463.0,Stream,False,,,,,,HTTP 429 for https://api.waterdata.usgs.gov/ogcapi/v0/collections/time-series-metadata/items?f=json&limit=200&monitoring_location_id=USGS-01417800&parameter_code=00010,delaware_mainstem,Delaware River
