site_id,name,river,water_body_type,latitude,longitude,source,historical_daily_public,note
2436,"Alpnach, Chilch Erli",Chli Schliere,river,46.9441,8.2766,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2437,"Ecublens, Eschiens",Parimbot,river,46.6044,6.8129,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2446,"Gampelen, Zihlbrücke",Zihlkanal,river,47.0211,7.0342,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2447,Sugiez,Canal de la Broye,river,46.9637,7.1146,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2450,Zofingen,Wigger,river,47.2835,7.9354,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2457,"Ringgenberg, Goldswil",Aare,river,46.694,7.8796,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2458,Valangin,Seyon,river,47.0111,6.9043,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2461,"Magliaso, Ponte",Magliasina,river,45.982,8.879,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2462,S-Chanf,Inn,river,46.6157,9.9952,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2467,Gümmenen,Saane,river,46.9441,7.2429,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2468,"St. Gallen, Bruggen/Au",Sitter,river,47.4144,9.3275,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2469,Hondrich,Kander,river,46.6666,7.6711,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2471,"Murgenthal, Walliswil",Murg,river,47.2523,7.8262,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2473,"Diepoldsau, Rietbrücke",Rhein,river,47.3831,9.6409,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2474,Buseno,Calancasca,river,46.2836,9.1182,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2475,"Bignasco, Ponte nuovo",Maggia,river,46.3383,8.6081,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2477,"Zug, Letzi",Lorze,river,47.1807,8.502,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2478,"Soyhières, Bois du Treuil",Birse,river,47.3924,7.396,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2480,Boudry,Areuse,river,46.949,6.839,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2481,"Buochs, Flugplatz",Engelberger Aa,river,46.9728,8.4053,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2484,"Lauerz, Chlostermatt",Lauerzersee,lake,47.031,8.5966,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2485,"Boncourt, Frontière",Allaine,river,47.5008,7.0117,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2486,"Vevey, Coppet",Veveyse,river,46.4689,6.8485,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2487,"Werthenstein, Chappelboden",Kleine Emme,river,47.0349,8.0684,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2488,Latterbach,Simme,river,46.6617,7.5782,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2490,"Dardagny, Les Granges",Allondon,river,46.2174,5.9985,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2491,"Bürglen, Galgenwäldli",Schächen,river,46.8709,8.6517,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2492,"Buerglen, EW Altdorf",Dorfbachableitung,river,46.8758,8.6592,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2493,"Gland, Route Suisse",Promenthouse,river,46.406,6.2693,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2494,"Pollegio, Campagna",Ticino,river,46.3593,8.9475,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2497,Nebikon,Luthern,river,47.1904,7.9738,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2498,Castrisch,Glenner,river,46.7735,9.2106,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2499,Muotathal,Schlichenden Brünnen,river,46.9731,8.7843,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2500,Ittigen,Worble,river,46.9732,7.4781,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2602,Domat/Ems,Rhein,river,46.8377,9.4561,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2603,Langnau,Ilfis,river,46.9379,7.7974,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2604,Biberbrugg,Biber,river,47.1533,8.7209,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2605,"Lavertezzo, Campiöi",Verzasca,river,46.249,8.8446,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2606,"Genève, Halle de l'Île",Rhône,river,46.2047,6.1415,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2607,Oberwald,Goneri,river,46.532,8.3578,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2608,Neuenkirch,Sellenbodenbach,river,47.113,8.2098,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2609,Einsiedeln,Alp,river,47.1508,8.7393,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2610,Vicques,Scheulte,river,47.3482,7.4318,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2612,Lavertezzo,Riale di Pincascia,river,46.2583,8.8401,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2613,"Weil, Palmrainbrücke",Rhein,river,47.6014,7.5947,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2615,Basel LHG,Rhein,river,47.5617,7.5867,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2617,Müstair,Rom,river,46.6296,10.4532,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2620,Soglio,Mera,river,46.3332,9.5268,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2623,Oberwald,Rhône,river,46.5344,8.3494,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2629,Agno,Vedeggio,river,46.003,8.9117,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2630,Sion,Sionne,river,46.2305,7.366,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2631,"Hinterrhein, Schiessplatz",Hinterrhein,river,46.5234,9.1813,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2632,Mühlbach. Trennbauwerk Sand,Mühlbach,river,46.8453,9.5373,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2634,Emmen,Kleine Emme,river,47.072,8.2753,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2635,"Einsiedeln, Gross",Grossbach,river,47.1065,8.7655,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2636,"Muotathal, Hölloch",Hölloch,river,46.9764,8.7884,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2639,"Martina, Sclamischot",Inn,river,46.8704,10.4461,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2640,Delémont,Sorne,river,47.3643,7.351,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2642,"Neuchâtel, Nid-du-Crô",Lac de Neuchâtel,lake,46.9965,6.951,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2643,Montlingen,Rhein,river,47.3337,9.5947,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2646,"Emdthal, Heustrich",Kander,river,46.6525,7.6828,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2650,Chur,Untertorer Mühlbach,river,46.8473,9.5356,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
4601,Buch,Biber,river,47.7151,8.7924,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
520,Rämismühle,Töss,river,47.443,8.8148,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
9020,Bellinzona,Ticino,river,46.1938,9.0093,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
9632,Chur,Untertorer Mühlbach,river,46.8473,9.5356,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
A270,Combe des Sarrasins,Doubs,river,47.1955,6.8782,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
C384,Simplonpass,Bisse kalte Wasser,river,46.2459,8.0361,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
