river,site_id,n_correct_instantaneous,correct_begin,correct_end,correct_span_years,quality_code_required,quality_label_required,daily_download_started,error
L'Adour,05223000,0,,,,1,Correcte,False,
L'Adour,05229200,0,,,,1,Correcte,False,
L'Adour,05233000,0,,,,1,Correcte,False,
L'Adour,05236100,0,,,,1,Correcte,False,
L'Aire,03156350,0,,,,1,Correcte,False,
L'Aire,03156580,0,,,,1,Correcte,False,
L'Aire,03156995,0,,,,1,Correcte,False,
L'Aisne,03145290,0,,,,1,Correcte,False,
L'Aisne,03145985,0,,,,1,Correcte,False,
L'Aisne,03149081,0,,,,1,Correcte,False,
L'Aisne,03149630,0,,,,1,Correcte,False,
L'Aisne,03152000,0,,,,1,Correcte,False,
L'Aisne,03156000,0,,,,1,Correcte,False,
L'Ardèche,06114450,0,,,,1,Correcte,False,
L'Ardèche,06115090,0,,,,1,Correcte,False,
L'Ardèche,06115700,0,,,,1,Correcte,False,
L'Ariège,05165850,0,,,,1,Correcte,False,
L'Ariège,05165900,0,,,,1,Correcte,False,
L'Ariège,05170900,0,,,,1,Correcte,False,
L'Ariège,05173400,0,,,,1,Correcte,False,
L'Aube,03014130,0,,,,1,Correcte,False,
L'Aube,03015000,0,,,,1,Correcte,False,
L'Aube,03021000,0,,,,1,Correcte,False,
L'Aude,06175400,0,,,,1,Correcte,False,
L'Aude,06178000,0,,,,1,Correcte,False,
L'Aude,06180900,0,,,,1,Correcte,False,
L'Aveyron,05120000,0,,,,1,Correcte,False,
L'Aveyron,05121000,0,,,,1,Correcte,False,
L'Aveyron,05126000,0,,,,1,Correcte,False,
L'Aveyron,05127000,0,,,,1,Correcte,False,
L'Aveyron,05128000,0,,,,1,Correcte,False,
L'Ill,02002000,0,,,,1,Correcte,False,
L'Ill,02025500,0,,,,1,Correcte,False,
L'Ill,02038000,0,,,,1,Correcte,False,
L'Oise,03129020,0,,,,1,Correcte,False,
L'Oise,03136000,0,,,,1,Correcte,False,
L'Oise,03138000,0,,,,1,Correcte,False,
L'Orne,02085325,0,,,,1,Correcte,False,
L'Orne,02089000,0,,,,1,Correcte,False,
L'Orne,03234650,0,,,,1,Correcte,False,
L'Orne,03237617,0,,,,1,Correcte,False,
La Cure,03033200,0,,,,1,Correcte,False,
La Cure,03033660,0,,,,1,Correcte,False,
La Cure,03034000,0,,,,1,Correcte,False,
La Dordogne,05047000,0,,,,1,Correcte,False,
La Dordogne,05059000,0,,,,1,Correcte,False,
La Dordogne,05061500,0,,,,1,Correcte,False,
La Durance,06150500,0,,,,1,Correcte,False,
La Durance,06151000,0,,,,1,Correcte,False,
La Durance,06152700,0,,,,1,Correcte,False,
La Durance,06159000,0,,,,1,Correcte,False,
La Durance,06166000,0,,,,1,Correcte,False,
La Garonne,05081000,0,,,,1,Correcte,False,
La Garonne,05104000,0,,,,1,Correcte,False,
La Garonne,05117000,0,,,,1,Correcte,False,
La Garonne,05152000,0,,,,1,Correcte,False,
La Garonne,05154250,0,,,,1,Correcte,False,
La Garonne,05154500,0,,,,1,Correcte,False,
La Garonne,05174000,0,,,,1,Correcte,False,
La Garonne,05181000,0,,,,1,Correcte,False,
La Garonne,05181800,0,,,,1,Correcte,False,
La Garonne,05184000,0,,,,1,Correcte,False,
La Marne,03086100,0,,,,1,Correcte,False,
La Marne,03088800,0,,,,1,Correcte,False,
La Marne,03091000,0,,,,1,Correcte,False,
La Marne,03104000,0,,,,1,Correcte,False,
La Marne,03109000,0,,,,1,Correcte,False,
La Marne,03112480,0,,,,1,Correcte,False,
La Meuse,02106500,0,,,,1,Correcte,False,
La Meuse,02109000,0,,,,1,Correcte,False,
La Meuse,02113000,0,,,,1,Correcte,False,
La Meuse,02115000,0,,,,1,Correcte,False,
La Meuse,02124000,0,,,,1,Correcte,False,
La Moselle,02056200,0,,,,1,Correcte,False,
La Moselle,02076800,0,,,,1,Correcte,False,
La Moselle,02094900,0,,,,1,Correcte,False,
La Saône,06000990,0,,,,1,Correcte,False,
La Saône,06001000,0,,,,1,Correcte,False,
La Saône,06011000,0,,,,1,Correcte,False,
La Saône,06017050,0,,,,1,Correcte,False,
La Saône,06053800,0,,,,1,Correcte,False,
La Saône,06059500,0,,,,1,Correcte,False,
