cluster_id,n_stations,max_pairwise_km,site_ids,cap_km,countable_public_daily
uk_ea_s50_001,13,33.64191437478787,"ANGEL1,BARIERA,BREPON,CADOG2,ERITH1,HAMME2,KEWPON,MIN009,PUTNEY,SALMON,SPRING,TOTLK1,TOTLK2",50.0,False
uk_ea_s50_002,5,21.375706159816076,"370cba4c-c28e-4063-aaea-a99575c408b6,6ff82c44-bbf2-4593-8218-76569f550b47,bfc68b5e-abb1-4d68-97cb-f066350d2e01,da031053-d267-49da-857a-b8e28a7205eb,f8ae6b4c-56c4-45a1-b83f-4697843b937f",50.0,False
uk_ea_s50_003,4,20.471988037366167,"553c2147-bb82-4d86-8f0a-00b892d3c314,M04018A,c36a8cef-c677-4f3b-88ff-64dfcccd89b1,fe43947f-a0e9-49fe-9a11-5ef97f102fbd",50.0,False
uk_ea_s50_004,3,27.119348350720898,"001fc3f6-5980-42be-b553-6a09c6b69b69,8b07239d-fb98-4f27-b182-def7799b6c34_2044,8b07239d-fb98-4f27-b182-def7799b6c34_2052",50.0,False
uk_ea_s50_005,3,0.5020023819330026,"GPR177A,ME1011,ME1011A",50.0,False
uk_ea_s50_006,3,32.69321342884238,"a473e348-c00a-46c6-a93b-921f9747f96f,b401b1e3-c946-4a3e-bca3-3427e64eebba,bbaa85be-3a06-4d2b-b5ad-7f1f55b6554d",50.0,False
