site_id,name,river_name,catchment_name,status,latitude,longitude,elevation,water_body_type,river_key,catchment_key,temperature_values_queried,coverage_fields_used_for_eligibility
2009,Porte du Scex,Rhône,Rhonegebiet,Aufgebaut,46.349599019367865,6.888474120957876,,river,rhone,rhonegebiet,False,False
2011,Sion,Rhône,Rhonegebiet,Aufgebaut,46.21909780004372,7.357545000028038,,river,rhone,rhonegebiet,False,False
2016,Brugg,Aare,Aaregebiet,Aufgebaut,47.482477851737606,8.194335161172075,,river,aare,aaregebiet,False,False
2018,Mellingen,Reuss,Reussgebiet,Aufgebaut,47.42100265644967,8.271336579346308,,river,reuss,reussgebiet,False,False
2019,Brienzwiler,Aare,Aaregebiet,Aufgebaut,46.74568778351095,8.092187496929057,,river,aare,aaregebiet,False,False
2020,Bellinzona,Ticino,Tessingebiet,Aufgebaut,46.19425084154378,9.009495389937543,,river,ticino,tessingebiet,False,False
2024,Branson,Rhône,Rhonegebiet,Aufgebaut,46.12563800644462,7.091152059647601,,river,rhone,rhonegebiet,False,False
2029,"Brügg, Aegerten",Aare,Aaregebiet,Aufgebaut,47.122043900796236,7.283365080213258,,river,aare,aaregebiet,False,False
2030,Thun,Aare,Aaregebiet,Aufgebaut,46.764560998486296,7.611890487851701,552.0,river,aare,aaregebiet,False,False
2033,Ilanz,Vorderrhein,Rheingebiet,Aufgebaut,46.775807002808165,9.206365049437865,,river,vorderrhein,rheingebiet,False,False
2034,"Payerne, Caserne d'aviation",Broye,Aaregebiet,Aufgebaut,46.83590505546277,6.9362144894926105,,river,broye,aaregebiet,False,False
2041,"Oberriet, Blatten",Rhein,Rheingebiet,Aufgebaut,47.307043761036795,9.57070942536746,,river,rhein,rheingebiet,False,False
2044,Andelfingen,Thur,Rheingebiet,Aufgebaut,47.596578392770226,8.681847968534042,,river,thur,rheingebiet,False,False
2053,"Martigny, Pont de Rossettan",Drance,Rhonegebiet,Aufgebaut,46.09769695577935,7.062986419958502,,river,drance,rhonegebiet,False,False
2056,Seedorf,Reuss,Reussgebiet,Aufgebaut,46.88411418616537,8.620545315843982,,river,reuss,reussgebiet,False,False
2063,Murgenthal,Aare,Aaregebiet,Aufgebaut,47.26650831716211,7.8305220055524245,,river,aare,aaregebiet,False,False
2067,Martina,Inn,Inngebiet,Aufgebaut,46.88492530742685,10.464872897609922,,river,inn,inngebiet,False,False
2068,Riazzino,Ticino,Tessingebiet,Aufgebaut,46.16339896628482,8.90998925870269,,river,ticino,tessingebiet,False,False
2070,"Emmenmatt, nur Hauptstation",Emme,Aaregebiet,Aufgebaut,46.9544969937421,7.74887551733762,,river,emme,aaregebiet,False,False
2071,Emmenmatt,Ilfiskanal,Aaregebiet,Aufgebaut,46.95358132611647,7.751510745864064,,river,ilfiskanal,aaregebiet,False,False
2078,"Le Prese, stazione principale",Poschiavino,Addagebiet,Aufgebaut,46.295159378848275,10.080097338386357,,river,poschiavino,addagebiet,False,False
2079,Le Prese,Canale industriale,Addagebiet,Aufgebaut,46.295465153483065,10.079722646591515,,river,canale_industriale,addagebiet,False,False
2084,Ingenbohl,Muota,Reussgebiet,Aufgebaut,47.00070675786418,8.599232539256985,,river,muota,reussgebiet,False,False
2085,Hagneck,Aare,Aaregebiet,Aufgebaut,47.0555914218374,7.184279466916117,,river,aare,aaregebiet,False,False
2086,Loderio,Brenno,Tessingebiet,Aufgebaut,46.37653766186483,8.969479200685637,,river,brenno,tessingebiet,False,False
2087,Andermatt,Reuss,Reussgebiet,Aufgebaut,46.64233633300583,8.58965481671379,,river,reuss,reussgebiet,False,False
2091,"Rheinfelden, Messstation",Rhein,Rheingebiet,Aufgebaut,47.56075573062126,7.799883507035898,,river,rhein,rheingebiet,False,False
2099,"Zürich, Unterhard",Limmat,Limmatgebiet,Aufgebaut,47.390585718568495,8.525480417565218,,river,limmat,limmatgebiet,False,False
2102,Sarnen,Sarneraa,Reussgebiet,Aufgebaut,46.89632512991024,8.245223479683075,,river,sarneraa,reussgebiet,False,False
2104,"Weesen, Biäsche",Linth,Limmatgebiet,Aufgebaut,47.13160738584986,9.088585877805683,,river,linth,limmatgebiet,False,False
2105,St. Moritzbad,Inn,Inngebiet,Aufgebaut,46.48455137372621,9.833937630392086,,river,inn,inngebiet,False,False
2106,"Münchenstein, Hofmatt",Birs,Rheingebiet,Aufgebaut,47.51835801350235,7.618796579907712,,river,birs,rheingebiet,False,False
2109,Gsteig,Lütschine,Aaregebiet,Aufgebaut,46.66412971137356,7.8716563266663195,,river,lutschine,aaregebiet,False,False
2110,"Mühlau, Hünenberg",Reuss,Reussgebiet,Aufgebaut,47.22327871634745,8.396124097905668,,river,reuss,reussgebiet,False,False
2112,Appenzell,Sitter,Rheingebiet,Aufgebaut,47.331954666734575,9.410575664610334,,river,sitter,rheingebiet,False,False
2113,"Felsenau, K.W. Klingnau (U.W.)",Aare,Aaregebiet,Aufgebaut,47.594548847152446,8.22495557147766,,river,aare,aaregebiet,False,False
2116,Koblenz,Rhein,Rheingebiet,Aufgebaut,47.60789868676574,8.233798005972309,,river,rhein,rheingebiet,False,False
2117,"Le Châble, Villette",Drance de Bagnes,Rhonegebiet,Aufgebaut,46.08080941590849,7.213220521689125,,river,drance_de_bagnes,rhonegebiet,False,False
2119,Fribourg,Sarine,Aaregebiet,Aufgebaut,46.80383363078476,7.1691373601935,,river,sarine,aaregebiet,False,False
2122,"Moutier, La Charrue",Birse,Rheingebiet,Aufgebaut,47.283959280939825,7.382317450521357,,river,birse,rheingebiet,False,False
2125,Frauenthal,Lorze,Reussgebiet,Aufgebaut,47.21537136780353,8.424961151851505,,river,lorze,reussgebiet,False,False
2126,Wängi,Murg,Rheingebiet,Aufgebaut,47.49640337322751,8.952902191139538,,river,murg,rheingebiet,False,False
2130,Laufenburg,Rhein (Oberwasser),Rheingebiet,Aufgebaut,47.55642197881659,8.050538000092985,,river,rhein_oberwasser,rheingebiet,False,False
2132,Neftenbach,Töss,Rheingebiet,Aufgebaut,47.51865286935144,8.653336151103352,,river,toss,rheingebiet,False,False
2135,"Bern, Schönau",Aare,Aaregebiet,Aufgebaut,46.933056102989326,7.448153230607084,,river,aare,aaregebiet,False,False
2139,St. Margrethen,Rheintaler Binnenkanal,Rheingebiet,Aufgebaut,47.44980908959488,9.655791901965156,,river,rheintaler_binnenkanal,rheingebiet,False,False
2141,Tiefencastel,Albula,Rheingebiet,Aufgebaut,46.66252370320717,9.574131317610211,,river,albula,rheingebiet,False,False
2143,Rekingen,Rhein,Rheingebiet,Aufgebaut,47.57038032029034,8.329630134727244,,river,rhein,rheingebiet,False,False
2150,Felsenbach,Landquart,Rheingebiet,Aufgebaut,46.9746800621954,9.612369729792693,,river,landquart,rheingebiet,False,False
2151,Oberwil,Simme,Aaregebiet,Aufgebaut,46.655045319363886,7.43943453204555,,river,simme,aaregebiet,False,False
2152,"Luzern, Geissmattbrücke",Reuss,Reussgebiet,Aufgebaut,47.053937090254706,8.298543621770733,,river,reuss,reussgebiet,False,False
2155,"Wiler, Limpachmündung, nur Hauptstation",Emme,Aaregebiet,Aufgebaut,47.16005797346282,7.547135094063571,,river,emme,aaregebiet,False,False
2156,Gerlafingen,Werkkanal,Aaregebiet,Aufgebaut,47.163864648342866,7.5544886919929555,,river,werkkanal,aaregebiet,False,False
2157,Gerlafingen,Strackbach,Aaregebiet,Aufgebaut,47.160485233782,7.560692777667316,,river,strackbach,aaregebiet,False,False
2159,"Belp, Mülimatt",Gürbe,Aaregebiet,Aufgebaut,46.88521183748955,7.50179338354962,,river,gurbe,aaregebiet,False,False
2160,"Broc, Château d'en bas",Sarine,Aaregebiet,Aufgebaut,46.602802106209765,7.093034880061015,,river,sarine,aaregebiet,False,False
2161,Blatten bei Naters,Massa,Rhonegebiet,Aufgebaut,46.38556663104836,8.006634177901201,,river,massa,rhonegebiet,False,False
2167,"Ponte Tresa, Rocchetta",Tresa,Tessingebiet,Aufgebaut,45.97197721206199,8.852414539576104,,river,tresa,tessingebiet,False,False
2170,"Genève, Bout du Monde",Arve,Rhonegebiet,Aufgebaut,46.180309334272394,6.159263879101019,,river,arve,rhonegebiet,False,False
2174,"Chancy, Aux Ripes",Rhône,Rhonegebiet,Aufgebaut,46.15292951323024,5.9707834631961845,,river,rhone,rhonegebiet,False,False
2176,"Zürich, Sihlhölzli",Sihl,Limmatgebiet,Aufgebaut,47.36774168396804,8.526060651340458,,river,sihl,limmatgebiet,False,False
2179,"Thörishaus, Sensematt",Sense,Aaregebiet,Aufgebaut,46.88845991664371,7.351235755075018,,river,sense,aaregebiet,False,False
2181,Halden,Thur,Rheingebiet,Aufgebaut,47.505838053187446,9.211525462499583,,river,thur,rheingebiet,False,False
2185,"Chur, nur Hauptstation",Plessur,Rheingebiet,Aufgebaut,46.860286299079554,9.509737147819695,,river,plessur,rheingebiet,False,False
2187,Salez,Werdenberger Binnenkanal,Rheingebiet,Aufgebaut,47.238425042732324,9.509641462673088,,river,werdenberger_binnenkanal,rheingebiet,False,False
2199,Basel,Wiese,Rheingebiet,Aufgebaut,47.57788539455776,7.5955650317524395,,river,wiese,rheingebiet,False,False
2200,Zweilütschinen,Weisse Lütschine,Aaregebiet,Aufgebaut,46.631239529749024,7.899717172861581,,river,weisse_lutschine,aaregebiet,False,False
2202,Liestal,Ergolz,Rheingebiet,Aufgebaut,47.48809996971374,7.734200449988431,,river,ergolz,rheingebiet,False,False
2203,Aigle,Grande Eau,Rhonegebiet,Aufgebaut,46.3191591017234,6.9707612869505695,,river,grande_eau,rhonegebiet,False,False
2205,"Untersiggenthal, Stilli",Aare,Aaregebiet,Aufgebaut,47.51593590661833,8.23474618375009,,river,aare,aaregebiet,False,False
2206,Melera (Valle Morobbia),Melera,Tessingebiet,Aufgebaut,46.1715388517507,9.082971466662764,,river,melera,tessingebiet,False,False
2210,Ocourt,Doubs,Rhonegebiet,Aufgebaut,47.35039802861948,7.0754014598460335,421.0,river,doubs,rhonegebiet,False,False
2215,Laupen,Saane,Aaregebiet,Aufgebaut,46.909251308350406,7.2345777946382475,,river,saane,aaregebiet,False,False
2217,"Chancy, Vers Vaux",Rhône,Rhonegebiet,Aufgehoben,46.13209137792024,5.956294597867561,,river,rhone,rhonegebiet,False,False
2219,Oberried / Lenk,Simme,Aaregebiet,Aufgebaut,46.425931482197626,7.474415999759855,,river,simme,aaregebiet,False,False
2232,Adelboden,Allenbach,Aaregebiet,Aufgebaut,46.485882066369015,7.551851939492518,,river,allenbach,aaregebiet,False,False
2239,Punt dal Gall,Spöl,Inngebiet,Aufgehoben,46.62844909564055,10.194699546472428,,river,spol,inngebiet,False,False
2243,"Baden, Limmatpromenade",Limmat,Limmatgebiet,Aufgebaut,47.47565131399648,8.309536987059705,,river,limmat,limmatgebiet,False,False
2244,Klusmatten,Krummbach,Tessingebiet,Aufgebaut,46.224775055595806,8.015457003949349,,river,krummbach,tessingebiet,False,False
2247,Sortie du lac des Brenets,Doubs,Rhonegebiet,Aufgebaut,47.08253782099265,6.708473281168471,,river,doubs,rhonegebiet,False,False
2251,"Plaffeien, Schwyberg",Rotenbach,Aaregebiet,Aufgebaut,46.68636607717297,7.2815939378923344,,river,rotenbach,aaregebiet,False,False
