cluster_id,n_stations,max_pairwise_km,site_ids,cap_km,countable_public_daily
uk_ea_s100_011,71,62.299566786886274,"E00496A,E01107A,E01148A,E01235A,E01241A,E01260A,E01261A,E01262A,E01263A,E01804A,E02042A,E02045A,E02061A,E02103A,E02104A,E02107A,E02263A,E02281A,E02803A,E03005A,E03042A,E03068A,E03107A,E03108A,E03150A,E03258A,E04244A,E04660A,E05039A,E05090A,E06063A,E06136A,E06230A,E06428A,E07043A,E07101A,E07222A,E08043A,E08069A,E08156A,E08569A,E09077A,E10033A,E10063A,E11031A,E12040A,E12132A,E12161A,E12216A,E13108A,E13136A,E14050A,E14076A,E14115A,E15080A,E15113A,E16010A,E16015A,E20048A,E21044A,E23058A,E24012A,EN0099A,EN0100A,EN0101A,EP0124A,EP0130A,EP0137A,GPRSA9A,GSML37,P01018A",100.0,False
uk_ea_s100_012,66,86.2455085581891,"01e18338-4de1-4617-b1b0-a09c53464961,553c2147-bb82-4d86-8f0a-00b892d3c314,E00469A,E01330A,E01368A,E01609A,E01611A,E01623A,E02056A,E02159A,E02563A,E02568A,E02618A,E02696A,E02703A,E03153A,E03242A,E03273A,E03386A,E03494A,E03517A,E03614A,E03668A,E04115A,E04241A,E04253A,E04386A,E04409A,E04517A,E04567A,E04596A,E04646A,E04678A,E05138A,E05211A,E05282A,E05491A,E06008A,E06033A,E06036A,E06220A,E06235A,E06239A,E06303A,E06567A,E07149A,E08034A,E09042A,E09390A,E09480A,E11066A,E11136A,E12071A,E14121A,E15085A,E16085A,E19044A,E21217A,E34999A,E35999A,E36999A,EP0108A,M04018A,a473e348-c00a-46c6-a93b-921f9747f96f,c36a8cef-c677-4f3b-88ff-64dfcccd89b1,fe43947f-a0e9-49fe-9a11-5ef97f102fbd",100.0,False
uk_ea_s100_013,62,75.33406470312342,"E01018A,E01113A,E01115A,E01135A,E01211A,E01305A,E01355A,E01428A,E02001A,E02004A,E02006A,E02024A,E02046A,E02048A,E02087A,E02113A,E02231A,E02360A,E02428A,E02529A,E03054A,E03060A,E03079A,E03084A,E03255A,E03461A,E04015A,E04077A,E04088A,E04089A,E04101A,E04461A,E05025A,E05037A,E05102A,E05142A,E05202A,E05363A,E05635A,E06031A,E06141A,E06226A,E07031A,E07049A,E07228A,E07248A,E11061A,E11145A,E13031A,E15009A,E16036A,E18030A,EN0071A,EN0090A,EP0109A,EP0114A,EP0118A,EP0129A,EP0134A,GPRSC1A,GPRSC2A,GPRSC3A",100.0,False
uk_ea_s100_014,62,73.2820080020855,"E01165A,E01205A,E01362A,E01723A,E01800A,E02254A,E02262A,E02705A,E02770A,E03047A,E03209A,E03610A,E03782A,E03785A,E04050A,E04070A,E04111A,E04126A,E04145A,E04268A,E04274A,E04303A,E05100A,E05147A,E05301A,E05355A,E05581A,E05962A,E06078A,E06118A,E06349A,E06366A,E06651A,E07088A,E07102A,E07281A,E07386A,E07691A,E08602A,E09090A,E09333A,E10068A,E10121A,E10154A,E11037A,E11113A,E12016A,E12121A,E13058A,E13065A,E13071A,E13082A,E13090A,E13148A,E14035A,E14060A,E17021A,E18076A,E19217A,E20217A,E21010A,E29998A",100.0,False
uk_ea_s100_015,59,69.64127380338795,"E00310A,E01013A,E01052A,E01227A,E01318A,E01523A,E01608A,E01635A,E02017A,E02037A,E02050A,E02141A,E02797A,E03096A,E03109A,E03662A,E04024A,E04033A,E04043A,E04078A,E04080A,E04107A,E04150A,E04258A,E04798A,E05040A,E05383A,E05733A,E06010A,E06011A,E06048A,E06130A,E06208A,E06222A,E06259A,E07050A,E07084A,E08004A,E08057A,E08343A,E09035A,E09145A,E09230A,E10145A,E11026A,E11119A,E12009A,E12026A,E12217A,E13051A,E14080A,E14107A,E15065A,E15076A,E15089A,E21035A,E25058A,E25090A,EN0063A",100.0,False
uk_ea_s100_016,59,68.0211437169184,"E00330A,E00515A,E00523A,E00524A,E01515A,E01524A,E01568A,E01761A,E01765A,E01773A,E01788A,E02386A,E02524A,E02600A,E02763A,E02788A,E03151A,E03228A,E03366A,E03685A,E03686A,E03731A,E04263A,E04370A,E04378A,E04390A,E04471A,E04612A,E04612B,E05274A,E05377A,E05467A,E05570A,E05685A,E06053A,E06257A,E06441A,E07313A,E07367A,E07602A,E07602B,E08687A,E09070A,E10096A,E10116A,E10163A,E10217A,E11028A,E13023A,E15019A,E16044A,E17044A,E17121A,E17132A,E22085A,E23044A,E26058A,P01020A,P01024A",100.0,False
uk_ea_s100_017,59,86.33357719062046,"E01029A,E01033A,E01047A,E01058A,E01075A,E01101A,E01112A,E01393A,E01459A,E01491A,E01497A,E02015A,E02018A,E02039A,E02047A,E02066A,E02101A,E02222A,E02226A,E02489A,E02496A,E03019A,E03024A,E03037A,E03040A,E03048A,E03085A,E03148A,E03573A,E03789A,E04051A,E05042A,E05120A,E06070A,E06106A,E06962A,E07035A,E07051A,E07113A,E10012A,E10090A,E11035A,E11140A,E13217A,E16073A,E20058A,E21085A,E29037A,EN0008A,EN0024A,EN0030A,EN0040A,EN0053A,EN0058A,EN0067A,EN0078A,EN0083A,EP0115A,GPRSB9A",100.0,False
uk_ea_s100_018,53,74.63148630661134,"E01103A,E01108A,E01131A,E01140A,E01166A,E01245A,E01306A,E01612A,E02081A,E02111A,E02276A,E02368A,E03339A,E03636A,E03658A,E04063A,E04117A,E04269A,E04363A,E05101A,E05107A,E05141A,E05362A,E05605A,E06006A,E06037A,E06094A,E06202A,E06329A,E06588A,E07085A,E07230A,E08020A,E08067A,E08076A,E08152A,E10008A,E10057A,E10993A,E11062A,E11073A,E11115A,E12008A,E13121A,E14001A,E14205A,E16056A,E19123A,E20057A,E31058A,E44999A,GPRS90A,GSML15",100.0,False
uk_ea_s100_019,50,48.90545069933544,"E00349A,E01573A,E01586A,E01614A,E01683A,E01687A,E01806A,E02269A,E02570A,E02691A,E03605A,E03651A,E03691A,E03700A,E04149A,E04240A,E04497A,E04691A,E05280A,E05343A,E05366A,E05497A,E05603A,E05691A,E05705A,E06103A,E07217A,E07263A,E07266A,E07527A,E08036A,E08266A,E08270A,E08368A,E08559A,E09053A,E09270A,E10118A,E11078A,E12063A,E12104A,E12140A,E12232A,E15030A,E15132A,E15217A,E16058A,E16102A,E17080A,E17123A",100.0,False
uk_ea_s100_020,50,65.56748022425646,"E00494A,E01055A,E01081A,E01092A,E01116A,E01122A,E01835A,E02062A,E02071A,E02074A,E02275A,E02280A,E03073A,E03104A,E04233A,E04242A,E04765A,E05076A,E05085A,E05113A,E05166A,E05588A,E06017A,E06044A,E06134A,E06137A,E07013A,E07026A,E07637A,E08021A,E08079A,E08274A,E08275A,E09026A,E09030A,E09067A,E10061A,E10067A,E11156A,E12039A,E14043A,E14095A,E15035A,E17160A,E20015A,E21160A,E36998A,EN0080A,EP0159A,M18900",100.0,False
