Locatie_MessageID,Code,Coordinatenstelsel,Lat,Lon,Naam,Omschrijving
6741,denoever.zuiderhaven.strand,ETRS89,52.931638,5.039899,"Den Oever, zuiderhaven, Strand","Den Oever, zuiderhaven, Strand"
11599,denosse,ETRS89,51.745636,3.889908,Den Osse,Den Osse
8909,denossebadstrand,ETRS89,51.74417,3.887785,Den Osse badstrand,Den Osse badstrand
5669,deoudepol,ETRS89,52.39283,5.727666,De oude Pol,De oude Pol
16473,depiet,ETRS89,51.52142,3.691946,De Piet,De Piet
18026,depiet.badstrand,ETRS89,51.530635,3.72634,"De Piet, badstrand","De Piet, badstrand"
5467,deral,ETRS89,52.407309,5.701693,De Ral,De Ral
12203,deven,ETRS89,52.741116,5.2954,De Ven,De Ven
314,deweed,ETRS89,52.676387,5.268921,De Weed,De Weed
6457,dezwaan,ETRS89,52.564698,5.833146,De Zwaan,De Zwaan
10833,diemen,ETRS89,52.349384,4.983599,Diemen,Diemen
11141,diemen.muidenbrug,ETRS89,52.333141,5.015217,Diemen Muiden brug,Diemen Muiden brug
13446,dinteloord.volkerak,ETRS89,51.65291,4.316483,"Dinteloord, Volkerak","Dinteloord, Volkerak"
3094,dinteloord.volkerak.voorheenboeinv3,ETRS89,51.652966,4.316622,"Dinteloord, Volkerak, voorheen boei NV3","Dinteloord, Volkerak, voorheen boei NV3"
17639,dodewaard,ETRS89,51.900512,5.630518,Dodewaard,Dodewaard
6058,doekegat,ETRS89,53.466441,6.847737,Doekegat,Doekegat
2626,doesburg,ETRS89,52.012434,6.130079,Doesburg,Doesburg
1583,doesburg.hetzwarteschaar,ETRS89,52.030895,6.159603,"Doesburg, Het Zwarte Schaar",Camping IJsselstrand
13289,domburg.badstrand,ETRS89,51.556787,3.473001,"Domburg, badstrand","Domburg, badstrand"
13829,doovebalg.midden,ETRS89,53.06092,5.207034,"Doove Balg, midden","Doove Balg, midden"
11243,doovebalg.oost,ETRS89,53.084389,5.287214,"Doove Balg, oost","Doove Balg, oost"
8975,doovebalg.west,ETRS89,53.052903,5.032264,"Doove Balg, west","Doove Balg, west"
17362,dordrecht.dordtschekil,ETRS89,51.787782,4.627158,Dordrecht Dordtsche Kil,Dordrecht Dordtsche Kil
7780,dordrecht.drinkwaterinlaat,ETRS89,51.808578,4.719611,"Dordrecht, drinkwaterinlaat","Dordrecht, drinkwaterinlaat"
17887,dordrecht.oudemaas.benedenmerwede,ETRS89,51.82,4.671,"Dordrecht Oude Maas, Beneden Merwede","Dordrecht Oude Maas, Beneden Merwede"
14049,dreischor,ETRS89,51.71462,3.99933,Dreischor,Dreischor
14934,dreischor.gemaal,ETRS89,51.708362,4.002272,"Dreischor, gemaal","Dreischor, gemaal"
18770,driel.baggergat,ETRS89,51.959428,5.793843,"Driel, baggergat",recreatieplas
3587,driel.beneden,ETRS89,51.962992,5.802606,"Driel, beneden","Driel, beneden"
6383,driel.boven,ETRS89,51.96584,5.810635,"Driel, boven","Driel, boven"
12380,dronten,ETRS89,52.542076,5.718131,Dronten,Dronten
10723,dronten.elburgerweg,ETRS89,52.50868,5.765752,"Dronten, Elburgerweg",Hoge Vaart
7298,drontermeerdijk.km0p4,ETRS89,52.541179,5.856154,"Drontermeerdijk, kilometer 0.4","Drontermeerdijk, kilometer 0.4"
12941,dukenburg,ETRS89,51.817572,5.811779,Dukenburg,Dukenburg
9987,durgerdam,ETRS89,52.371724,5.012617,Durgerdam,Durgerdam
3939,echt.kanaal,ETRS89,51.106626,5.849302,Echt,JK 29.59
7560,edam,ETRS89,52.516051,5.06988,Edam,Edam
17655,edam.badstrand,ETRS89,52.51937,5.071123,"Edam, badstrand","Edam, badstrand"
5479,eefde.sluis.beneden,ETRS89,52.159061,6.22836,"Eefde, sluis, beneden","Eefde, sluis, beneden"
3811,eefde.sluis.boven,ETRS89,52.161,6.238,"Eefde, sluis, boven","Eefde, sluis, boven"
17731,eekt,ETRS89,52.481745,5.837828,Eekt,Eekt
16222,eemmeerdijk.km23,ETRS89,52.278751,5.355114,"Eemmeerdijk, kilometer 23","Eemmeerdijk, kilometer 23"
18693,eemscentrale,ETRS89,53.443263,6.883823,Eemscentrale,Eemscentrale
1481,eemshaven.haven,ETRS89,53.448702,6.828392,"Eemshaven, haven","Eemshaven, haven"
16991,eemshaven.waddenzee,ETRS89,53.474392,6.821731,"Eemshaven, Waddenzee",stroommeetpaal
279,egmondaanzee.10kmuitdekust,ETRS89,52.635626,4.47303,"Egmond aan Zee,  10 km uit de kust","Egmond aan Zee,  10 km uit de kust"
7858,egmondaanzee.1kmuitdekust,ETRS89,52.620063,4.607176,"Egmond aan Zee,  1 km uit de kust","Egmond aan Zee,  1 km uit de kust"
1556,egmondaanzee.20kmuitdekust,ETRS89,52.640914,4.328729,"Egmond aan Zee,  20 km uit de kust","Egmond aan Zee,  20 km uit de kust"
18489,egmondaanzee.2kmuitdekust,ETRS89,52.622291,4.594687,"Egmond aan Zee,  2 km uit de kust","Egmond aan Zee,  2 km uit de kust"
14468,egmondaanzee.30kmuitdekust,ETRS89,52.667289,4.179745,"Egmond aan Zee,  30 km uit de kust","Egmond aan Zee,  30 km uit de kust"
1164,egmondaanzee.4kmuitdekust,ETRS89,52.625624,4.568027,"Egmond aan Zee,  4 km uit de kust","Egmond aan Zee,  4 km uit de kust"
2819,egmondaanzee.50kmuitdekust,ETRS89,52.695616,3.886461,"Egmond aan Zee,  50 km uit de kust","Egmond aan Zee,  50 km uit de kust"
5014,egmondaanzee.70kmuitdekust,ETRS89,52.728112,3.593174,"Egmond aan Zee,  70 km uit de kust","Egmond aan Zee,  70 km uit de kust"
17387,egmondaanzee.badstrand,ETRS89,52.618502,4.617141,"Egmond aan Zee, badstrand","Egmond aan Zee, badstrand"
16670,eierlandsegat,ETRS89,53.2762,4.660347,Eierlandse Gat,Eierlandse Gat
15467,eijsden,ETRS89,50.7795,5.6987,Eijsden,Eijsden
5624,elburg.elburgerbrug,ETRS89,52.457466,5.817102,Elburg Elburgerbrug,Elburg Elburgerbrug
6817,elburg.spijkstrand,ETRS89,52.455967,5.811525,"Elburg, Spijkstrand","Elburg, Spijkstrand"
16897,emden.vaarwater,ETRS89,53.330825,7.108718,"Emden, vaarwater","Emden, vaarwater"
13208,emshornplate,ETRS89,53.459425,6.941604,Emshornplate,Emshornplate
4344,enkhuizen,ETRS89,52.699145,5.293268,Enkhuizen,Enkhuizen
13271,enkhuizen.strand,ETRS89,52.712292,5.292279,"Enkhuizen, strand","Enkhuizen, strand"
12831,enkhuizerzand,ETRS89,52.692834,5.416226,Enkhuizerzand,Enkhuizerzand
17719,enschede,ETRS89,52.23214,6.841541,Enschede,Enschede
11704,enschedevitens,ETRS89,52.236994,6.833485,Enschede Vitens,Enschede Vitens
17304,erkemederstrand,ETRS89,52.266946,5.489192,Erkemederstrand,Erkemederstrand
9192,ermelo,ETRS89,52.290938,5.542863,Ermelo,Ermelo
7748,europlatform,ETRS89,51.99781,3.275071,Europlatform,Europlatform
4267,europoort.harmsenbrug,ETRS89,51.901771,4.210879,"Europoort, Harmsenbrug","Europoort, Harmsenbrug"
1165,europoort.hartelkering,ETRS89,51.864941,4.307118,"Europoort, Hartelkering","Europoort, Hartelkering"
8205,flevocentrale,ETRS89,52.580206,5.522936,Flevocentrale,Flevocentrale
2827,fortcrevecoeur,ETRS89,51.733567,5.269946,Fort Crevecoeur,monding van de Dieze
11669,friesekust.ijsselmeer,ETRS89,52.822278,5.478778,Friesekust IJsselmeer,Friesekust IJsselmeer
9197,gaatjebocht.noord,ETRS89,53.327952,7.022947,"Gaatje Bocht, noord","Gaatje Bocht, noord"
343,gaatjebocht.noordwest,ETRS89,53.322732,7.014944,"Gaatje Bocht, noordwest","Gaatje Bocht, noordwest"
11040,gaatjebocht.west,ETRS89,53.319336,7.015491,"Gaatje Bocht, west","Gaatje Bocht, west"
7616,gammels,ETRS89,52.876619,5.152524,Gammels,Gammels
16491,gatvandekerksloot,ETRS89,51.727233,4.786527,Gat van de Kerksloot,Gat van de Kerksloot
10766,gatvandekerksloot.badstrand,ETRS89,51.724368,4.771368,"Gat van de Kerksloot, badstrand","Gat van de Kerksloot, badstrand"
12773,gatvandevloeien.badstrand,ETRS89,51.732889,4.785293,"Gat van de Vloeien, badstrand","Gat van de Vloeien, badstrand"
6962,gatvanschiermonnikoog,ETRS89,53.442927,6.126113,Gat van Schiermonnikoog,Gat van Schiermonnikoog
6917,geersdijk,ETRS89,51.553344,3.762139,Geersdijk,Geersdijk
10294,geertruidenbergamercentrale,ETRS89,51.715496,4.849919,Geertruidenberg Amercentrale,Geertruidenberg Amercentrale
17398,gelresend.noordzijde,ETRS89,51.73985,5.261243,"Gelre's End, noordzIJde","Gelre's End, noordzIJde"
93,genemuiden.veer,ETRS89,52.629275,6.038557,"Genemuiden, veer","Genemuiden, veer"
2597,gennep,ETRS89,51.697,5.9574,Gennep,Gennep
2616,glimmen.depunt,ETRS89,53.131292,6.619242,"Glimmen, De Punt",Drentse Aa
14591,goedereede,ETRS89,51.840963,3.965108,Goedereede,Goedereede
13662,goeree10kmuitdekust,ETRS89,51.894884,3.828948,Goeree 10 km uit de kust,Goeree 10 km uit de kust
13581,goeree20kmuitdekust,ETRS89,51.953368,3.720361,Goeree 20 km uit de kust,Goeree 20 km uit de kust
18552,goeree2kmuitdekust,ETRS89,51.846089,3.915502,Goeree 2 km uit de kust,Goeree 2 km uit de kust
12324,goeree30kmuitdekust,ETRS89,52.014308,3.612317,Goeree 30 km uit de kust,Goeree 30 km uit de kust
1348,goeree50kmuitdekust,ETRS89,52.135037,3.396881,Goeree 50 km uit de kust,Goeree 50 km uit de kust
12815,goeree6kmuitdekust,ETRS89,51.868923,3.872311,Goeree 6 km uit de kust,Goeree 6 km uit de kust
8377,goeree70kmuitdekust,ETRS89,52.251431,3.181178,Goeree 70 km uit de kust,Goeree 70 km uit de kust
4352,goeree.lichteiland,ETRS89,51.925034,3.668416,"Goeree, lichteiland","Goeree, lichteiland"
10886,goidschalxoord.oudemaas.meetboeiom1,ETRS89,51.830749,4.455269,"Goidschalxoord, Oude Maas, meetboei OM1",km 993.560
8371,gooierhoofdzomerkade,ETRS89,52.30578,5.25548,Gooierhoofd zomerkade,Gooierhoofd zomerkade
593,gooimeer.midden,ETRS89,52.322875,5.196802,"Gooimeer, midden","Gooimeer, midden"
18513,gooiseweg,ETRS89,52.410234,5.598836,Gooiseweg,Hoge Vaart
5178,gorinchem,ETRS89,51.826922,4.97552,Gorinchem,Gorinchem
17181,gorinchembinnen,ETRS89,51.836716,4.974415,Gorinchem binnen,Gorinchem binnen
6430,gorishoek,ETRS89,51.524986,4.081504,Gorishoek,Gorishoek
12177,gouda.voorhaven,ETRS89,51.996723,4.691184,"Gouda, voorhaven","Gouda, voorhaven"
4685,goudenham,ETRS89,51.836883,5.546804,Gouden Ham,recreatieplas
12458,goudenham.hanzebad,ETRS89,51.827532,5.548947,"Gouden Ham, hanzebad",recreatieplas
7888,goudenham.instroming,ETRS89,51.821876,5.544575,"Gouden Ham, instroming",recreatieplas
2203,goudenham.maaslanden,ETRS89,51.829945,5.558747,"Gouden Ham, Maaslanden",recreatieplas
1286,goudenham.molenstrand,ETRS89,51.838168,5.547011,"Gouden Ham, Molenstrand","Gouden Ham, Molenstrand"
5977,gouderak,ETRS89,51.985555,4.672432,Gouderak,Gouderak
8025,goudswaard.spui,ETRS89,51.782319,4.236792,"Goudswaard, Spui","Goudswaard, Spui"
10021,grave.beneden,ETRS89,51.775,5.72,"Grave, beneden",sluis
16779,grave.boven,ETRS89,51.761,5.743,"Grave, boven",sluis
6797,gravenbol,ETRS89,51.971816,5.385602,Gravenbol,Gravenbol
1157,grevelingendam.badstrand,ETRS89,51.679557,4.117824,"Grevelingendam, badstrand","Grevelingendam, badstrand"
18307,grevelingendam.plaatvanoudetonge.badstrand,ETRS89,51.676206,4.140619,"Grevelingendam, Plaat van Oude Tonge, badstrand","Grevelingendam, Plaat van Oude Tonge, badstrand"
6541,grevelingenmeer.hals,ETRS89,51.756406,4.013255,"Grevelingen Meer, Hals","Grevelingen Meer, Hals"
6690,groenendijk,ETRS89,51.673353,4.915909,Groenendijk,Donge
13447,groningerwad,ETRS89,53.450767,6.406221,Groninger Wad,Groninger Wad
11718,grootammers.veerstoep.badstrand,ETRS89,51.917449,4.786617,"Groot Ammers, Veerstoep, badstrand","Groot Ammers, Veerstoep, badstrand"
17353,grootegat.noord,ETRS89,53.304291,7.15666,"Groote Gat, noord","Groote Gat, noord"
15873,grootegat.zuid,ETRS89,53.277784,7.163639,"Groote Gat, zuid","Groote Gat, zuid"
10593,grootekeeten,ETRS89,52.864543,4.701166,Groote Keeten,Groote Keeten
17460,grotevlak,ETRS89,53.025892,4.708013,Grote Vlak,Grote Vlak
5595,hagestein,ETRS89,51.990866,5.132711,Hagestein,Hagestein
8030,hagestein.beneden,ETRS89,51.993,5.1315,"Hagestein, beneden","Hagestein, beneden"
13806,hagestein.boven,ETRS89,51.9895,5.1352,"Hagestein, boven","Hagestein, boven"
1406,hammen.boeih16.plompetoren,ETRS89,51.677231,3.775405,"Hammen, boei H16, Plompetoren","Hammen, boei H16, Plompetoren"
17879,hammen.boeih2,ETRS89,51.654389,3.855132,"Hammen, boei H2","Hammen, boei H2"
15868,hammen.boeih9.gemaal,ETRS89,51.675345,3.859339,"Hammen, boei H9, Gemaal","Hammen, boei H9, Gemaal"
4912,hammen.oost,ETRS89,51.6602,3.852695,"Hammen, oost","Hammen, oost"
14633,hammen.west,ETRS89,51.672004,3.754988,"Hammen, west","Hammen, west"
5850,hank,ETRS89,51.717219,4.849319,Hank,Hank
