site_id,name,latitude,longitude,huc,site_type,found
02458450,"VILLAGE CREEK AT AVENUE W AT ENSLEY, AL",33.5176481,-86.87915889,3160111,Stream,True
02458502,"VILLAGE CREEK NEAR PRATT CITY, ALABAMA",33.5239948,-86.8911032,3160111,Stream,True
02469100,TOMBIGBEE RIVER AT PENNINGTON AL,32.2376437,-88.0083498,3160201,Stream,True
12355000,Flathead River at Flathead British Columbia,49.001242,-114.475664,nan,Stream,True
15015595,UNUK R BL BLUE R NR WRANGELL AK,56.240556,-130.880278,190101050403.0,Stream,True
15056030,KAKUHAN C NR HAINES AK,59.00514251,-135.18580253,190103010712.0,Stream,True
15056210,TAIYA R NR SKAGWAY AK,59.511944,-135.344444,190103030104.0,Stream,True
15057596,SALMON R AT GUSTAVUS AK,58.445,-135.74,190103021404.0,Stream,True
15068040,LEASK CREEK AT SHELTER COVE NR KETCHIKAN AK,55.5193045,-131.524399,19010102.0,Stream,True
15081495,NF STANEY C NR KLAWOCK AK,55.7324084,-132.9688959,19010103.0,Stream,True
15081497,STANEY C NR KLAWOCK AK,55.8012313,-133.1102972,19010103.0,Stream,True
15083500,PERKINS C NR METLAKATLA AK,54.9463249,-132.1724762,19010103.0,Stream,True
15085100,OLD TOM C NR KASAAN AK,55.3951944,-132.4086268,19010103.0,Stream,True
15086225,HATCHERY C AT FOREST SVC RD 23 NR COFFMAN COVE AK,55.9086111,-132.9308333,19010103.0,Stream,True
15087570,HAMILTON C NR KAKE AK,56.87216067,-133.6767336,19010210.0,Stream,True
15087700,INDIAN R AT SITKA AK,57.05316268,-135.3162609,19010212.0,Stream,True
15106980,TONALITE C NR TENAKEE AK,57.6779902,-135.2231705,19010211.0,Stream,True
15129500,SITUK R NR YAKUTAT AK,59.58622987,-139.49437433,190104051806.0,Stream,True
15200280,GULKANA R AT SOURDOUGH AK,62.520833,-145.530833,190201020609.0,Stream,True
15215900,GLACIER R TRIB NR CORDOVA AK,60.533333,-145.378611,190201041503.0,Stream,True
15236900,WOLVERINE C NR LAWING AK,60.370556,-148.896667,190202012203.0,Stream,True
15238986,BATTLE C 1.0 MI AB MOUTH NR HOMER AK,59.762333,-150.953056,190203011103.0,Stream,True
15239070,BRADLEY R NR TIDEWATER NR HOMER AK,59.80105909,-150.884922,19020301.0,Stream,True
15239900,ANCHOR R NR ANCHOR POINT AK,59.7465994,-151.7552127,19020301.0,Stream,True
15258000,KENAI R AT COOPER LANDING AK,60.49220087,-149.8099463,19020302.0,Stream,True
15260001,COOPER C AT SIPHON OUTLET NR COOPER LANDING AK,60.43441667,-149.8245278,19020302.0,Stream,True
15261000,COOPER C AT MOUTH NR COOPER LANDING AK,60.4799772,-149.8827247,19020302.0,Stream,True
15266300,KENAI R AT SOLDOTNA AK,60.4775,-151.079444,190203021806.0,Stream,True
15272380,TWENTYMILE R BL GLACIER R NR PORTAGE AK,60.8974833,-148.9241074,19020302.0,Stream,True
15276000,SHIP C NR ANCHORAGE AK,61.225556,-149.635,190204010404.0,Stream,True
15283700,MOOSE C NR PALMER AK,61.68438889,-149.0524167,19020402.0,Stream,True
15284000,MATANUSKA R AT PALMER AK,61.60862507,-149.0730639,19020402.0,Stream,True
15290000,L SUSITNA R NR PALMER AK,61.7097358,-149.2319635,19020505.0,Stream,True
15292400,CHULITNA R NR TALKEETNA AK,62.558611,-150.233889,190205021002.0,Stream,True
15292700,TALKEETNA R NR TALKEETNA AK,62.3464039,-150.01925,19020503.0,Stream,True
15294005,WILLOW C NR WILLOW AK,61.780833,-149.884444,190205050605.0,Stream,True
15294350,SUSITNA R AT SUSITNA STATION AK,61.5441796,-150.5147329,19020505.0,Stream,True
15295700,TERROR R AT MOUTH NR KODIAK AK,57.69404358,-153.1637244,19020701.0,Stream,True
15297475,RED CLOUD R TR NR KODIAK AK,57.81599849,-152.6242779,19020701.0,Stream,True
15297610,RUSSELL C NR COLD BAY AK,55.17691508,-162.6895463,19030101.0,Stream,True
15300100,BEAR C NR ILIAMNA AK,59.8237617,-154.8844049,19030205.0,Stream,True
15300250,UPPER TALARIK C NR ILIAMNA AK,59.7859761,-155.2552406,19030206.0,Stream,True
15300300,ILIAMNA R NR PEDRO BAY AK,59.7579499,-153.8468866,19030206.0,Stream,True
15302000,NUYAKUK R NR DILLINGHAM AK,59.93482769,-158.1900527,19030301.0,Stream,True
15302200,KOKTULI R NR ILIAMNA AK,59.7926376,-155.5246895,19030302.0,Stream,True
