site_id,file_name,file_number,metadata_start_year,metadata_end_year,temporal_resolution,station_name,river_name,catchment_area_km2
214395,WT-Monatsmittel-214395.csv,8,2014,2023,monthly_mean,Petersbaumgarten,Pitten,"271,1"
208900,WT-Monatsmittel-208900.csv,2,1976,2023,monthly_mean,Bad Fischau (Thermalbad),Warme Fischa,"1,6"
214031,WT-Monatsmittel-214031.csv,8,2010,2023,monthly_mean,Deutsch Brodersdorf (Messseilbahn),Leitha,"1598,9"
210013,WT-Monatsmittel-210013.csv,8,2008,2023,monthly_mean,Nickelsdorf (Kläranlage),Leitha,"2131,3"
210500,WT-Monatsmittel-210500.csv,8,2005,2023,monthly_mean,Lutzmannsburg (Weingartenbrücke),Rabnitz,"554,8"
210070,WT-Monatsmittel-210070.csv,8,2012,2023,monthly_mean,Walbersdorf,Wulka,"78,1"
210096,WT-Monatsmittel-210096.csv,8,1976,2023,monthly_mean,Schützen am Gebirge,Wulka,"383,7"
210138,WT-Monatsmittel-210138.csv,5,1976,2023,monthly_mean,Breitenbrunn (Seebad),Neusiedler See,1230
210146,WT-Monatsmittel-210146.csv,5,1976,2023,monthly_mean,Neusiedl am See (Seebad),Neusiedler See,1230
210153,WT-Monatsmittel-210153.csv,5,1976,2023,monthly_mean,Podersdorf am See (Badebucht),Neusiedler See,1230
210112,WT-Monatsmittel-210112.csv,5,1976,2023,monthly_mean,Rust (Seebad),Neusiedler See,1230
210179,WT-Monatsmittel-210179.csv,5,1991,2023,monthly_mean,Illmitz (Biologische Station),Neusiedler See,1230
210120,WT-Monatsmittel-210120.csv,5,1976,2023,monthly_mean,Mörbisch am See (Zoll),Neusiedler See,1230
210187,WT-Monatsmittel-210187.csv,5,1998,2023,monthly_mean,Apetlon Staatsgrenzpunkt (A79),Neusiedler See,1230
211698,WT-Monatsmittel-211698.csv,8,2017,2023,monthly_mean,Arzberg (Raab),Raab,"119,1"
210971,WT-Monatsmittel-210971.csv,8,1998,2023,monthly_mean,Takern II,Raab,"498,9"
210989,WT-Monatsmittel-210989.csv,8,1976,2023,monthly_mean,Feldbach,Raab,"689,4"
210468,WT-Monatsmittel-210468.csv,8,2005,2023,monthly_mean,Neumarkt,Raab,"986,5"
210997,WT-Monatsmittel-210997.csv,8,2017,2023,monthly_mean,Rohrbach an der Lafnitz,Lafnitz,"268,5"
211631,WT-Monatsmittel-211631.csv,8,2001,2023,monthly_mean,Pöllau (Saifenbach),Pöllauer Saifen,"57,5"
211011,WT-Monatsmittel-211011.csv,8,2012,2023,monthly_mean,Waltersdorf in Oststeiermark,Safen,"343,4"
211029,WT-Monatsmittel-211029.csv,8,2007,2023,monthly_mean,Anger,Feistritz,408
210401,WT-Monatsmittel-210401.csv,8,2010,2023,monthly_mean,Eltendorf (Hackenwiesen),Lafnitz,"1956,3"
210260,WT-Monatsmittel-210260.csv,8,2005,2023,monthly_mean,Burg,Pinka,"664,1"
210294,WT-Monatsmittel-210294.csv,8,2005,2023,monthly_mean,Heiligenbrunn,Strem,"400,4"
210310,WT-Monatsmittel-210310.csv,8,2009,2023,monthly_mean,Rattersdorf,Güns,"265,3"
203752,WT-Monatsmittel-203752.csv,8,1976,2023,monthly_mean,St. Michael i. Lg. (Mur),Mur,"289,2"
203794,WT-Monatsmittel-203794.csv,8,1976,2023,monthly_mean,Mörtelsdorf,Mur,"366,9"
203760,WT-Monatsmittel-203760.csv,8,2011,2023,monthly_mean,Mauterndorf,Taurach,"102,1"
203786,WT-Monatsmittel-203786.csv,8,1998,2023,monthly_mean,Tamsweg (Taurach),Taurach,"377,9"
203976,WT-Monatsmittel-203976.csv,8,1994,2023,monthly_mean,Kendlbruck,Mur,955
211086,WT-Monatsmittel-211086.csv,8,2001,2023,monthly_mean,Gestüthof,Mur,"1700,3"
211102,WT-Monatsmittel-211102.csv,8,2001,2023,monthly_mean,St. Georgen ob Judenburg,Mur,"2367,5"
211136,WT-Monatsmittel-211136.csv,8,2009,2023,monthly_mean,Zeltweg,Mur,"2957,5"
211730,WT-Monatsmittel-211730.csv,8,2001,2023,monthly_mean,Eppenstein,Granitzenbach,"153,1"
211169,WT-Monatsmittel-211169.csv,8,2009,2023,monthly_mean,Kammern im Liesingtal,Liesing,"265,6"
211185,WT-Monatsmittel-211185.csv,2,2017,2023,monthly_mean,Leoben,Mur,"4391,9"
211227,WT-Monatsmittel-211227.csv,8,1976,2023,monthly_mean,Neuberg an der Mürz,Mürz,"231,5"
211243,WT-Monatsmittel-211243.csv,8,2018,2023,monthly_mean,Kindtal,Mürz,"727,7"
211268,WT-Monatsmittel-211268.csv,8,1976,2023,monthly_mean,Kapfenberg-Diemlach,Mürz,"1364,5"
211292,WT-Monatsmittel-211292.csv,8,2019,2023,monthly_mean,Bruck an der Mur unter Mürz,Mur,6214
211763,WT-Monatsmittel-211763.csv,8,2002,2023,monthly_mean,Friesach,Mur,"6791,5"
211326,WT-Monatsmittel-211326.csv,8,1976,2023,monthly_mean,Graz,Mur,"6993,3"
211342,WT-Monatsmittel-211342.csv,8,2017,2023,monthly_mean,Lieboch,Kainach,"767,1"
211391,WT-Monatsmittel-211391.csv,8,2001,2023,monthly_mean,Wies,Weiße Sulm,"69,9"
211383,WT-Monatsmittel-211383.csv,8,2012,2023,monthly_mean,Schwanberg,Schwarze Sulm,"75,2"
211441,WT-Monatsmittel-211441.csv,8,2016,2023,monthly_mean,Tillmitsch,Laßnitz,"480,4"
211458,WT-Monatsmittel-211458.csv,8,2016,2023,monthly_mean,Leibnitz,Sulm,"1102,5"
211466,WT-Monatsmittel-211466.csv,8,2000,2023,monthly_mean,Spielfeld,Mur,9480
211490,WT-Monatsmittel-211490.csv,8,1976,2023,monthly_mean,Mureck (Schreibpegel),Mur,"9769,9"
202523,WT-Monatsmittel-202523.csv,8,1999,2023,monthly_mean,Arnbach,Drau,"162,1"
212225,WT-Monatsmittel-212225.csv,8,2010,2023,monthly_mean,Ausservillgraten,Winkeltalbach,"62,2"
231092,WT-Monatsmittel-231092.csv,8,2011,2023,monthly_mean,Lienz-Falkensteinsteg,Drau,668
212043,WT-Monatsmittel-212043.csv,8,2012,2023,monthly_mean,Hinterbichl,Isel,107
212076,WT-Monatsmittel-212076.csv,8,2007,2023,monthly_mean,Matreier Tauernhaus,Tauernbach,"59,9"
212092,WT-Monatsmittel-212092.csv,8,2001,2023,monthly_mean,Brühl,Isel,"518,4"
212100,WT-Monatsmittel-212100.csv,8,2003,2023,monthly_mean,Hopfgarten im Def. Zwenewald,Schwarzach,"268,6"
212118,WT-Monatsmittel-212118.csv,8,2002,2023,monthly_mean,Spöttling,Dorfer Bach,47
212167,WT-Monatsmittel-212167.csv,8,1976,2023,monthly_mean,Lienz,Isel,"1198,7"
202671,WT-Monatsmittel-202671.csv,5,2004,2023,monthly_mean,Tristach (Seepegel),Tristacher See,"1,7"
213660,WT-Monatsmittel-213660.csv,8,2013,2023,monthly_mean,Dellach,Drau,2195
212357,WT-Monatsmittel-212357.csv,8,1991,2023,monthly_mean,Sachsenburg Süd,Drau,2558
212373,WT-Monatsmittel-212373.csv,8,1991,2023,monthly_mean,Winklern,Möll,"412,7"
213124,WT-Monatsmittel-213124.csv,8,2013,2023,monthly_mean,Flattach,Möll,"706,1"
212381,WT-Monatsmittel-212381.csv,8,1991,2023,monthly_mean,Mallnitz,Mallnitzbach,"85,3"
212407,WT-Monatsmittel-212407.csv,2,2005,2023,monthly_mean,Möllbrücke,Möll,"1096,2"
213207,WT-Monatsmittel-213207.csv,8,2008,2023,monthly_mean,Gries,Lieser,"56,8"
212431,WT-Monatsmittel-212431.csv,8,2005,2023,monthly_mean,Gmünd-Ort,Lieser,359
212498,WT-Monatsmittel-212498.csv,8,2018,2023,monthly_mean,Sandriesen,Malta,"266,9"
212514,WT-Monatsmittel-212514.csv,5,1991,2023,monthly_mean,Millstatt-See,Millstätter See,"286,3"
212530,WT-Monatsmittel-212530.csv,8,1991,2023,monthly_mean,Spittal-Fasan,Lieser,1034
213215,WT-Monatsmittel-213215.csv,8,2005,2023,monthly_mean,Amlach,Drau,4785
212563,WT-Monatsmittel-212563.csv,5,1991,2023,monthly_mean,Techendorf-See,Weißensee,"49,1"
213876,WT-Monatsmittel-213876.csv,8,2007,2023,monthly_mean,Feldkirchen,Tiebel,"60,2"
213272,WT-Monatsmittel-213272.csv,5,1910,2023,monthly_mean,St. Andrä-See,Ossiacher See,"165,4"
212647,WT-Monatsmittel-212647.csv,8,2004,2023,monthly_mean,Mauthen,Gail,"348,6"
212746,WT-Monatsmittel-212746.csv,5,2006,2023,monthly_mean,Presseggen-See,Pressegger See,"29,6"
212753,WT-Monatsmittel-212753.csv,8,2005,2023,monthly_mean,Nötsch,Gail,"908,5"
212761,WT-Monatsmittel-212761.csv,8,2006,2023,monthly_mean,Thörl,Gailitz,188
212787,WT-Monatsmittel-212787.csv,8,1991,2023,monthly_mean,Federaun,Gail,"1304,9"
212795,WT-Monatsmittel-212795.csv,5,1984,2023,monthly_mean,Faak Bundessportheim-See,Faaker See,"35,6"
212852,WT-Monatsmittel-212852.csv,8,1991,2023,monthly_mean,Miklauzhof,Vellach,"194,3"
212860,WT-Monatsmittel-212860.csv,8,1991,2023,monthly_mean,Maitratten-Gnesau,Gurk,"201,4"
213306,WT-Monatsmittel-213306.csv,8,2007,2023,monthly_mean,Grades-Zwatshof,Metnitz,"144,6"
212894,WT-Monatsmittel-212894.csv,8,2016,2023,monthly_mean,Hirt,Metnitz,"469,4"
213157,WT-Monatsmittel-213157.csv,8,2013,2023,monthly_mean,Launsdorf,Gurk,"1243,1"
212928,WT-Monatsmittel-212928.csv,8,2008,2023,monthly_mean,Hüttenberg,Görtschitz,"130,3"
213256,WT-Monatsmittel-213256.csv,8,2006,2023,monthly_mean,Breitenstein,Wimitz,"103,9"
213801,WT-Monatsmittel-213801.csv,5,2006,2023,monthly_mean,St. Georgen-See,Längsee,5
213488,WT-Monatsmittel-213488.csv,5,1998,2023,monthly_mean,Keutschach-See,Keutschacher See,"29,8"
212985,WT-Monatsmittel-212985.csv,5,1991,2023,monthly_mean,Pörtschach-See,Wörthersee,"162,1"
213033,WT-Monatsmittel-213033.csv,8,2008,2023,monthly_mean,Zell,Glan,"817,9"
213041,WT-Monatsmittel-213041.csv,8,1967,2023,monthly_mean,Gumisch,Gurk,"2555,4"
213348,WT-Monatsmittel-213348.csv,5,1994,2023,monthly_mean,Unterburg-See,Klopeiner See,"4,1"
213173,WT-Monatsmittel-213173.csv,8,1991,2023,monthly_mean,Lavamünd Ort,Drau,11043
213314,WT-Monatsmittel-213314.csv,8,2007,2023,monthly_mean,St. Jakob,Weißenbach,"55,9"
213371,WT-Monatsmittel-213371.csv,8,2001,2023,monthly_mean,Fischering,Lavant,"715,6"
213090,WT-Monatsmittel-213090.csv,8,1991,2023,monthly_mean,Krottendorf,Lavant,"954,5"
