split,site_id,variable,expected_days,quality_approved_days,usable_finite_approved_days,usable_fraction,data_version
train,02334430,T,3288,3272,3272,0.9951338199513382,external_upper_middle_chattahoochee_v1
train,02334430,F,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02334430,L,3288,3279,3279,0.9972627737226277,external_upper_middle_chattahoochee_v1
train,02334430,Ta,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02334430,P,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02334430,W,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02334430,RH,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02334430,Rs,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02335000,T,3288,3262,3262,0.9920924574209246,external_upper_middle_chattahoochee_v1
train,02335000,F,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02335000,L,3288,3286,3286,0.9993917274939172,external_upper_middle_chattahoochee_v1
train,02335000,Ta,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02335000,P,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02335000,W,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02335000,RH,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02335000,Rs,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02335450,T,3288,3009,3009,0.9151459854014599,external_upper_middle_chattahoochee_v1
train,02335450,F,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02335450,L,3288,3267,3267,0.9936131386861314,external_upper_middle_chattahoochee_v1
train,02335450,Ta,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02335450,P,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02335450,W,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02335450,RH,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02335450,Rs,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02336000,T,3288,3258,3258,0.9908759124087592,external_upper_middle_chattahoochee_v1
train,02336000,F,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02336000,L,3288,3233,3233,0.9832725060827251,external_upper_middle_chattahoochee_v1
train,02336000,Ta,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02336000,P,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02336000,W,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02336000,RH,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02336000,Rs,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02337170,T,3288,3261,3261,0.9917883211678832,external_upper_middle_chattahoochee_v1
train,02337170,F,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02337170,L,3288,3222,3222,0.9799270072992701,external_upper_middle_chattahoochee_v1
train,02337170,Ta,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02337170,P,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02337170,W,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02337170,RH,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
train,02337170,Rs,3288,3288,3288,1.0,external_upper_middle_chattahoochee_v1
validation,02334430,T,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02334430,F,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02334430,L,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02334430,Ta,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02334430,P,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02334430,W,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02334430,RH,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02334430,Rs,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335000,T,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335000,F,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335000,L,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335000,Ta,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335000,P,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335000,W,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335000,RH,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335000,Rs,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335450,T,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335450,F,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335450,L,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335450,Ta,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335450,P,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335450,W,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335450,RH,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02335450,Rs,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02336000,T,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02336000,F,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02336000,L,730,728,728,0.9972602739726028,external_upper_middle_chattahoochee_v1
validation,02336000,Ta,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02336000,P,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02336000,W,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02336000,RH,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02336000,Rs,730,730,730,1.0,external_upper_middle_chattahoochee_v1
validation,02337170,T,730,726,726,0.9945205479452055,external_upper_middle_chattahoochee_v1
validation,02337170,F,730,730,730,1.0,external_upper_middle_chattahoochee_v1
