truth,pooled_spearman,network_spearman,calibration_slope,calibration_intercept,r2,n,n_networks
deployment_file_observed,0.9539678412530338,0.9699248120300751,0.8200489239463684,0.12782791026007187,0.8957111204822936,346,20
matched_70pct_truth,0.9539678412530338,0.9699248120300751,0.8200489239463684,0.12782791026007187,0.8957111204822936,346,20
unmatched_49pct_truth,0.9577357495728656,0.9624060150375938,0.8608990898905544,0.10885252810939143,0.915779636820025,346,20
