network_id,station_id,gap_length,mae_49pct_model,mae_70pct_model,n_placements
lubw_neckar,CYY003,7,0.34886508056095666,0.31795665809086393,20
lubw_neckar,CYY003,14,0.5299584906441825,0.5114150398118156,20
lubw_neckar,CYY003,30,0.6628462134997051,0.6616413741906484,20
lubw_neckar,CYY003,60,1.117557994802793,1.1353288909991581,20
lubw_neckar,CYY003,90,1.5074264121320513,1.5139335261450872,20
lubw_neckar,CYY003,180,3.2217366777790915,3.0864348631434972,20
lubw_neckar,CYY031,7,0.36442239012037003,0.3913296781267438,20
lubw_neckar,CYY031,14,0.4246705225535801,0.4071927264758518,20
lubw_neckar,CYY031,30,0.5676059964497885,0.613617086728414,20
lubw_neckar,CYY031,60,1.010059976975123,1.046258461713791,20
lubw_neckar,CYY031,90,1.2956942121717663,1.2998786664538913,20
lubw_neckar,CYY031,180,2.068711619377136,2.3327690817779962,20
lubw_neckar,CYY061,7,0.6082508380072457,0.48277042320796426,20
lubw_neckar,CYY061,14,0.4809815703119549,0.45975155626024505,20
lubw_neckar,CYY061,30,0.7354606404304505,0.7217849334081013,20
lubw_neckar,CYY061,60,1.2185776432355246,1.1772816407680513,20
lubw_neckar,CYY061,90,1.6170306356218127,1.5360211812125313,20
lubw_neckar,CYY061,180,2.266319334798389,2.251190571467082,20
lubw_neckar,CYY072,7,0.618772783279419,0.39279171909604754,20
lubw_neckar,CYY072,14,0.6507971801076617,0.47914365598133635,20
lubw_neckar,CYY072,30,0.5844924085140228,0.6019587845007578,20
lubw_neckar,CYY072,60,0.943042030731837,0.890875440677007,20
lubw_neckar,CYY072,90,1.1458831476635403,1.1043150259653727,20
lubw_neckar,CYY072,180,2.0022433795664045,3.05837354432212,20
lubw_neckar,CYY094,7,0.40680069105965755,0.37236497606549945,20
lubw_neckar,CYY094,14,0.5717208760125296,0.5892884131840297,20
lubw_neckar,CYY094,30,0.8126773235797883,0.8405491658051808,20
lubw_neckar,CYY094,60,1.0726024245421093,1.1008415175278983,20
lubw_neckar,CYY094,90,1.3585619195302328,1.4703216519885594,20
lubw_neckar,CYY094,180,2.7842564192612964,3.482213500605689,20
lubw_neckar,CYY137,7,0.361039080279214,0.3350946845327105,20
lubw_neckar,CYY137,14,0.5483332654408046,0.5193733269827706,20
lubw_neckar,CYY137,30,0.8863638789653778,0.8437229993343353,20
lubw_neckar,CYY137,60,1.2026579310099283,1.1860783669948578,20
lubw_neckar,CYY137,90,1.5342458611594307,1.5339546881251864,20
lubw_neckar,CYY137,180,3.651735178656048,3.5378091236750286,20
lubw_neckar,CYY165,7,0.5152876986776079,0.49555169105529784,20
lubw_neckar,CYY165,14,0.6050248316356114,0.5785475880759103,20
lubw_neckar,CYY165,30,0.9301151270866393,0.9061874390443165,20
lubw_neckar,CYY165,60,1.2663705424467722,1.2324483145078022,20
lubw_neckar,CYY165,90,1.5853664451705085,1.539645951324039,20
lubw_neckar,CYY165,180,4.093871579488118,3.8868583066728375,20
lubw_neckar,CYY172,7,0.33717413629804327,0.31126912798200335,20
lubw_neckar,CYY172,14,0.3985494828224182,0.39872199875967845,20
lubw_neckar,CYY172,30,0.5539458254178365,0.5330839592615764,20
lubw_neckar,CYY172,60,0.6732327541510263,0.8158811531066895,20
lubw_neckar,CYY172,90,0.7551993917359245,0.9567490981419882,20
lubw_neckar,CYY172,180,1.5554754016929204,1.6135923755168915,20
lubw_neckar,CYY176,7,0.5132056890215193,0.5039989188739231,20
lubw_neckar,CYY176,14,0.5869508722850255,0.5736359017235892,20
lubw_neckar,CYY176,30,0.8775839853286742,0.8680277891953786,20
lubw_neckar,CYY176,60,1.2595420637925465,1.2454702130158741,20
lubw_neckar,CYY176,90,1.5510681663619148,1.556640137407515,20
lubw_neckar,CYY176,180,3.756787602345149,3.894242467323939,20
lubw_neckar,CYY208,7,0.6714585065841675,0.6676621685709272,20
lubw_neckar,CYY208,14,0.7200108836378372,0.7386097434588842,20
lubw_neckar,CYY208,30,1.0196477095286052,1.0487664489746094,20
lubw_neckar,CYY208,60,1.244489785869916,1.2499561842679978,20
lubw_neckar,CYY208,90,1.6384970655706195,1.6301159707175361,20
lubw_neckar,CYY208,180,3.601146999822723,3.6752715403636294,20
gkd_bayern_donau,10026293,7,0.5428204154968262,0.4949097163336618,20
gkd_bayern_donau,10026293,14,0.7401913087708609,0.7156606328487396,20
gkd_bayern_donau,10026293,30,1.1257408555348714,1.1175989238421122,20
gkd_bayern_donau,10026293,60,1.109563283443451,1.1067213126420974,20
gkd_bayern_donau,10026293,90,1.454338141467836,1.4372027536233267,20
gkd_bayern_donau,10026293,180,2.690893320772383,2.469237150934007,20
gkd_bayern_donau,10026293,365,5.356386856066037,4.954420638006027,20
gkd_bayern_donau,10039802,7,0.5313434243202211,0.5210932094710214,20
gkd_bayern_donau,10039802,14,0.6747858746136938,0.6854519363812038,20
