network_id,outer_cutoff,mean_predicted_loss,mean_observed_loss,n_cells
lubw_neckar,0.7,0.8047861330551055,0.8137729143829171,660
lubw_neckar,0.8,0.9374074791174127,0.8284554223020214,374
gkd_bayern_donau,0.7,0.819764437081174,0.8608887264271989,780
gkd_bayern_donau,0.8,1.1514906253752342,1.0923752480926903,533
gkd_bayern_fraenkische_saale,0.7,1.6623532328945054,1.3389898235674889,160
gkd_bayern_fraenkische_saale,0.8,1.539568982913672,1.3374827642123852,88
gkd_bayern_iller,0.6,1.188266916057014,1.14981196836733,240
gkd_bayern_iller,0.7,1.1906951132832952,1.14981196836733,240
gkd_bayern_iller,0.8,1.2201671996949888,1.0806726890296008,159
gkd_bayern_inn,0.6,1.3289432572920692,1.193938153810326,160
gkd_bayern_inn,0.7,1.3916607429996317,1.193938153810326,160
gkd_bayern_inn,0.8,1.2054521388754835,1.1390157834682373,88
gkd_bayern_isar,0.6,0.5117269058192367,0.5973706727010863,200
gkd_bayern_isar,0.7,1.304316320373159,1.1939546068815485,400
gkd_bayern_isar,0.8,1.3572820020026404,1.3765981668572198,125
gkd_bayern_main,0.7,0.6423682735016032,0.5408315773150277,600
gkd_bayern_main,0.8,1.5947904429855961,1.278370673035934,900
gkd_bayern_vils,0.7,2.2874848306319473,1.3699411037608331,320
gkd_bayern_vils,0.8,2.051698161165532,1.4955881513491471,204
gkd_bayern_alz,0.7,2.06079340048646,1.2370147573323476,240
gkd_bayern_alz,0.8,1.8630690563175931,1.257106908987574,168
lubw_rhein,0.6,0.610540079896919,0.6491661799162153,240
lubw_rhein,0.7,0.6967269522320972,0.6491661799162153,240
lubw_rhein,0.8,1.1259215347049722,1.0102402092699232,214
foen_aare_aaregebiet,0.6,0.8739844162078619,0.8540560391518699,720
foen_aare_aaregebiet,0.7,0.8979355637933448,0.8540560391518699,720
foen_aare_aaregebiet,0.8,0.8794228879859824,0.823802244118751,387
huc8_02040101,0.6,1.0833815129037305,0.9910218113195755,480
huc8_02040101,0.7,1.0439560132698784,0.9910218113195755,480
huc8_02040101,0.8,1.0683875940376864,0.9939362256555476,252
huc8_02040102,0.7,1.4750701298907702,1.2673398000546856,240
huc8_02040102,0.8,1.378980843031993,1.236397740738971,131
huc8_02040104,0.6,1.6530485127747454,1.396956718065378,480
huc8_02040104,0.7,1.8275614209611184,1.396956718065378,480
huc8_02040104,0.8,1.2367784690556176,1.2571326268152827,210
huc8_03010107,0.6,1.4568393665011914,1.5302224558030486,240
huc8_03010107,0.7,1.5055526299844106,1.5302224558030486,240
huc8_03010107,0.8,1.4311923886737328,1.5896872614331332,147
huc8_03150202,0.6,0.9727075630209749,0.8188935080927515,240
huc8_03150202,0.7,0.8985966388493934,0.8188935080927515,240
huc8_03150202,0.8,0.8889216808839784,0.8262582094868581,136
huc8_05030103,0.6,2.007129577029494,1.7260431905832223,720
huc8_05030103,0.7,1.8788031912397354,1.7260431905832223,720
huc8_05030103,0.8,2.032146518648669,2.066245856301284,469
huc8_10020007,0.6,0.7798799867526353,0.7887960610198221,480
huc8_10020007,0.7,0.8067122424790162,0.7887960610198221,480
huc8_10020007,0.8,0.7534072560795342,0.7887960610198221,480
huc8_17060306,0.6,1.2427560780952145,1.2177917291683893,240
huc8_17060306,0.7,1.2032097106498534,1.2177917291683893,240
huc8_17060306,0.8,1.2781932414784052,1.3477123018073132,165
huc8_17090001,0.6,1.0092260176431735,0.8701100129641947,800
huc8_17090001,0.7,0.9041327913907864,0.8701100129641947,800
huc8_17090001,0.8,0.6288786192567221,0.6068598696788743,320
