history_level,dataset,network_id,history_years,score_years,stress_curve_cells,n,n_networks,spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse,n_supported_fraction
2,first_panel,lubw_neckar,2,34,408,660,1,0.3748113429305036,,0.7000570881253858,0.036548001026882077,-17.423767328383878,2.5674387394936753,0.5
4,first_panel,lubw_neckar,4,32,815,660,1,0.5080276055576244,,-0.26763521191415424,1.0770329317174412,0.10476287819817776,0.565952406413701,0.5
6,first_panel,lubw_neckar,6,30,815,660,1,0.5314126279291735,,-0.1982175474844067,1.0599529607109592,0.18160790753051315,0.5411175031051968,0.5
8,first_panel,lubw_neckar,8,28,815,660,1,0.5292811842171435,,-0.15058810256798444,1.0407127722551173,0.18993840504380166,0.538356413342893,0.5
2,first_panel,gkd_bayern_donau,2,31,1218,780,1,0.642071976795694,,-0.1867846373903639,1.4722023571438794,0.23546443870263334,0.4785218925483133,0.42857142857142855
4,first_panel,gkd_bayern_donau,4,29,1218,780,1,0.6640303555014949,,-0.10764841624072614,1.3816584479883396,0.27145505367600375,0.4671228815353761,0.42857142857142855
6,first_panel,gkd_bayern_donau,6,27,1218,780,1,0.6907863635969588,,-0.0757857051970455,1.3200257431727673,0.3054081745243421,0.45610811607015606,0.42857142857142855
8,first_panel,gkd_bayern_donau,8,25,1218,780,1,0.6926266980277005,,-0.05685440500492098,1.2937661001456473,0.31485087655550636,0.4529972019666087,0.42857142857142855
2,first_panel,gkd_bayern_fraenkische_saale,2,31,320,160,1,0.7768756123413956,,-0.1416049818341989,0.9240234433978292,0.5078468677724624,0.6889776541632714,0.5714285714285714
4,first_panel,gkd_bayern_fraenkische_saale,4,29,320,160,1,0.7782201739113984,,-0.04184209984591987,0.8495872790493497,0.4846040647120232,0.7050590709137793,0.5714285714285714
6,first_panel,gkd_bayern_fraenkische_saale,6,27,320,160,1,0.7782201739113984,,-0.01700463347581222,0.8302622895794194,0.4745520244285464,0.7119014399364487,0.5714285714285714
8,first_panel,gkd_bayern_fraenkische_saale,8,25,320,160,1,0.7767814636100168,,-0.0016920395773720005,0.8165462626123531,0.4625428319436804,0.7199907874667696,0.5714285714285714
2,first_panel,gkd_bayern_iller,2,31,640,240,1,0.6311048241931653,,-0.043588228276628595,0.8170968530945434,0.2727487564010591,0.7289344075748632,0.5714285714285714
4,first_panel,gkd_bayern_iller,4,29,640,240,1,0.7085239073934908,,-0.13296346764363665,0.974569876412397,0.5230645204266555,0.5903044128215378,0.5714285714285714
6,first_panel,gkd_bayern_iller,6,27,640,240,1,0.7030242101004076,,-0.12388113138460428,0.9727032927079171,0.5251065926346439,0.5890393178762022,0.5714285714285714
8,first_panel,gkd_bayern_iller,8,25,640,240,1,0.6990865415785699,,-0.10184045273123687,0.9572138079663276,0.5207323087710278,0.5917459452315633,0.5714285714285714
2,first_panel,gkd_bayern_inn,2,31,640,160,1,0.8096372324282031,,-0.006440348660815606,0.9374879198523347,0.7531885811165799,0.42571311955605695,0.5714285714285714
4,first_panel,gkd_bayern_inn,4,29,640,160,1,0.8063302812060115,,-0.12886572542638747,1.0551071150830782,0.7577021303135624,0.4218025567923672,0.5714285714285714
6,first_panel,gkd_bayern_inn,6,27,640,160,1,0.8002939225477732,,-0.07520552920452933,1.011631190444473,0.7547808996627826,0.4243376407169253,0.5714285714285714
8,first_panel,gkd_bayern_inn,8,25,640,160,1,0.8142311974682511,,-0.05613383468352161,0.9363408055613744,0.7100975990187224,0.46138164819815697,0.5714285714285714
2,first_panel,gkd_bayern_isar,2,31,960,400,1,0.7018950479707677,,-0.40120385058693175,1.2321295894446418,0.5438030282939628,0.7343162131997621,0.5714285714285714
4,first_panel,gkd_bayern_isar,4,29,960,400,1,0.7808323911999853,,-0.31991160656537265,1.1974032543194315,0.5992392925980417,0.6882551748974852,0.5714285714285714
6,first_panel,gkd_bayern_isar,6,27,960,400,1,0.7776127671438512,,-0.28667856589830243,1.1324436591095492,0.6004404261760281,0.68722300440522,0.5714285714285714
8,first_panel,gkd_bayern_isar,8,25,960,400,1,0.7800988820779529,,-0.28101241504729413,1.1295726975784297,0.6011237763415678,0.6866350884262228,0.5714285714285714
2,first_panel,gkd_bayern_main,2,31,640,600,1,0.5251464160166541,,-0.10305104462354557,1.1496303917439592,0.21066774788979326,0.3318344691066974,0.2857142857142857
4,first_panel,gkd_bayern_main,4,29,640,600,1,0.5446575514177503,,-0.026926333714441707,0.9773161013333742,0.2354538822484964,0.32658288074787206,0.2857142857142857
6,first_panel,gkd_bayern_main,6,27,640,600,1,0.5454833254623297,,-0.016013919016432794,0.9434355889835456,0.2344001341902182,0.326807862323433,0.2857142857142857
