date,t2m_deg_c
2012-09-06,12.96
2012-09-07,14.04
2012-09-08,16.74
2012-09-09,17.69
2012-09-10,18.68
2012-09-11,19.85
2012-09-12,12.84
2012-09-13,9.93
2012-09-14,11.2
2012-09-15,12.3
2012-09-16,13.36
2012-09-17,13.31
2012-09-18,15.95
2012-09-19,10.62
2012-09-20,8.81
2012-09-21,9.03
2012-09-22,9.65
2012-09-23,8.91
2012-09-24,12.47
2012-09-25,14.45
2012-09-26,15.97
2012-09-27,13.62
2012-09-28,12.48
2012-09-29,11.69
2012-09-30,10.41
2012-10-01,11.01
2012-10-02,12.12
2012-10-03,12.17
2012-10-04,12.1
2012-10-05,10.69
2012-10-06,14.77
2012-10-07,7.9
2012-10-08,7.19
2012-10-09,6.14
2012-10-10,4.61
2012-10-11,5.07
2012-10-12,6.24
2012-10-13,8.07
2012-10-14,8.08
2012-10-15,8.33
2012-10-16,5.94
2012-10-17,7.32
2012-10-18,8.76
2012-10-19,9.35
2012-10-20,8.76
2012-10-21,7.83
2012-10-22,9.06
2012-10-23,8.77
2012-10-24,8.1
2012-10-25,7.89
2012-10-26,3.25
2012-10-27,-1.01
2012-10-28,-2.01
2012-10-29,-2.51
2012-10-30,-1.8
2012-10-31,1.87
2012-11-01,2.97
2012-11-02,3.83
2012-11-03,5.07
2012-11-04,6.25
2012-11-05,5.71
2012-11-06,2.62
2012-11-07,4.17
2012-11-08,5.36
2012-11-09,4.47
2012-11-10,3.93
2012-11-11,4.97
2012-11-12,5.7
2012-11-13,2.81
2012-11-14,-0.01
2012-11-15,-0.05
2012-11-16,0.28
2012-11-17,0.93
2012-11-18,0.15
2012-11-19,2.8
2012-11-20,3.68
2012-11-21,4.82
2012-11-22,3.92
2012-11-23,4.04
2012-11-24,2.64
2012-11-25,3.97
2012-11-26,3.36
2012-11-27,4.56
2012-11-28,5.4
2012-11-29,2.4
2012-11-30,-1.25
2012-12-01,-4.6
2012-12-02,-3.93
2012-12-03,-4.32
2012-12-04,-1.94
2012-12-05,-3.74
2012-12-06,-5.12
2012-12-07,-9.84
2012-12-08,-10.42
2012-12-09,-8.4
2012-12-10,-3.15
2012-12-11,-6.07
2012-12-12,-8.65
2012-12-13,-7.85
2012-12-14,-6.47
2012-12-15,-0.55
2012-12-16,-0.41
2012-12-17,0.19
2012-12-18,0.29
2012-12-19,-0.32
2012-12-20,-4.86
2012-12-21,-7.56
2012-12-22,-4.5
2012-12-23,-0.95
2012-12-24,1.51
2012-12-25,0.97
2012-12-26,2.04
2012-12-27,1.74
2012-12-28,-1.98
2012-12-29,-1.93
2012-12-30,-1.41
2012-12-31,0.77
2013-01-01,-0.54
2013-01-02,0.43
2013-01-03,1.26
2013-01-04,4.8
2013-01-05,4.05
2013-01-06,2.37
2013-01-07,-0.04
2013-01-08,0.79
2013-01-09,2.51
2013-01-10,0.89
2013-01-11,-3.44
2013-01-12,-4.0
2013-01-13,-5.7
2013-01-14,-6.35
2013-01-15,-5.1
2013-01-16,-4.62
2013-01-17,-5.85
2013-01-18,-7.96
2013-01-19,-8.39
2013-01-20,-7.29
2013-01-21,-7.07
2013-01-22,-9.82
2013-01-23,-9.21
2013-01-24,-8.09
2013-01-25,-10.67
2013-01-26,-11.8
2013-01-27,-7.3
2013-01-28,-2.83
2013-01-29,0.49
2013-01-30,3.33
2013-01-31,2.73
2013-02-01,2.3
2013-02-02,0.12
2013-02-03,-2.07
2013-02-04,0.28
2013-02-05,0.57
2013-02-06,-1.37
2013-02-07,-3.0
2013-02-08,-3.24
2013-02-09,-4.05
2013-02-10,-5.06
2013-02-11,-4.88
2013-02-12,-4.21
2013-02-13,-4.45
2013-02-14,-3.87
2013-02-15,-2.75
2013-02-16,-2.03
2013-02-17,-1.98
2013-02-18,-2.55
2013-02-19,-2.52
2013-02-20,-4.09
2013-02-21,-6.74
2013-02-22,-7.14
2013-02-23,-4.55
2013-02-24,-0.81
2013-02-25,0.62
2013-02-26,-0.32
2013-02-27,-0.93
2013-02-28,-0.44
2013-03-01,-1.03
2013-03-02,-1.87
2013-03-03,-1.99
2013-03-04,-1.25
2013-03-05,0.53
2013-03-06,1.96
2013-03-07,3.31
2013-03-08,2.58
2013-03-09,1.9
2013-03-10,4.0
2013-03-11,-2.28
2013-03-12,-3.02
2013-03-13,-4.31
2013-03-14,-5.34
2013-03-15,-5.93
2013-03-16,-4.79
2013-03-17,-3.0
2013-03-18,-0.96
2013-03-19,-1.52
2013-03-20,0.38
2013-03-21,-1.31
2013-03-22,-3.16
2013-03-23,-6.73
2013-03-24,-7.79
2013-03-25,-5.56
2013-03-26,-4.53
2013-03-27,-3.98
2013-03-28,-1.56
2013-03-29,-0.56
2013-03-30,-0.66
2013-03-31,-1.42
2013-04-01,-1.95
2013-04-02,-1.69
2013-04-03,-1.36
2013-04-04,-0.53
2013-04-05,-0.07
2013-04-06,0.7
2013-04-07,1.32
2013-04-08,2.16
2013-04-09,3.28
2013-04-10,4.4
2013-04-11,6.4
2013-04-12,7.07
2013-04-13,6.23
2013-04-14,8.02
2013-04-15,9.13
2013-04-16,10.36
2013-04-17,13.73
2013-04-18,14.85
2013-04-19,10.95
2013-04-20,7.31
2013-04-21,9.42
2013-04-22,11.47
2013-04-23,11.52
2013-04-24,12.4
2013-04-25,14.54
2013-04-26,15.79
2013-04-27,11.01
2013-04-28,7.77
2013-04-29,8.99
2013-04-30,10.28
2013-05-01,9.59
2013-05-02,10.93
2013-05-03,9.15
2013-05-04,11.52
2013-05-05,12.54
2013-05-06,13.08
2013-05-07,15.41
2013-05-08,16.57
2013-05-09,16.94
2013-05-10,12.96
2013-05-11,11.13
2013-05-12,10.45
2013-05-13,8.64
2013-05-14,11.58
2013-05-15,14.17
2013-05-16,15.98
2013-05-17,17.05
2013-05-18,13.88
2013-05-19,15.69
2013-05-20,12.76
2013-05-21,12.1
2013-05-22,9.37
2013-05-23,6.46
2013-05-24,8.08
2013-05-25,7.84
2013-05-26,6.22
2013-05-27,7.95
2013-05-28,9.49
2013-05-29,12.77
2013-05-30,11.06
2013-05-31,12.23
2013-06-01,12.3
2013-06-02,12.81
2013-06-03,10.14
2013-06-04,11.58
2013-06-05,11.95
2013-06-06,14.18
2013-06-07,16.46
2013-06-08,17.98
2013-06-09,17.56
2013-06-10,13.94
2013-06-11,14.37
2013-06-12,16.76
2013-06-13,17.79
2013-06-14,14.88
2013-06-15,16.65
2013-06-16,17.8
2013-06-17,20.2
2013-06-18,23.38
2013-06-19,23.04
2013-06-20,23.89
2013-06-21,20.57
2013-06-22,19.36
2013-06-23,18.83
2013-06-24,14.05
2013-06-25,11.45
2013-06-26,10.3
2013-06-27,12.17
2013-06-28,13.91
2013-06-29,13.79
2013-06-30,11.85
2013-07-01,15.55
2013-07-02,18.04
2013-07-03,18.73
2013-07-04,18.32
2013-07-05,18.29
2013-07-06,18.18
2013-07-07,17.74
2013-07-08,18.31
2013-07-09,20.26
2013-07-10,19.21
2013-07-11,14.02
2013-07-12,14.83
2013-07-13,16.1
2013-07-14,16.67
2013-07-15,15.45
2013-07-16,17.92
2013-07-17,19.69
2013-07-18,20.42
2013-07-19,20.44
2013-07-20,18.42
2013-07-21,18.88
2013-07-22,21.64
2013-07-23,21.31
2013-07-24,19.87
2013-07-25,20.2
2013-07-26,23.25
2013-07-27,25.54
2013-07-28,26.58
2013-07-29,23.37
2013-07-30,19.06
2013-07-31,18.81
2013-08-01,20.47
2013-08-02,23.15
2013-08-03,25.11
2013-08-04,23.16
2013-08-05,21.93
2013-08-06,24.19
2013-08-07,22.98
2013-08-08,22.65
2013-08-09,16.48
2013-08-10,17.12
2013-08-11,16.04
2013-08-12,17.33
2013-08-13,15.3
2013-08-14,13.98
2013-08-15,15.91
2013-08-16,16.72
2013-08-17,18.7
2013-08-18,21.87
2013-08-19,18.76
2013-08-20,14.97
2013-08-21,14.75
2013-08-22,14.52
2013-08-23,15.8
2013-08-24,16.8
2013-08-25,15.07
2013-08-26,14.99
2013-08-27,14.57
2013-08-28,14.67
2013-08-29,16.21
2013-08-30,17.93
2013-08-31,17.81
2013-09-01,13.43
2013-09-02,12.81
2013-09-03,15.8
2013-09-04,16.61
2013-09-05,17.09
2013-09-06,16.26
2013-09-07,16.35
2013-09-08,16.98
2013-09-09,14.05
2013-09-10,12.38
2013-09-11,11.85
2013-09-12,10.85
2013-09-13,11.62
2013-09-14,13.92
2013-09-15,13.79
2013-09-16,12.1
2013-09-17,8.85
2013-09-18,8.21
2013-09-19,8.78
2013-09-20,9.41
2013-09-21,10.9
2013-09-22,11.18
2013-09-23,13.45
2013-09-24,12.67
2013-09-25,10.42
2013-09-26,9.74
2013-09-27,7.49
2013-09-28,7.92
2013-09-29,7.22
2013-09-30,6.36
2013-10-01,5.19
2013-10-02,4.25
2013-10-03,3.49
2013-10-04,4.51
2013-10-05,5.67
2013-10-06,8.44
2013-10-07,9.5
2013-10-08,9.55
2013-10-09,10.21
2013-10-10,11.1
2013-10-11,10.95
2013-10-12,10.8
2013-10-13,7.53
2013-10-14,7.57
2013-10-15,7.57
2013-10-16,6.68
2013-10-17,7.27
2013-10-18,7.66
2013-10-19,6.01
2013-10-20,10.75
2013-10-21,12.19
2013-10-22,12.57
2013-10-23,12.75
2013-10-24,13.06
2013-10-25,10.42
2013-10-26,11.8
2013-10-27,12.92
2013-10-28,12.48
2013-10-29,9.61
2013-10-30,6.48
2013-10-31,4.36
2013-11-01,3.17
2013-11-02,6.94
2013-11-03,7.35
2013-11-04,6.89
2013-11-05,4.45
2013-11-06,3.91
2013-11-07,9.9
2013-11-08,9.52
2013-11-09,7.19
2013-11-10,4.25
2013-11-11,2.9
2013-11-12,1.19
2013-11-13,1.4
2013-11-14,0.99
2013-11-15,1.56
2013-11-16,2.84
2013-11-17,2.65
2013-11-18,3.31
2013-11-19,3.86
2013-11-20,2.97
2013-11-21,1.35
2013-11-22,3.68
2013-11-23,4.0
2013-11-24,2.16
2013-11-25,-1.98
2013-11-26,-2.43
2013-11-27,-3.16
2013-11-28,0.39
2013-11-29,1.12
2013-11-30,0.01
2013-12-01,1.04
2013-12-02,0.37
2013-12-03,-2.62
2013-12-04,-2.03
2013-12-05,0.72
2013-12-06,-0.19
2013-12-07,-1.19
2013-12-08,0.26
2013-12-09,2.98
2013-12-10,3.33
2013-12-11,2.49
2013-12-12,1.11
2013-12-13,-0.75
2013-12-14,-1.95
2013-12-15,-0.49
2013-12-16,-1.85
2013-12-17,-2.95
2013-12-18,-3.42
2013-12-19,-4.89
2013-12-20,-1.36
2013-12-21,-1.07
2013-12-22,0.75
2013-12-23,2.01
2013-12-24,0.27
2013-12-25,1.68
2013-12-26,3.77
2013-12-27,2.12
2013-12-28,0.85
2013-12-29,1.33
2013-12-30,-0.81
2013-12-31,-0.59
2014-01-01,-0.64
2014-01-02,-0.29
2014-01-03,0.32
2014-01-04,1.64
2014-01-05,1.6
2014-01-06,0.86
2014-01-07,2.41
2014-01-08,3.28
2014-01-09,4.28
2014-01-10,2.65
2014-01-11,1.11
2014-01-12,0.23
2014-01-13,-1.56
2014-01-14,0.25
2014-01-15,-0.24
2014-01-16,-0.88
2014-01-17,0.57
2014-01-18,1.2
2014-01-19,4.13
2014-01-20,3.81
2014-01-21,-1.51
2014-01-22,-3.6
2014-01-23,-4.84
2014-01-24,-4.47
2014-01-25,-10.74
2014-01-26,-10.71
2014-01-27,-5.13
2014-01-28,-3.5
2014-01-29,-5.4
2014-01-30,-3.57
2014-01-31,-1.34
2014-02-01,-2.05
2014-02-02,-2.03
2014-02-03,-2.14
2014-02-04,-3.05
2014-02-05,-2.41
2014-02-06,0.17
2014-02-07,0.22
2014-02-08,1.79
2014-02-09,0.84
2014-02-10,0.48
2014-02-11,0.91
2014-02-12,-0.23
2014-02-13,0.75
2014-02-14,1.47
2014-02-15,1.61
2014-02-16,2.5
2014-02-17,2.06
2014-02-18,2.05
2014-02-19,1.91
2014-02-20,1.98
2014-02-21,2.16
2014-02-22,2.3
2014-02-23,2.5
2014-02-24,1.8
2014-02-25,2.08
2014-02-26,2.15
2014-02-27,2.01
2014-02-28,1.85
2014-03-01,2.83
2014-03-02,3.96
2014-03-03,3.32
2014-03-04,3.62
2014-03-05,4.17
2014-03-06,3.56
2014-03-07,2.44
2014-03-08,4.12
2014-03-09,3.84
2014-03-10,4.01
2014-03-11,5.76
2014-03-12,4.49
2014-03-13,6.63
2014-03-14,7.07
2014-03-15,4.47
2014-03-16,6.97
2014-03-17,7.87
2014-03-18,7.35
2014-03-19,6.96
2014-03-20,8.95
2014-03-21,11.36
2014-03-22,10.95
2014-03-23,4.76
2014-03-24,2.33
2014-03-25,2.75
2014-03-26,3.59
2014-03-27,5.62
2014-03-28,5.32
2014-03-29,8.06
2014-03-30,9.02
2014-03-31,9.62
2014-04-01,9.03
2014-04-02,10.15
2014-04-03,12.22
2014-04-04,12.3
2014-04-05,10.5
2014-04-06,10.23
2014-04-07,12.31
2014-04-08,11.82
2014-04-09,6.03
2014-04-10,5.85
2014-04-11,6.61
2014-04-12,9.39
2014-04-13,9.43
2014-04-14,6.19
2014-04-15,3.94
2014-04-16,4.52
2014-04-17,5.37
2014-04-18,4.16
2014-04-19,9.94
2014-04-20,11.11
2014-04-21,10.57
2014-04-22,12.18
2014-04-23,12.87
2014-04-24,13.41
2014-04-25,13.17
2014-04-26,13.69
2014-04-27,13.87
2014-04-28,13.51
2014-04-29,13.35
2014-04-30,14.35
2014-05-01,13.95
2014-05-02,9.77
2014-05-03,5.39
2014-05-04,5.85
2014-05-05,6.94
2014-05-06,11.5
2014-05-07,11.67
2014-05-08,11.81
2014-05-09,14.24
2014-05-10,12.39
2014-05-11,11.96
2014-05-12,9.59
2014-05-13,8.46
2014-05-14,8.06
2014-05-15,9.18
2014-05-16,8.28
2014-05-17,9.5
2014-05-18,10.84
2014-05-19,14.06
2014-05-20,16.22
2014-05-21,17.58
2014-05-22,19.85
2014-05-23,19.71
