date,t2m_deg_c
2012-10-12,5.57
2012-10-13,8.78
2012-10-14,9.06
2012-10-15,11.68
2012-10-16,6.97
2012-10-17,6.91
2012-10-18,10.4
2012-10-19,10.14
2012-10-20,10.38
2012-10-21,9.41
2012-10-22,9.65
2012-10-23,8.34
2012-10-24,7.07
2012-10-25,7.15
2012-10-26,4.6
2012-10-27,2.48
2012-10-28,-0.85
2012-10-29,-2.06
2012-10-30,-1.09
2012-10-31,1.42
2012-11-01,4.18
2012-11-02,4.75
2012-11-03,4.9
2012-11-04,8.11
2012-11-05,6.24
2012-11-06,2.96
2012-11-07,3.02
2012-11-08,4.18
2012-11-09,3.77
2012-11-10,3.97
2012-11-11,6.52
2012-11-12,6.48
2012-11-13,4.28
2012-11-14,1.51
2012-11-15,2.19
2012-11-16,2.66
2012-11-17,4.3
2012-11-18,4.48
2012-11-19,4.21
2012-11-20,4.83
2012-11-21,5.05
2012-11-22,4.6
2012-11-23,4.68
2012-11-24,4.67
2012-11-25,5.15
2012-11-26,5.2
2012-11-27,6.56
2012-11-28,7.51
2012-11-29,5.66
2012-11-30,0.16
2012-12-01,-2.0
2012-12-02,-1.56
2012-12-03,-2.24
2012-12-04,-2.07
2012-12-05,-2.21
2012-12-06,-4.49
2012-12-07,-7.06
2012-12-08,-8.5
2012-12-09,-8.04
2012-12-10,-3.18
2012-12-11,-5.15
2012-12-12,-6.95
2012-12-13,-7.29
2012-12-14,-3.73
2012-12-15,0.3
2012-12-16,-0.25
2012-12-17,-0.16
2012-12-18,-1.52
2012-12-19,-1.6
2012-12-20,-6.81
2012-12-21,-8.07
2012-12-22,-9.44
2012-12-23,-5.05
2012-12-24,-0.76
2012-12-25,-1.66
2012-12-26,-0.1
2012-12-27,0.02
2012-12-28,-3.33
2012-12-29,-7.22
2012-12-30,-4.27
2012-12-31,-1.68
2013-01-01,-3.11
2013-01-02,-3.26
2013-01-03,-1.24
2013-01-04,2.47
2013-01-05,2.13
2013-01-06,-0.29
2013-01-07,-4.06
2013-01-08,-5.92
2013-01-09,0.02
2013-01-10,-0.66
2013-01-11,-4.05
2013-01-12,-6.48
2013-01-13,-7.23
2013-01-14,-6.82
2013-01-15,-4.23
2013-01-16,-3.17
2013-01-17,-5.51
2013-01-18,-8.15
2013-01-19,-10.08
2013-01-20,-7.15
2013-01-21,-4.95
2013-01-22,-9.33
2013-01-23,-9.81
2013-01-24,-9.64
2013-01-25,-10.08
2013-01-26,-13.1
2013-01-27,-11.49
2013-01-28,-6.15
2013-01-29,-2.25
2013-01-30,2.08
2013-01-31,2.35
2013-02-01,1.59
2013-02-02,0.71
2013-02-03,-2.37
2013-02-04,-0.01
2013-02-05,0.61
2013-02-06,-0.98
2013-02-07,-3.39
2013-02-08,-4.71
2013-02-09,-5.11
2013-02-10,-5.24
2013-02-11,-5.28
2013-02-12,-4.08
2013-02-13,-2.74
2013-02-14,-2.86
2013-02-15,-2.59
2013-02-16,-2.56
2013-02-17,-3.85
2013-02-18,-4.1
2013-02-19,-3.93
2013-02-20,-4.88
2013-02-21,-7.67
2013-02-22,-6.37
2013-02-23,-2.94
2013-02-24,0.68
2013-02-25,1.67
2013-02-26,1.02
2013-02-27,0.42
2013-02-28,0.87
2013-03-01,-0.11
2013-03-02,-0.68
2013-03-03,-0.64
2013-03-04,-0.63
2013-03-05,1.06
2013-03-06,4.83
2013-03-07,6.86
2013-03-08,5.81
2013-03-09,2.49
2013-03-10,3.34
2013-03-11,1.08
2013-03-12,-2.26
2013-03-13,-1.58
2013-03-14,-4.77
2013-03-15,-5.08
2013-03-16,-4.95
2013-03-17,-4.09
2013-03-18,-1.51
2013-03-19,-0.38
2013-03-20,0.88
2013-03-21,0.44
2013-03-22,-2.51
2013-03-23,-6.42
2013-03-24,-7.36
2013-03-25,-5.43
2013-03-26,-5.28
2013-03-27,-4.08
2013-03-28,-1.4
2013-03-29,-0.19
2013-03-30,0.43
2013-03-31,-1.34
2013-04-01,-2.42
2013-04-02,-2.18
2013-04-03,-1.24
2013-04-04,-0.92
2013-04-05,0.26
2013-04-06,0.22
2013-04-07,0.04
2013-04-08,1.53
2013-04-09,2.79
2013-04-10,4.28
2013-04-11,6.96
2013-04-12,8.36
2013-04-13,6.31
2013-04-14,6.8
2013-04-15,7.97
2013-04-16,8.64
2013-04-17,12.26
2013-04-18,13.23
2013-04-19,11.18
2013-04-20,9.09
2013-04-21,10.44
2013-04-22,12.95
2013-04-23,13.64
2013-04-24,12.89
2013-04-25,14.91
2013-04-26,15.7
2013-04-27,15.55
2013-04-28,11.25
2013-04-29,12.8
2013-04-30,14.59
2013-05-01,11.69
2013-05-02,13.13
2013-05-03,12.26
2013-05-04,12.38
2013-05-05,13.61
2013-05-06,14.62
2013-05-07,15.84
2013-05-08,16.6
2013-05-09,17.23
2013-05-10,16.44
2013-05-11,11.89
2013-05-12,9.99
2013-05-13,9.52
2013-05-14,11.26
2013-05-15,13.51
2013-05-16,15.75
2013-05-17,16.49
2013-05-18,14.89
2013-05-19,15.95
2013-05-20,13.79
2013-05-21,12.74
2013-05-22,11.37
2013-05-23,8.1
2013-05-24,9.05
2013-05-25,8.93
2013-05-26,8.67
2013-05-27,7.49
2013-05-28,10.75
2013-05-29,14.22
2013-05-30,12.78
2013-05-31,10.69
2013-06-01,10.7
2013-06-02,12.89
2013-06-03,12.12
2013-06-04,13.25
2013-06-05,10.8
2013-06-06,13.65
2013-06-07,16.07
2013-06-08,17.29
2013-06-09,18.36
2013-06-10,17.31
2013-06-11,13.12
2013-06-12,14.05
2013-06-13,17.93
2013-06-14,16.54
2013-06-15,18.15
2013-06-16,20.03
2013-06-17,22.06
2013-06-18,23.07
2013-06-19,22.7
2013-06-20,24.12
2013-06-21,22.64
2013-06-22,20.08
2013-06-23,19.65
2013-06-24,15.92
2013-06-25,12.79
2013-06-26,10.97
2013-06-27,11.71
2013-06-28,12.55
2013-06-29,14.51
2013-06-30,12.49
2013-07-01,14.7
2013-07-02,17.34
2013-07-03,18.48
2013-07-04,19.84
2013-07-05,19.52
2013-07-06,18.59
2013-07-07,18.75
2013-07-08,17.64
2013-07-09,18.96
2013-07-10,20.07
2013-07-11,16.28
2013-07-12,15.14
2013-07-13,16.18
2013-07-14,17.34
2013-07-15,16.26
2013-07-16,17.95
2013-07-17,20.14
2013-07-18,20.41
2013-07-19,21.22
2013-07-20,18.27
2013-07-21,18.0
2013-07-22,21.12
2013-07-23,21.0
2013-07-24,19.72
2013-07-25,20.03
2013-07-26,22.86
2013-07-27,24.97
2013-07-28,26.66
2013-07-29,26.25
2013-07-30,20.5
2013-07-31,20.4
2013-08-01,21.24
2013-08-02,24.11
2013-08-03,25.97
2013-08-04,26.01
2013-08-05,23.51
2013-08-06,25.81
2013-08-07,26.1
2013-08-08,27.98
2013-08-09,22.56
2013-08-10,17.19
2013-08-11,19.21
2013-08-12,19.52
2013-08-13,18.53
2013-08-14,16.67
2013-08-15,16.41
2013-08-16,18.42
2013-08-17,20.32
2013-08-18,22.69
2013-08-19,22.32
2013-08-20,16.74
2013-08-21,15.76
2013-08-22,15.64
