subset,empirical_n_networks_defined,empirical_within_median,empirical_within_q1,empirical_within_q3,empirical_within_iqr,empirical_residualized_spearman,empirical_pooled_spearman,empirical_network_spearman,simple_fitperiod_n_networks_defined,simple_fitperiod_within_median,simple_fitperiod_within_q1,simple_fitperiod_within_q3,simple_fitperiod_within_iqr,simple_fitperiod_residualized_spearman,simple_fitperiod_pooled_spearman,simple_fitperiod_network_spearman,simple_devonly_n_networks_defined,simple_devonly_within_median,simple_devonly_within_q1,simple_devonly_within_q3,simple_devonly_within_iqr,simple_devonly_residualized_spearman,simple_devonly_pooled_spearman,simple_devonly_network_spearman,network_mean_only_pooled_spearman
direct_874,57,0.965034965034965,0.9440559440559443,0.9823529411764707,0.038296997120526366,0.9358954218739222,0.9453454523265827,0.8049001814882034,57,0.9370629370629372,0.9090909090909091,0.9624060150375938,0.05331510594668476,0.8957689876866078,0.8458749473414598,0.2475369458128079,57,0.9300699300699302,0.8741258741258742,0.9558823529411766,0.08175647881530246,0.8885959497578548,0.8323438358334205,0.27689914441275604,0.3257033427953977
all_1446,57,0.682456407050482,0.6596831339934767,0.7204600829986338,0.06077694900515718,0.6072931774184497,0.7399228649476387,0.715452424163858,57,0.9381499726327313,0.894736842105263,0.961624649859944,0.06688780775468095,0.90755287970127,0.8346255703753276,0.6046149857402127,57,0.9311688311688312,0.8679050567595459,0.9554621848739496,0.08755712811440375,0.9028799071597068,0.8190947335163268,0.6140782991962667,0.3091096074309754
