subset,n_networks_with_both_defined,n_networks_total,fraction_empirical_beats_simple,median_within_network_spearman_empirical,median_within_network_spearman_simple
direct_874,57,57,0.7192982456140351,0.965034965034965,0.9370629370629372
all_1446,57,57,0.017543859649122806,0.682456407050482,0.9381499726327313
