subset,repeats,skipped_degenerate_draws,delta_station_gap_spearman_mean,delta_station_gap_spearman_ci95,delta_network_spearman_mean,delta_network_spearman_ci95,delta_calibration_slope_mean,delta_calibration_slope_ci95,empirical_station_gap_spearman_boot_mean,empirical_station_gap_spearman_ci95,simple_station_gap_spearman_boot_mean,simple_station_gap_spearman_ci95,empirical_network_spearman_boot_mean,empirical_network_spearman_ci95,simple_network_spearman_boot_mean,simple_network_spearman_ci95,fraction_delta_station_positive,fraction_delta_network_positive
direct_874,2000,0,0.09819238674967201,"[0.058882207111151504, 0.1420103351944342]",0.5522011451193392,"[0.3088055620553791, 0.813540610431201]",-0.22098589334388533,"[-0.3436220175818807, -0.09992323376646567]",0.9448693418922935,"[0.920141000537102, 0.9648239262734652]",0.8466769551426215,"[0.8049721284703304, 0.8843699593967378]",0.7975409695700123,"[0.6647793126560102, 0.8966819779248744]",0.24533982445067307,"[-0.03666913769541184, 0.4963692527518291]",1.0,1.0
all_1446,2000,0,-0.09654786780835231,"[-0.15797059825312876, -0.027504316553495587]",0.10884271127177732,"[-0.1262204994699799, 0.3560479194246544]",-0.20099443803510778,"[-0.3194795958059418, -0.08416370333278922]",0.738777871016154,"[0.6994279249981452, 0.7793671500559884]",0.8353257388245063,"[0.7929621196317902, 0.8744964846059062]",0.7066061902984914,"[0.5206006426730666, 0.8415957765802872]",0.5977634790267141,"[0.35896866025758906, 0.7780915953383338]",0.002,0.81
