horizon,n_units,n_networks,empirical_network_spearman,simple_fitperiod_network_spearman,simple_devonly_network_spearman
7,224,57,0.9320715582058596,0.3744490536686544,0.2770935960591133
30,224,57,0.9156728026963963,0.15296862846772102,0.10526315789473686
90,220,56,0.8647983595352017,0.042925495557074506,0.07812713602187286
180,206,53,0.6594097726173197,0.16400580551523947,0.20246734397677793
