network_id,n_stations_recomputed,n_rows_recomputed,elapsed_seconds
chmi_botic,5,35,0.1
chmi_dyje,4,28,0.2
chmi_jizera,5,35,0.2
chmi_kamenice,3,21,0.1
chmi_labe,6,42,0.2
chmi_luznice,3,21,0.1
chmi_morava,6,42,0.2
chmi_odra,3,21,0.1
chmi_otava,3,21,0.1
chmi_sazava,8,56,0.3
chmi_smeda,3,21,0.1
chmi_vltava,6,42,0.2
chmi_zelivka,5,35,0.1
nve_basin_103,4,28,0.1
nve_basin_124,4,28,0.1
nve_basin_16,8,56,0.2
nve_basin_2,4,28,0.1
nve_basin_212,3,21,0.1
nve_basin_26,4,28,0.1
nve_basin_311,3,21,0.1
nve_basin_76,3,21,0.1
nve_basin_78,4,28,0.1
nve_basin_88,4,28,0.1
usgs2_huc2_08,4,28,0.1
usgs2_huc2_12,5,35,0.1
usgs2_huc2_15,4,28,0.1
usgs2_huc2_18,3,21,0.1
usgs2_huc4_0306,3,21,0.1
usgs2_huc4_0401,3,21,0.1
usgs2_huc4_0601,3,21,0.1
usgs2_huc4_1111,4,28,0.1
usgs2_huc4_1705,3,21,0.1
usgs2_huc4_1707,4,28,0.1
usgs2_huc4_1903,3,21,0.1
usgs2_huc6_010802,3,21,0.1
usgs2_huc6_020502,3,21,0.1
usgs2_huc6_030502,3,21,0.1
usgs2_huc6_031300,6,42,0.1
usgs2_huc6_031700,4,28,0.1
usgs2_huc6_040301,3,21,0.1
usgs2_huc6_040500,3,21,0.1
usgs2_huc6_060102,4,28,0.1
usgs2_huc6_070300,3,21,0.1
usgs2_huc6_070900,3,21,0.1
usgs2_huc6_071300,3,21,0.1
usgs2_huc6_071401,3,21,0.1
usgs2_huc6_120301,4,28,0.1
usgs2_huc6_120800,3,21,0.1
usgs2_huc6_121003,3,21,0.1
usgs2_huc6_140300,4,28,0.1
usgs2_huc6_170102,3,21,0.2
usgs2_huc6_170703,3,21,0.1
usgs2_huc6_171003,5,35,0.2
usgs2_huc6_180102,6,42,0.2
usgs2_huc6_180201,3,21,0.1
