panel_size,margin,margin_label,endpoint,power,n_reps,alpha,observed_mean_effect,observed_median_effect
80,1.5,1.5x,dcap_0.30,0.2233,600,0.05,-0.013933,0.0
80,1.5,1.5x,d_ndcg,0.94,600,0.05,0.009477,0.006881
100,0.0,null,d_rho,0.0383,600,0.05,0.036214,0.021053
100,0.0,null,dcap_0.05,0.06,600,0.05,0.012071,0.0
100,0.0,null,dcap_0.10,0.04,600,0.05,0.013306,0.008574
100,0.0,null,dcap_0.20,0.065,600,0.05,-0.012274,0.0
100,0.0,null,dcap_0.30,0.025,600,0.05,-0.013933,0.0
100,0.0,null,d_ndcg,0.0667,600,0.05,0.009477,0.006881
100,0.5,0.5x,d_rho,0.995,600,0.05,0.036214,0.021053
100,0.5,0.5x,dcap_0.05,0.6783,600,0.05,0.012071,0.0
100,0.5,0.5x,dcap_0.10,0.59,600,0.05,0.013306,0.008574
100,0.5,0.5x,dcap_0.20,0.31,600,0.05,-0.012274,0.0
100,0.5,0.5x,dcap_0.30,0.2717,600,0.05,-0.013933,0.0
100,0.5,0.5x,d_ndcg,0.97,600,0.05,0.009477,0.006881
100,1.0,1x,d_rho,0.9983,600,0.05,0.036214,0.021053
100,1.0,1x,dcap_0.05,0.655,600,0.05,0.012071,0.0
100,1.0,1x,dcap_0.10,0.52,600,0.05,0.013306,0.008574
100,1.0,1x,dcap_0.20,0.2933,600,0.05,-0.012274,0.0
100,1.0,1x,dcap_0.30,0.2883,600,0.05,-0.013933,0.0
100,1.0,1x,d_ndcg,0.9783,600,0.05,0.009477,0.006881
100,1.5,1.5x,d_rho,0.9883,600,0.05,0.036214,0.021053
100,1.5,1.5x,dcap_0.05,0.6433,600,0.05,0.012071,0.0
100,1.5,1.5x,dcap_0.10,0.495,600,0.05,0.013306,0.008574
100,1.5,1.5x,dcap_0.20,0.2983,600,0.05,-0.012274,0.0
100,1.5,1.5x,dcap_0.30,0.2783,600,0.05,-0.013933,0.0
100,1.5,1.5x,d_ndcg,0.9633,600,0.05,0.009477,0.006881
120,0.0,null,d_rho,0.0383,600,0.05,0.036214,0.021053
120,0.0,null,dcap_0.05,0.0367,600,0.05,0.012071,0.0
120,0.0,null,dcap_0.10,0.0667,600,0.05,0.013306,0.008574
120,0.0,null,dcap_0.20,0.0533,600,0.05,-0.012274,0.0
120,0.0,null,dcap_0.30,0.0533,600,0.05,-0.013933,0.0
120,0.0,null,d_ndcg,0.0533,600,0.05,0.009477,0.006881
120,0.5,0.5x,d_rho,1.0,600,0.05,0.036214,0.021053
120,0.5,0.5x,dcap_0.05,0.73,600,0.05,0.012071,0.0
120,0.5,0.5x,dcap_0.10,0.6017,600,0.05,0.013306,0.008574
120,0.5,0.5x,dcap_0.20,0.275,600,0.05,-0.012274,0.0
120,0.5,0.5x,dcap_0.30,0.2633,600,0.05,-0.013933,0.0
120,0.5,0.5x,d_ndcg,0.995,600,0.05,0.009477,0.006881
120,1.0,1x,d_rho,0.9983,600,0.05,0.036214,0.021053
120,1.0,1x,dcap_0.05,0.7383,600,0.05,0.012071,0.0
120,1.0,1x,dcap_0.10,0.5917,600,0.05,0.013306,0.008574
120,1.0,1x,dcap_0.20,0.3533,600,0.05,-0.012274,0.0
120,1.0,1x,dcap_0.30,0.3217,600,0.05,-0.013933,0.0
120,1.0,1x,d_ndcg,0.9917,600,0.05,0.009477,0.006881
120,1.5,1.5x,d_rho,0.9983,600,0.05,0.036214,0.021053
120,1.5,1.5x,dcap_0.05,0.7267,600,0.05,0.012071,0.0
120,1.5,1.5x,dcap_0.10,0.6017,600,0.05,0.013306,0.008574
120,1.5,1.5x,dcap_0.20,0.3433,600,0.05,-0.012274,0.0
120,1.5,1.5x,dcap_0.30,0.3083,600,0.05,-0.013933,0.0
120,1.5,1.5x,d_ndcg,0.99,600,0.05,0.009477,0.006881
140,0.0,null,d_rho,0.0367,600,0.05,0.036214,0.021053
140,0.0,null,dcap_0.05,0.0483,600,0.05,0.012071,0.0
140,0.0,null,dcap_0.10,0.045,600,0.05,0.013306,0.008574
140,0.0,null,dcap_0.20,0.0467,600,0.05,-0.012274,0.0
140,0.0,null,dcap_0.30,0.0617,600,0.05,-0.013933,0.0
140,0.0,null,d_ndcg,0.0467,600,0.05,0.009477,0.006881
140,0.5,0.5x,d_rho,1.0,600,0.05,0.036214,0.021053
