size,median_delta_rho,p25_delta_rho,median_dcap_05,median_dcap_10,median_dcap_20,median_dcap_30,median_d_ndcg
40,0.034965,0.024476,0.0,0.0,0.0,0.0,0.00284
60,0.034965,0.026769,0.0,0.0,0.0,0.0,0.002839
80,0.034965,0.027622,0.0,0.0,0.0,0.0,0.002827
100,0.034965,0.027972,0.0,0.0,0.0,0.0,0.002792
120,0.034965,0.027972,0.0,0.0,0.0,0.0,0.002804
140,0.035294,0.028692,0.0,0.0,0.0,0.0,0.002797
160,0.03513,0.028769,0.0,0.0,0.0,0.0,0.0028
